age,workclass,fnlwgt,education-num,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,income
39,5,77516,13,4,0,4,1,2174,0,40,0
50,4,83311,13,2,3,4,1,0,0,13,0
38,2,215646,9,0,5,4,1,0,0,40,0
53,2,234721,7,2,5,2,1,0,0,40,0
28,2,338409,13,2,9,2,0,0,0,40,0
37,2,284582,14,2,3,4,0,0,0,40,0
49,2,160187,5,3,7,2,0,0,0,16,0
52,4,209642,9,2,3,4,1,0,0,45,1
31,2,45781,14,4,9,4,0,14084,0,50,1
42,2,159449,13,2,3,4,1,5178,0,40,1
37,2,280464,10,2,3,2,1,0,0,80,1
30,5,141297,13,2,9,1,1,0,0,40,1
23,2,122272,13,4,0,4,0,0,0,30,0
32,2,205019,12,4,11,2,1,0,0,50,0
40,2,121772,11,2,2,1,1,0,0,40,1
34,2,245487,4,2,13,0,1,0,0,45,0
25,4,176756,9,4,4,4,1,0,0,35,0
32,2,186824,9,4,6,4,1,0,0,40,0
38,2,28887,7,2,11,4,1,0,0,50,0
43,4,292175,14,0,3,4,0,0,0,45,1
40,2,193524,16,2,9,4,1,0,0,60,1
54,2,302146,9,5,7,2,0,0,0,20,0
35,0,76845,5,2,4,2,1,0,0,40,0
43,2,117037,7,2,13,4,1,0,2042,40,0
59,2,109015,9,0,12,4,0,0,0,40,0
56,1,216851,13,2,12,4,1,0,0,40,1
19,2,168294,9,4,2,4,1,0,0,40,0
39,2,367260,9,0,3,4,1,0,0,80,0
49,2,193366,9,2,2,4,1,0,0,40,0
23,1,190709,12,4,10,4,1,0,0,52,0
20,2,266015,10,4,11,2,1,0,0,44,0
45,2,386940,13,0,3,4,1,0,1408,40,0
30,0,59951,10,2,0,4,1,0,0,40,0
22,5,311512,10,2,7,2,1,0,0,15,0
48,2,242406,7,4,6,4,1,0,0,40,0
21,2,197200,10,4,6,4,1,0,0,40,0
19,2,544091,9,1,0,4,0,0,0,25,0
31,2,84154,10,2,11,4,1,0,0,38,1
48,4,265477,12,2,9,4,1,0,0,40,0
31,2,507875,5,2,6,4,1,0,0,43,0
53,4,88506,13,2,9,4,1,0,0,40,0
24,2,172987,13,2,12,4,1,0,0,50,0
49,2,94638,9,5,0,4,0,0,0,40,0
25,2,289980,9,4,5,4,1,0,0,35,0
57,0,337895,13,2,9,2,1,0,0,40,1
53,2,144361,9,2,6,4,1,0,0,38,0
44,2,128354,14,0,3,4,0,0,0,40,0
41,5,101603,11,2,2,4,1,0,0,40,0
29,2,271466,11,4,9,4,1,0,0,43,0
25,2,32275,10,2,3,3,0,0,0,40,0
18,2,226956,9,4,7,4,0,0,0,30,0
47,2,51835,15,2,9,4,0,0,1902,60,1
50,0,251585,13,0,3,4,1,0,0,55,1
47,3,109832,9,0,3,4,1,0,0,60,0
43,2,237993,10,2,12,4,1,0,0,40,1
46,2,216666,3,2,6,4,1,0,0,40,0
35,2,56352,11,2,7,4,1,0,0,40,0
41,2,147372,9,2,0,4,1,0,0,48,0
30,2,188146,9,2,6,4,1,5013,0,40,0
30,2,59496,13,2,11,4,1,2407,0,40,0
48,2,149640,9,2,13,4,1,0,0,40,0
42,2,116632,16,2,9,4,1,0,0,45,1
29,2,105598,10,0,12,4,1,0,0,58,0
36,2,155537,9,2,2,4,1,0,0,40,0
28,2,183175,10,0,0,4,0,0,0,40,0
53,2,169846,9,2,0,4,0,0,0,40,1
49,3,191681,10,2,3,4,1,0,0,50,1
19,2,101509,10,4,9,4,1,0,0,32,0
31,2,309974,13,5,11,2,0,0,0,40,0
29,4,162298,13,2,11,4,1,0,0,70,1
23,2,211678,10,4,6,4,1,0,0,40,0
79,2,124744,10,2,9,4,1,0,0,20,0
27,2,213921,9,4,7,4,1,0,0,40,0
40,2,32214,12,2,0,4,1,0,0,40,0
18,2,309634,7,4,7,4,0,0,0,22,0
31,1,125927,4,2,4,4,1,0,0,40,0
18,2,446839,9,4,11,4,1,0,0,30,0
52,2,276515,13,2,7,4,1,0,0,40,0
46,2,51618,9,2,7,4,0,0,0,40,0
59,2,159937,9,2,11,4,1,0,0,48,0
44,2,343591,9,0,2,4,0,14344,0,40,1
53,2,346253,9,0,11,4,0,0,0,35,0
49,1,268234,9,2,10,4,1,0,0,40,1
33,2,202051,14,2,9,4,1,0,0,50,0
30,2,54334,5,4,11,4,1,0,0,40,0
43,0,410867,16,4,9,4,0,0,0,50,1
57,2,249977,11,2,9,4,1,0,0,40,0
37,2,286730,10,0,2,4,0,0,0,40,0
28,2,212563,10,0,6,2,0,0,0,25,0
30,2,117747,9,2,11,1,0,0,1573,35,0
34,1,226296,13,2,10,4,1,0,0,40,1
29,1,115585,10,4,5,4,1,0,0,50,0
48,4,191277,16,2,9,4,1,0,1902,60,1
37,2,202683,10,2,11,4,1,0,0,48,1
48,2,171095,12,0,3,4,0,0,0,40,0
32,0,249409,9,4,7,2,1,0,0,40,0
76,2,124191,14,2,3,4,1,0,0,40,1
44,2,198282,13,2,3,4,1,15024,0,60,1
47,4,149116,14,4,9,4,0,0,0,50,0
20,2,188300,10,4,12,4,0,0,0,40,0
29,2,103432,9,4,2,4,1,0,0,40,0
32,3,317660,9,2,2,4,1,7688,0,40,1
30,2,194901,7,4,5,4,1,0,0,40,0
31,1,189265,9,4,0,4,0,0,0,40,0
42,2,124692,9,2,5,4,1,0,0,40,0
24,2,432376,13,4,11,4,1,0,0,40,0
38,2,65324,15,2,9,4,1,0,0,40,1
56,4,335605,9,2,7,4,1,0,1887,50,1
28,2,377869,10,2,11,4,0,4064,0,25,0
36,2,102864,9,4,6,4,0,0,0,40,0
53,2,95647,5,2,5,4,1,0,0,50,0
56,3,303090,10,2,11,4,1,0,0,50,0
49,1,197371,11,2,2,2,1,0,0,40,1
55,2,247552,10,2,11,4,1,0,0,56,0
22,2,102632,9,4,2,4,1,0,0,41,0
21,2,199915,10,4,7,4,0,0,0,40,0
40,2,118853,13,2,3,4,1,0,0,60,0
30,2,77143,13,4,3,2,1,0,0,40,0
29,5,267989,13,2,9,4,1,0,0,50,1
19,2,301606,10,4,7,2,1,0,0,35,0
47,2,287828,13,2,3,4,0,0,0,40,1
20,2,111697,10,4,0,4,0,0,1719,28,0
31,2,114937,12,2,0,4,1,0,0,40,1
39,2,365739,10,0,2,4,1,0,0,40,0
28,2,69621,12,4,11,4,0,0,0,60,0
24,2,43323,9,4,7,4,0,0,1762,40,0
38,4,120985,9,2,2,4,1,4386,0,35,0
37,2,254202,13,2,11,4,1,0,0,50,0
46,2,146195,12,0,12,2,0,0,0,36,0
38,0,125933,14,2,9,4,1,0,0,40,1
43,4,56920,9,2,2,4,1,0,0,60,0
27,2,163127,11,2,0,4,0,0,0,35,0
20,2,34310,10,4,11,4,1,0,0,20,0
49,2,81973,10,2,2,1,1,0,0,40,1
61,3,66614,9,2,2,4,1,0,0,40,0
27,2,232782,10,4,11,4,0,0,0,40,0
19,2,316868,10,4,7,4,1,0,0,30,0
45,2,196584,11,4,9,4,0,0,1564,40,1
70,2,105376,10,4,12,4,1,0,0,40,0
31,2,185814,9,4,13,2,0,0,0,30,0
22,2,175374,10,2,7,4,1,0,0,24,0
36,2,108293,9,6,7,4,0,0,0,24,0
64,2,181232,7,2,2,4,1,0,2179,40,0
47,1,186009,10,0,0,4,0,0,0,38,0
34,2,198183,9,4,0,4,0,0,0,40,0
33,2,163003,13,4,3,1,0,0,0,40,0
21,2,296158,9,4,2,4,1,0,0,35,0
48,2,187715,9,2,2,4,1,0,0,46,0
23,2,214542,13,4,5,4,1,0,0,40,0
71,4,494223,10,5,11,2,1,0,1816,2,0
29,2,191535,9,0,2,4,1,0,0,60,0
42,2,228456,13,5,7,2,1,0,0,50,0
25,2,252752,9,4,7,4,0,0,0,40,0
44,3,78374,14,0,3,1,0,0,0,40,0
28,2,88419,9,4,3,1,0,0,0,40,0
45,4,201080,14,2,11,4,1,0,0,40,1
36,2,207157,10,0,7,4,0,0,0,40,0
