Month,1-19,20-49,1-49,50-499,500+,500-999,1000+
2005-01-31,23270.5970323,14642.1112863,37912.7083186,31110.5696544,20151.2689769,6207.06302097,13944.205956
2005-02-28,23324.2938874,14657.42427,37981.7181575,31112.0402599,20149.6394527,6214.00573382,13935.6337188
2005-03-31,23380.7062687,14664.2573631,38044.9636318,31134.1124514,20184.2239168,6229.9071491,13954.3167677
2005-04-30,23453.6528683,14703.0033341,38156.6562024,31217.078488,20194.4637196,6239.39524301,13955.0684766
2005-05-31,23504.7393589,14732.4386016,38237.1779605,31266.3393462,20202.1577933,6227.81333277,13974.3444605
2005-06-30,23567.1737236,14765.4045236,38332.5782471,31368.028388,20225.8884349,6227.70671583,13998.181719
2005-07-31,23600.307106,14779.0626795,38379.3697855,31414.4856952,20242.4459692,6224.01087361,14018.4350956
2005-08-31,23658.6570259,14793.9114431,38452.568469,31480.3034553,20261.5781557,6218.27573227,14043.3024234
2005-09-30,23678.5854841,14789.2186544,38467.8041385,31500.4498055,20272.2219559,6206.49003035,14065.7319256
2005-10-31,23744.2476336,14813.5236051,38557.7712387,31554.1399857,20300.6785456,6205.00980803,14095.6687376
2005-11-30,23804.9029276,14853.9853083,38658.8882359,31646.8939927,20362.3922615,6213.59103782,14148.8012236
2005-12-31,23899.0167907,14895.6741005,38794.6908912,31744.1910967,20349.0390421,6185.4366056,14163.6024365
2006-01-31,23983.6157473,14936.7597158,38920.375463,31857.6181809,20395.074676,6191.84313562,14203.2315404
2006-02-28,24061.5518048,14986.2196577,39047.7714625,31972.0101053,20437.0004422,6205.44288332,14231.5575589
2006-03-31,24109.5685679,15003.6753189,39113.2438868,32028.4823694,20432.4737438,6205.34142593,14227.1323179
2006-04-30,24160.0751694,15033.7793647,39193.8545341,32137.483981,20385.0477549,6204.05286152,14180.9948934
2006-05-31,24213.5113614,15066.1312533,39279.6426147,32283.8572608,20358.0995345,6213.98971491,14144.1098196
2006-06-30,24240.656302,15090.304644,39330.960946,32378.8329373,20331.1848467,6202.57999033,14128.6048563
2006-07-31,24250.3844609,15102.128287,39352.5127479,32500.0736438,20348.3882583,6207.30276889,14141.0854894
2006-08-31,24286.530136,15140.0791069,39426.6092429,32599.6304645,20384.4483426,6205.43055355,14179.0177891
2006-09-30,24294.8521789,15150.4690787,39445.3212576,32668.6102498,20366.2502926,6195.6153983,14170.6348943
2006-10-31,24308.4641442,15154.1607848,39462.624929,32739.3893674,20378.0103736,6195.35012605,14182.6602475
2006-11-30,24322.517322,15144.0373103,39466.5546323,32843.5178559,20423.5305918,6203.86198936,14219.6686024
2006-12-31,24424.0128321,15207.9771737,39631.9900058,32959.198427,20264.3775772,6207.42627636,14056.9513009
2007-01-31,24446.7513441,15216.8722197,39663.6235638,33054.7826306,20330.5883256,6202.53849779,14128.0498278
2007-02-28,24462.9314545,15237.0881115,39700.019566,33137.5910238,20318.1111702,6186.65720775,14131.4539625
2007-03-31,24472.0242434,15248.5850259,39720.6092692,33210.782485,20313.3082457,6190.02738296,14123.2808628
