0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
,,1991-12-31,,
,,1992-03-31,,
,,1992-06-30,,
,,1992-09-30,,
,,1992-12-31,,
,,1993-03-31,,
,,1993-06-30,,
,,1993-09-30,,
,,1993-12-31,,
,,1994-03-31,,
,,1994-06-30,,
,,1994-09-30,,
,,1994-12-31,,
,,1995-03-31,,
,,1995-06-30,,
,,1995-09-30,,
,,1995-12-31,,
,,1996-03-31,,
,,1996-06-30,,
,,1996-09-30,,
,,1996-12-31,,
,,1997-03-31,,
,,1997-06-30,,
,,1997-09-30,,
,,1997-12-31,,
,,1998-03-31,,
,,1998-06-30,,
,,1998-09-30,,
,,1998-12-31,,
,,1999-03-31,,
,,1999-06-30,,
,,1999-09-30,,
,,1999-12-31,,
,,2000-03-31,,
,,2000-06-30,,
,,2000-09-30,,
,,2000-12-31,,
,,2001-03-31,,
,,2001-06-30,,
,,2001-09-30,,
,,2001-12-31,,
,,2002-03-31,,
,,2002-06-30,,
,,2002-09-30,,
,,2002-12-31,,
,,2003-03-31,,
,,2003-06-30,,
,,2003-09-30,,
,,2003-12-31,,
,,2004-03-31,,
,,2004-06-30,,
,,2004-09-30,,
,,2004-12-31,,
,,2005-03-31,,
,,2005-06-30,,
,,2005-09-30,,
,,2005-12-31,,
,,2006-03-31,,
,,2006-06-30,,
,,2006-09-30,,
,,2006-12-31,,
,,2007-03-31,,
,,2007-06-30,,
,,2007-09-30,,
,,2007-12-31,,
,,2008-03-31,,
,,2008-06-30,,
,,2008-09-30,,
,,2008-12-31,,
,,2009-03-31,,
,,2009-06-30,,
200.85714285714286,,2009-09-30,,
218.46153846153845,200.85714285714286,2009-12-31,17.60439560439559,1.0876463508042455
242.30769230769232,218.46153846153845,2010-03-31,23.846153846153868,1.109154929577465
256.15384615384613,242.30769230769232,2010-06-30,13.846153846153811,1.057142857142857
246.84615384615384,256.15384615384613,2010-09-30,-9.307692307692292,0.9636636636636637
249.30769230769232,246.84615384615384,2010-12-31,2.461538461538481,1.0099719538797134
251.30769230769232,249.30769230769232,2011-03-31,2.0,1.008022215365628
240.76923076923077,251.30769230769232,2011-06-30,-10.538461538461547,0.9580655035200489
224.92307692307693,240.76923076923077,2011-09-30,-15.84615384615384,0.934185303514377
227.30769230769232,224.92307692307693,2011-12-31,2.384615384615387,1.0106019151846786
234.23076923076923,227.30769230769232,2012-03-31,6.923076923076906,1.030456852791878
241.46153846153845,234.23076923076923,2012-06-30,7.230769230769226,1.0308702791461413
212.15384615384616,241.46153846153845,2012-09-30,-29.307692307692292,0.8786237655304238
194.84615384615384,212.15384615384616,2012-12-31,-17.30769230769232,0.9184191443074691
213.92307692307693,194.84615384615384,2013-03-31,19.076923076923094,1.0979076194236084
231.3846153846154,213.92307692307693,2013-06-30,17.461538461538453,1.0816253146350234
254.07692307692307,231.3846153846154,2013-09-30,22.69230769230768,1.0980718085106382
307.61538461538464,254.07692307692307,2013-12-31,53.538461538461576,1.2107175295186197
301.0769230769231,307.61538461538464,2014-03-31,-6.538461538461547,0.9787446861715429
296.2307692307692,301.0769230769231,2014-06-30,-4.846153846153868,0.9839039345937659
298.38461538461536,296.2307692307692,2014-09-30,2.153846153846132,1.0072708387431835
353.64285714285717,298.38461538461536,2014-12-31,55.25824175824181,1.1851913232423674
375.1666666666667,353.64285714285717,2015-03-31,21.52380952380952,1.0608631252945533
367.46153846153845,375.1666666666667,2015-06-30,-7.705128205128233,0.9794621193999248
364.57142857142856,367.46153846153845,2015-09-30,-2.8901098901098976,0.9921349322647208
369.6923076923077,364.57142857142856,2015-12-31,5.120879120879124,1.0140462985290573
373.0769230769231,369.6923076923077,2016-03-31,3.3846153846154152,1.0091552226383689
388.84615384615387,373.0769230769231,2016-06-30,15.769230769230774,1.0422680412371135
383.53846153846155,388.84615384615387,2016-09-30,-5.307692307692321,0.9863501483679525
386.6923076923077,383.53846153846155,2016-12-31,3.153846153846132,1.0082230244685118
366.7692307692308,386.6923076923077,2017-03-31,-19.923076923076906,0.948478217624826
378.46153846153845,366.7692307692308,2017-06-30,11.69230769230768,1.0318791946308725
374.7692307692308,378.46153846153845,2017-09-30,-3.692307692307679,0.9902439024390244
