0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
664.0,628.0,1991-12-31,36.0,1.0573248407643312
684.0,664.0,1992-03-31,20.0,1.0301204819277108
704.0,684.0,1992-06-30,20.0,1.0292397660818713
700.0,704.0,1992-09-30,-4.0,0.9943181818181818
672.0,700.0,1992-12-31,-28.0,0.96
668.0,672.0,1993-03-31,-4.0,0.9940476190476191
680.0,668.0,1993-06-30,12.0,1.0179640718562875
636.0,680.0,1993-09-30,-44.0,0.9352941176470588
540.0,636.0,1993-12-31,-96.0,0.8490566037735849
476.0,540.0,1994-03-31,-64.0,0.8814814814814815
440.0,476.0,1994-06-30,-36.0,0.9243697478991597
340.0,440.0,1994-09-30,-100.0,0.7727272727272727
176.0,340.0,1994-12-31,-164.0,0.5176470588235295
-8.0,176.0,1995-03-31,-184.0,-0.045454545454545456
-228.0,-8.0,1995-06-30,-220.0,28.5
-272.0,-228.0,1995-09-30,-44.0,1.1929824561403508
168.0,-272.0,1995-12-31,440.0,-0.6176470588235294
600.0,168.0,1996-03-31,432.0,3.5714285714285716
560.0,600.0,1996-06-30,-40.0,0.9333333333333333
552.0,560.0,1996-09-30,-8.0,0.9857142857142858
1296.0,552.0,1996-12-31,744.0,2.347826086956522
788.0,1296.0,1997-03-31,-508.0,0.6080246913580247
436.0,788.0,1997-06-30,-352.0,0.5532994923857868
480.0,436.0,1997-09-30,44.0,1.1009174311926606
-740.0,480.0,1997-12-31,-1220.0,-1.5416666666666667
464.0,-740.0,1998-03-31,1204.0,-0.6270270270270271
868.0,464.0,1998-06-30,404.0,1.8706896551724137
-1308.0,868.0,1998-09-30,-2176.0,-1.5069124423963134
236.0,-1308.0,1998-12-31,1544.0,-0.18042813455657492
804.0,236.0,1999-03-31,568.0,3.406779661016949
764.0,804.0,1999-06-30,-40.0,0.9502487562189055
1496.0,764.0,1999-09-30,732.0,1.9581151832460733
276.0,1496.0,1999-12-31,-1220.0,0.18449197860962566
816.0,276.0,2000-03-31,540.0,2.9565217391304346
408.0,816.0,2000-06-30,-408.0,0.5
824.0,408.0,2000-09-30,416.0,2.019607843137255
1036.0,824.0,2000-12-31,212.0,1.2572815533980584
200.0,1036.0,2001-03-31,-836.0,0.19305019305019305
200.0,200.0,2001-06-30,0.0,1.0
200.0,200.0,2001-09-30,0.0,1.0
-1308.0,200.0,2001-12-31,-1508.0,-6.54
396.0,-1308.0,2002-03-31,1704.0,-0.30275229357798167
396.0,396.0,2002-06-30,0.0,1.0
396.0,396.0,2002-09-30,0.0,1.0
396.0,396.0,2002-12-31,0.0,1.0
132.0,396.0,2003-03-31,-264.0,0.3333333333333333
132.0,132.0,2003-06-30,0.0,1.0
132.0,132.0,2003-09-30,0.0,1.0
132.0,132.0,2003-12-31,0.0,1.0
652.0,132.0,2004-03-31,520.0,4.9393939393939394
488.0,652.0,2004-06-30,-164.0,0.7484662576687117
312.0,488.0,2004-09-30,-176.0,0.639344262295082
256.0,312.0,2004-12-31,-56.0,0.8205128205128205
348.0,256.0,2005-03-31,92.0,1.359375
504.0,348.0,2005-06-30,156.0,1.4482758620689655
436.0,504.0,2005-09-30,-68.0,0.8650793650793651
120.0,436.0,2005-12-31,-316.0,0.27522935779816515
628.0,120.0,2006-03-31,508.0,5.233333333333333
816.0,628.0,2006-06-30,188.0,1.2993630573248407
144.0,816.0,2006-09-30,-672.0,0.17647058823529413
1020.0,144.0,2006-12-31,876.0,7.083333333333333
964.0,1020.0,2007-03-31,-56.0,0.9450980392156862
636.0,964.0,2007-06-30,-328.0,0.6597510373443983
1392.0,636.0,2007-09-30,756.0,2.188679245283019
788.0,1392.0,2007-12-31,-604.0,0.5660919540229885
232.0,788.0,2008-03-31,-556.0,0.29441624365482233
340.0,232.0,2008-06-30,108.0,1.4655172413793103
108.0,340.0,2008-09-30,-232.0,0.3176470588235294
888.0,108.0,2008-12-31,780.0,8.222222222222221
340.0,888.0,2009-03-31,-548.0,0.38288288288288286
488.0,340.0,2009-06-30,148.0,1.4352941176470588
368.0,488.0,2009-09-30,-120.0,0.7540983606557377
-300.0,368.0,2009-12-31,-668.0,-0.8152173913043478
-488.0,-300.0,2010-03-31,-188.0,1.6266666666666667
360.0,-488.0,2010-06-30,848.0,-0.7377049180327869
156.0,360.0,2010-09-30,-204.0,0.43333333333333335
312.0,156.0,2010-12-31,156.0,2.0
1048.0,312.0,2011-03-31,736.0,3.358974358974359
420.0,1048.0,2011-06-30,-628.0,0.40076335877862596
384.0,420.0,2011-09-30,-36.0,0.9142857142857143
760.0,384.0,2011-12-31,376.0,1.9791666666666667
536.0,760.0,2012-03-31,-224.0,0.7052631578947368
256.0,536.0,2012-06-30,-280.0,0.47761194029850745
144.0,256.0,2012-09-30,-112.0,0.5625
848.0,144.0,2012-12-31,704.0,5.888888888888889
228.0,848.0,2013-03-31,-620.0,0.2688679245283019
592.0,228.0,2013-06-30,364.0,2.5964912280701755
-224.0,592.0,2013-09-30,-816.0,-0.3783783783783784
-2396.0,-224.0,2013-12-31,-2172.0,10.696428571428571
540.0,-2396.0,2014-03-31,2936.0,-0.22537562604340566
276.0,540.0,2014-06-30,-264.0,0.5111111111111111
604.0,276.0,2014-09-30,328.0,2.1884057971014492
1104.0,604.0,2014-12-31,500.0,1.8278145695364238
528.0,1104.0,2015-03-31,-576.0,0.4782608695652174
868.0,528.0,2015-06-30,340.0,1.643939393939394
988.0,868.0,2015-09-30,120.0,1.1382488479262673
5160.0,988.0,2015-12-31,4172.0,5.222672064777328
440.0,5160.0,2016-03-31,-4720.0,0.08527131782945736
1900.0,440.0,2016-06-30,1460.0,4.318181818181818
876.0,1900.0,2016-09-30,-1024.0,0.4610526315789474
912.0,876.0,2016-12-31,36.0,1.0410958904109588
512.0,912.0,2017-03-31,-400.0,0.5614035087719298
920.0,512.0,2017-06-30,408.0,1.796875
936.0,920.0,2017-09-30,16.0,1.017391304347826
