0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
362.0,364.0,1991-12-31,-2.0,0.9945054945054945
341.0,362.0,1992-03-31,-21.0,0.9419889502762431
523.0,341.0,1992-06-30,182.0,1.533724340175953
813.0,523.0,1992-09-30,290.0,1.554493307839388
1128.0,813.0,1992-12-31,315.0,1.3874538745387455
1378.0,1128.0,1993-03-31,250.0,1.2216312056737588
1744.0,1378.0,1993-06-30,366.0,1.2656023222060957
2052.0,1744.0,1993-09-30,308.0,1.176605504587156
2239.0,2052.0,1993-12-31,187.0,1.091130604288499
2872.0,2239.0,1994-03-31,633.0,1.2827154979901743
3810.0,2872.0,1994-06-30,938.0,1.3266016713091922
4778.0,3810.0,1994-09-30,968.0,1.2540682414698163
5062.0,4778.0,1994-12-31,284.0,1.0594390958560067
5782.0,5062.0,1995-03-31,720.0,1.1422362702489135
6254.0,5782.0,1995-06-30,472.0,1.0816326530612246
6890.0,6254.0,1995-09-30,636.0,1.1016949152542372
6915.0,6890.0,1995-12-31,25.0,1.0036284470246735
7188.0,6915.0,1996-03-31,273.0,1.0394793926247288
7158.0,7188.0,1996-06-30,-30.0,0.9958263772954925
7157.0,7158.0,1996-09-30,-1.0,0.9998602961721151
8004.0,7157.0,1996-12-31,847.0,1.1183456755623864
8730.0,8004.0,1997-03-31,726.0,1.090704647676162
10226.0,8730.0,1997-06-30,1496.0,1.1713631156930127
11341.0,10226.0,1997-09-30,1115.0,1.1090357911206727
13970.0,11341.0,1997-12-31,2629.0,1.2318137730358876
15604.0,13970.0,1998-03-31,1634.0,1.1169649248389406
18280.0,15604.0,1998-06-30,2676.0,1.1714944885926686
18002.0,18280.0,1998-09-30,-278.0,0.9847921225382932
14770.0,18002.0,1998-12-31,-3232.0,0.8204643928452394
13302.0,14770.0,1999-03-31,-1468.0,0.9006093432633717
12987.0,13302.0,1999-06-30,-315.0,0.976319350473613
13105.0,12987.0,1999-09-30,118.0,1.009086009086009
11261.0,13105.0,1999-12-31,-1844.0,0.8592903471957268
7833.0,11261.0,2000-03-31,-3428.0,0.6955865376076725
7457.0,7833.0,2000-06-30,-376.0,0.9519979573598877
7275.0,7457.0,2000-09-30,-182.0,0.9755934021724554
7801.0,7275.0,2000-12-31,526.0,1.0723024054982817
8038.0,7801.0,2001-03-31,237.0,1.030380720420459
7768.0,8038.0,2001-06-30,-270.0,0.966409554615576
8428.0,7768.0,2001-09-30,660.0,1.084963954685891
8587.0,8428.0,2001-12-31,159.0,1.0188656858092073
8910.0,8587.0,2002-03-31,323.0,1.0376149994177244
10874.0,8910.0,2002-06-30,1964.0,1.2204264870931538
14172.0,10874.0,2002-09-30,3298.0,1.3032922567592422
18716.0,14172.0,2002-12-31,4544.0,1.3206322325712674
17275.0,18716.0,2003-03-31,-1441.0,0.9230070527890575
24036.0,17275.0,2003-06-30,6761.0,1.3913748191027497
30324.0,24036.0,2003-09-30,6288.0,1.2616075886170743
37185.0,30324.0,2003-12-31,6861.0,1.2262564305500594
42509.0,37185.0,2004-03-31,5324.0,1.1431760118327283
52548.0,42509.0,2004-06-30,10039.0,1.2361617539815097
66208.0,52548.0,2004-09-30,13660.0,1.2599528050544264
103144.0,66208.0,2004-12-31,36936.0,1.5578782020299662
110151.0,103144.0,2005-03-31,7007.0,1.067934150314124
121044.0,110151.0,2005-06-30,10893.0,1.098891521638478
130568.0,121044.0,2005-09-30,9524.0,1.0786821321172466
127942.0,130568.0,2005-12-31,-2626.0,0.9798878745174928
135589.0,127942.0,2006-03-31,7647.0,1.059769270450673
137683.0,135589.0,2006-06-30,2094.0,1.0154437306861177
134163.0,137683.0,2006-09-30,-3520.0,0.9744340259872315
104165.0,134163.0,2006-12-31,-29998.0,0.7764063117252894
110502.0,104165.0,2007-03-31,6337.0,1.0608361733787741
99561.0,110502.0,2007-06-30,-10941.0,0.9009882174078298
90403.0,99561.0,2007-09-30,-9158.0,0.9080161910788361
80668.0,90403.0,2007-12-31,-9735.0,0.8923155205026382
66163.0,80668.0,2008-03-31,-14505.0,0.8201889224971488
60576.0,66163.0,2008-06-30,-5587.0,0.9155570333872406
55446.0,60576.0,2008-09-30,-5130.0,0.9153129952456418
34269.0,55446.0,2008-12-31,-21177.0,0.618060815929012
8473.0,34269.0,2009-03-31,-25796.0,0.2472497008958534
9407.0,8473.0,2009-06-30,934.0,1.1102325032456037
9120.0,9407.0,2009-09-30,-287.0,0.9694908047198895
8909.0,9120.0,2009-12-31,-211.0,0.9768640350877194
11048.0,8909.0,2010-03-31,2139.0,1.2400942866763947
8942.0,11048.0,2010-06-30,-2106.0,0.809377262853005
8807.0,8942.0,2010-09-30,-135.0,0.9849027063296801
8957.0,8807.0,2010-12-31,150.0,1.0170319064380606
20357.0,8957.0,2011-03-31,11400.0,2.2727475717316064
19675.0,20357.0,2011-06-30,-682.0,0.9664980105123545
19731.0,19675.0,2011-09-30,56.0,1.00284625158831
19756.0,19731.0,2011-12-31,25.0,1.0012670417110132
21258.0,19756.0,2012-03-31,1502.0,1.076027535938449
24284.0,21258.0,2012-06-30,3026.0,1.1423464107630068
24399.0,24284.0,2012-09-30,115.0,1.0047356283972986
26453.0,24399.0,2012-12-31,2054.0,1.0841837780236896
26617.0,26453.0,2013-03-31,164.0,1.006199674895097
29213.0,26617.0,2013-06-30,2596.0,1.0975316527031596
29468.0,29213.0,2013-09-30,255.0,1.0087289905179202
31303.0,29468.0,2013-12-31,1835.0,1.0622709379666078
32865.0,31303.0,2014-03-31,1562.0,1.0498993706673483
35162.0,32865.0,2014-06-30,2297.0,1.0698919823520463
41430.0,35162.0,2014-09-30,6268.0,1.17826062226267
43980.0,41430.0,2014-12-31,2550.0,1.0615496017378712
42981.0,43980.0,2015-03-31,-999.0,0.9772851296043656
49249.0,42981.0,2015-06-30,6268.0,1.1458318792024382
48058.0,49249.0,2015-09-30,-1191.0,0.9758167678531544
46106.0,48058.0,2015-12-31,-1952.0,0.9593824129177244
