0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
,,1991-12-31,,
,,1992-03-31,,
,,1992-06-30,,
,,1992-09-30,,
,,1992-12-31,,
,,1993-03-31,,
,,1993-06-30,,
,,1993-09-30,,
,,1993-12-31,,
,,1994-03-31,,
,,1994-06-30,,
,,1994-09-30,,
,,1994-12-31,,
,,1995-03-31,,
,,1995-06-30,,
,,1995-09-30,,
,,1995-12-31,,
,,1996-03-31,,
,,1996-06-30,,
,,1996-09-30,,
,,1996-12-31,,
,,1997-03-31,,
,,1997-06-30,,
,,1997-09-30,,
,,1997-12-31,,
,,1998-03-31,,
,,1998-06-30,,
,,1998-09-30,,
,,1998-12-31,,
,,1999-03-31,,
,,1999-06-30,,
,,1999-09-30,,
,,1999-12-31,,
,,2000-03-31,,
,,2000-06-30,,
,,2000-09-30,,
,,2000-12-31,,
,,2001-03-31,,
,,2001-06-30,,
,,2001-09-30,,
,,2001-12-31,,
,,2002-03-31,,
,,2002-06-30,,
,,2002-09-30,,
,,2002-12-31,,
,,2003-03-31,,
,,2003-06-30,,
,,2003-09-30,,
,,2003-12-31,,
,,2004-03-31,,
,,2004-06-30,,
,,2004-09-30,,
,,2004-12-31,,
,,2005-03-31,,
,,2005-06-30,,
,,2005-09-30,,
,,2005-12-31,,
,,2006-03-31,,
,,2006-06-30,,
,,2006-09-30,,
,,2006-12-31,,
,,2007-03-31,,
,,2007-06-30,,
,,2007-09-30,,
,,2007-12-31,,
48.1,,2008-03-31,,
50.5,48.1,2008-06-30,2.3999999999999986,1.04989604989605
50.0,50.5,2008-09-30,-0.5,0.9900990099009901
40.76666666666667,50.0,2008-12-31,-9.233333333333327,0.8153333333333335
41.53333333333333,40.76666666666667,2009-03-31,0.7666666666666586,1.0188062142273098
44.79999999999999,41.53333333333333,2009-06-30,3.2666666666666586,1.0786516853932582
48.86666666666667,44.79999999999999,2009-09-30,4.066666666666677,1.0907738095238098
50.03333333333333,48.86666666666667,2009-12-31,1.1666666666666643,1.0238744884038198
51.20000000000001,50.03333333333333,2010-03-31,1.1666666666666785,1.0233177881412394
55.23333333333333,51.20000000000001,2010-06-30,4.033333333333317,1.0787760416666663
53.699999999999996,55.23333333333333,2010-09-30,-1.5333333333333314,0.9722389861194931
56.333333333333336,53.699999999999996,2010-12-31,2.63333333333334,1.049037864680323
56.5,56.333333333333336,2011-03-31,0.1666666666666643,1.0029585798816567
54.833333333333336,56.5,2011-06-30,-1.6666666666666643,0.9705014749262537
53.53333333333334,54.833333333333336,2011-09-30,-1.2999999999999972,0.9762917933130699
52.9,53.53333333333334,2011-12-31,-0.63333333333334,0.9881693648816935
55.199999999999996,52.9,2012-03-31,2.299999999999997,1.0434782608695652
54.06666666666666,55.199999999999996,2012-06-30,-1.1333333333333329,0.9794685990338164
54.0,54.06666666666666,2012-09-30,-0.06666666666666288,0.998766954377312
55.1,54.0,2012-12-31,1.1000000000000014,1.0203703703703704
54.73333333333333,55.1,2013-03-31,-0.36666666666667425,0.9933454325468843
53.73333333333333,54.73333333333333,2013-06-30,-1.0,0.9817295980511571
56.1,53.73333333333333,2013-09-30,2.3666666666666742,1.0440446650124071
54.06666666666666,56.1,2013-12-31,-2.0333333333333385,0.9637551990493166
52.9,54.06666666666666,2014-03-31,-1.1666666666666643,0.9784217016029594
55.833333333333336,52.9,2014-06-30,2.933333333333337,1.0554505356017645
58.96666666666667,55.833333333333336,2014-09-30,3.133333333333333,1.0561194029850747
57.53333333333334,58.96666666666667,2014-12-31,-1.43333333333333,0.9756924816280385
56.699999999999996,57.53333333333334,2015-03-31,-0.8333333333333428,0.9855156431054459
56.5,56.699999999999996,2015-06-30,-0.19999999999999574,0.9964726631393299
58.73333333333333,56.5,2015-09-30,2.233333333333327,1.03952802359882
56.76666666666667,58.73333333333333,2015-12-31,-1.9666666666666544,0.9665153234960274
54.23333333333333,56.76666666666667,2016-03-31,-2.5333333333333456,0.9553728714034055
55.13333333333333,54.23333333333333,2016-06-30,0.9000000000000057,1.0165949600491704
54.4,55.13333333333333,2016-09-30,-0.7333333333333343,0.9866989117291415
55.800000000000004,54.4,2016-12-31,1.4000000000000057,1.0257352941176472
56.43333333333334,55.800000000000004,2017-03-31,0.6333333333333329,1.0113500597371565
57.26666666666667,56.43333333333334,2017-06-30,0.8333333333333357,1.0147666863555818
56.333333333333336,57.26666666666667,2017-09-30,-0.9333333333333371,0.9837019790454016
