0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
,,,,,,,,1991-12-31,,,,,,
,,,,,,,,1992-03-31,,,,,,
,,,,,,,,1992-06-30,,,,,,
,,,,,,,,1992-09-30,,,,,,
,,,,,,,,1992-12-31,,,,,,
,,,,,,,,1993-03-31,,,,,,
,,,,,,,,1993-06-30,,,,,,
,,,,,,,,1993-09-30,,,,,,
,,,,,,,,1993-12-31,,,,,,
125.66666666666667,,,,,,,,1994-03-31,125.66666666666667,,,,,
125.06666666666666,,,,,125.66666666666667,,,1994-06-30,125.36666666666667,,-0.6000000000000085,0.9952254641909813,,
124.36666666666667,,,,,125.06666666666666,125.66666666666667,,1994-09-30,125.03333333333335,,-0.6999999999999886,0.994402985074627,,
125.39999999999999,,,,,124.36666666666667,125.06666666666666,125.66666666666667,1994-12-31,125.125,,1.0333333333333172,1.0083087644063253,,
125.86666666666667,125.66666666666667,,,,125.39999999999999,124.36666666666667,125.06666666666666,1995-03-31,125.175,125.66666666666667,0.4666666666666828,1.0037214247740565,-0.49166666666667425,0.9960875331564986
125.23333333333333,125.06666666666666,125.66666666666667,,,125.86666666666667,125.39999999999999,124.36666666666667,1995-06-30,125.21666666666667,125.36666666666667,-0.63333333333334,0.994968220338983,-0.15000000000000568,0.9988035097048656
126.8,124.36666666666667,125.06666666666666,125.66666666666667,,125.23333333333333,125.86666666666667,125.39999999999999,1995-09-30,125.82499999999999,125.03333333333335,1.5666666666666629,1.0125099813681129,0.791666666666643,1.0063316448946946
129.13333333333333,125.39999999999999,124.36666666666667,125.06666666666666,125.66666666666667,126.8,125.23333333333333,125.86666666666667,1995-12-31,126.75833333333334,125.125,2.3333333333333286,1.0184016824395372,1.63333333333334,1.0130536130536132
129.6,125.86666666666667,125.39999999999999,124.36666666666667,125.06666666666666,129.13333333333333,126.8,125.23333333333333,1996-03-31,127.69166666666668,125.175,0.46666666666666856,1.0036138358286009,2.51666666666668,1.0201051860728314
131.33333333333334,125.23333333333333,125.86666666666667,125.39999999999999,124.36666666666667,129.6,129.13333333333333,126.8,1996-06-30,129.21666666666667,125.21666666666667,1.7333333333333485,1.013374485596708,4.0,1.0319446293091974
134.26666666666668,126.8,125.23333333333333,125.86666666666667,125.39999999999999,131.33333333333334,129.6,129.13333333333333,1996-09-30,131.08333333333334,125.82499999999999,2.933333333333337,1.0223350253807106,5.258333333333354,1.0417908470759654
