0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,yoy_diff,yoy_ratio
568663.0,573184.0,604245.0,623708.0,604739.0,595804.0,599986.0,601611.0,1991-12-31,591516.0,601469.0,-9953.0,0.9834521812429236
583899.0,601611.0,573184.0,604245.0,623708.0,568663.0,595804.0,599986.0,1992-03-31,587088.0,600687.0,-13599.0,0.9773609217446024
581202.0,599986.0,601611.0,573184.0,604245.0,583899.0,568663.0,595804.0,1992-06-30,582392.0,594756.5,-12364.5,0.9792108198901567
571544.0,595804.0,599986.0,601611.0,573184.0,581202.0,583899.0,568663.0,1992-09-30,576327.0,592646.25,-16319.25,0.9724637589455767
587835.0,568663.0,595804.0,599986.0,601611.0,571544.0,581202.0,583899.0,1992-12-31,581120.0,591516.0,-10396.0,0.982424820292266
559644.0,583899.0,568663.0,595804.0,599986.0,587835.0,571544.0,581202.0,1993-03-31,575056.25,587088.0,-12031.75,0.979506053606955
600655.0,581202.0,583899.0,568663.0,595804.0,559644.0,587835.0,571544.0,1993-06-30,579919.5,582392.0,-2472.5,0.9957545776727702
599333.0,571544.0,581202.0,583899.0,568663.0,600655.0,559644.0,587835.0,1993-09-30,586866.75,576327.0,10539.75,1.018287794949742
649126.0,587835.0,571544.0,581202.0,583899.0,599333.0,600655.0,559644.0,1993-12-31,602189.5,581120.0,21069.5,1.036256711178414
687115.0,559644.0,587835.0,571544.0,581202.0,649126.0,599333.0,600655.0,1994-03-31,634057.25,575056.25,59001.0,1.102600397787173
711898.0,600655.0,559644.0,587835.0,571544.0,687115.0,649126.0,599333.0,1994-06-30,661868.0,579919.5,81948.5,1.1413101301128863
742477.0,599333.0,600655.0,559644.0,587835.0,711898.0,687115.0,649126.0,1994-09-30,697654.0,586866.75,110787.25,1.188777520621163
769182.0,649126.0,599333.0,600655.0,559644.0,742477.0,711898.0,687115.0,1994-12-31,727668.0,602189.5,125478.5,1.2083704548153031
763385.0,687115.0,649126.0,599333.0,600655.0,769182.0,742477.0,711898.0,1995-03-31,746735.5,634057.25,112678.25,1.1777098992243997
768198.0,711898.0,687115.0,649126.0,599333.0,763385.0,769182.0,742477.0,1995-06-30,760810.5,661868.0,98942.5,1.1494897774178536
804800.0,742477.0,711898.0,687115.0,649126.0,768198.0,763385.0,769182.0,1995-09-30,776391.25,697654.0,78737.25,1.1128600280368206
802180.0,769182.0,742477.0,711898.0,687115.0,804800.0,768198.0,763385.0,1995-12-31,784640.75,727668.0,56972.75,1.0782949779294952
855205.0,763385.0,769182.0,742477.0,711898.0,802180.0,804800.0,768198.0,1996-03-31,807595.75,746735.5,60860.25,1.0815017499502837
872716.0,768198.0,763385.0,769182.0,742477.0,855205.0,802180.0,804800.0,1996-06-30,833725.25,760810.5,72914.75,1.095838254072466
876235.0,804800.0,768198.0,763385.0,769182.0,872716.0,855205.0,802180.0,1996-09-30,851584.0,776391.25,75192.75,1.0968490435717817
883867.0,802180.0,804800.0,768198.0,763385.0,876235.0,872716.0,855205.0,1996-12-31,872005.75,784640.75,87365.0,1.1113439494443795
928543.0,855205.0,802180.0,804800.0,768198.0,883867.0,876235.0,872716.0,1997-03-31,890340.25,807595.75,82744.5,1.1024578200170072
936605.0,872716.0,855205.0,802180.0,804800.0,928543.0,883867.0,876235.0,1997-06-30,906312.5,833725.25,72587.25,1.087063753916533
980287.0,876235.0,872716.0,855205.0,802180.0,936605.0,928543.0,883867.0,1997-09-30,932325.5,851584.0,80741.5,1.0948133126033368
969960.0,883867.0,876235.0,872716.0,855205.0,980287.0,936605.0,928543.0,1997-12-31,953848.75,872005.75,81843.0,1.0938560324860243
901076.0,928543.0,883867.0,876235.0,872716.0,969960.0,980287.0,936605.0,1998-03-31,946982.0,890340.25,56641.75,1.0636180943184361
912813.0,936605.0,928543.0,883867.0,876235.0,901076.0,969960.0,980287.0,1998-06-30,941034.0,906312.5,34721.5,1.0383107371905387
953175.0,980287.0,936605.0,928543.0,883867.0,912813.0,901076.0,969960.0,1998-09-30,934256.0,932325.5,1930.5,1.0020706287664556
925466.0,969960.0,980287.0,936605.0,928543.0,953175.0,912813.0,901076.0,1998-12-31,923132.5,953848.75,-30716.25,0.9677975674864595
938358.0,901076.0,969960.0,980287.0,936605.0,925466.0,953175.0,912813.0,1999-03-31,932453.0,946982.0,-14529.0,0.9846575753287813
939165.0,912813.0,901076.0,969960.0,980287.0,938358.0,925466.0,953175.0,1999-06-30,939041.0,941034.0,-1993.0,0.9978821169054466
939000.0,953175.0,912813.0,901076.0,969960.0,939165.0,938358.0,925466.0,1999-09-30,935497.25,934256.0,1241.25,1.0013285973009538
913734.0,925466.0,953175.0,912813.0,901076.0,939000.0,939165.0,938358.0,1999-12-31,932564.25,923132.5,9431.75,1.0102171140112606
936631.0,938358.0,925466.0,953175.0,912813.0,913734.0,939000.0,939165.0,2000-03-31,932132.5,932453.0,-320.5,0.9996562829440196
938810.0,939165.0,938358.0,925466.0,953175.0,936631.0,913734.0,939000.0,2000-06-30,932043.75,939041.0,-6997.25,0.9925485149210738
918383.0,939000.0,939165.0,938358.0,925466.0,938810.0,936631.0,913734.0,2000-09-30,926889.5,935497.25,-8607.75,0.9907987436627954
885201.0,913734.0,939000.0,939165.0,938358.0,918383.0,938810.0,936631.0,2000-12-31,919756.25,932564.25,-12808.0,0.9862658256522272
755313.0,936631.0,913734.0,939000.0,939165.0,885201.0,918383.0,938810.0,2001-03-31,874426.75,932132.5,-57705.75,0.9380927604176444
866181.0,938810.0,936631.0,913734.0,939000.0,755313.0,885201.0,918383.0,2001-06-30,856269.5,932043.75,-75774.25,0.918700972996171
898465.0,918383.0,938810.0,936631.0,913734.0,866181.0,755313.0,885201.0,2001-09-30,851290.0,926889.5,-75599.5,0.9184374189156312
795202.0,885201.0,918383.0,938810.0,936631.0,898465.0,866181.0,755313.0,2001-12-31,828790.25,919756.25,-90966.0,0.9010977093115703
878269.0,755313.0,885201.0,918383.0,938810.0,795202.0,898465.0,866181.0,2002-03-31,859529.25,874426.75,-14897.5,0.9829631241267494
877749.0,866181.0,755313.0,885201.0,918383.0,878269.0,795202.0,898465.0,2002-06-30,862421.25,856269.5,6151.75,1.0071843619327794
880030.0,898465.0,866181.0,755313.0,885201.0,877749.0,878269.0,795202.0,2002-09-30,857812.5,851290.0,6522.5,1.0076619013497163
890221.0,795202.0,898465.0,866181.0,755313.0,880030.0,877749.0,878269.0,2002-12-31,881567.25,828790.25,52777.0,1.0636795618674326
956541.0,878269.0,795202.0,898465.0,866181.0,890221.0,880030.0,877749.0,2003-03-31,901135.25,859529.25,41606.0,1.0484055661863747
907169.0,877749.0,878269.0,795202.0,898465.0,956541.0,890221.0,880030.0,2003-06-30,908490.25,862421.25,46069.0,1.0534182106482186
968841.0,880030.0,877749.0,878269.0,795202.0,907169.0,956541.0,890221.0,2003-09-30,930693.0,857812.5,72880.5,1.0849608743169399
967950.0,890221.0,880030.0,877749.0,878269.0,968841.0,907169.0,956541.0,2003-12-31,950125.25,881567.25,68558.0,1.0777683154631708
1041674.0,956541.0,890221.0,880030.0,877749.0,967950.0,968841.0,907169.0,2004-03-31,971408.5,901135.25,70273.25,1.0779830219714521
1121626.0,907169.0,956541.0,890221.0,880030.0,1041674.0,967950.0,968841.0,2004-06-30,1025022.75,908490.25,116532.5,1.1282705015271215
1149064.0,968841.0,907169.0,956541.0,890221.0,1121626.0,1041674.0,967950.0,2004-09-30,1070078.5,930693.0,139385.5,1.1497652824293296
1131921.0,967950.0,968841.0,907169.0,956541.0,1149064.0,1121626.0,1041674.0,2004-12-31,1111071.25,950125.25,160946.0,1.169394508776606
1259985.0,1041674.0,967950.0,968841.0,907169.0,1131921.0,1149064.0,1121626.0,2005-03-31,1165649.0,971408.5,194240.5,1.199957587358974
1380299.0,1121626.0,1041674.0,967950.0,968841.0,1259985.0,1131921.0,1149064.0,2005-06-30,1230317.25,1025022.75,205294.5,1.200282871770407
1463772.0,1149064.0,1121626.0,1041674.0,967950.0,1380299.0,1259985.0,1131921.0,2005-09-30,1308994.25,1070078.5,238915.75,1.2232693676211606
1702475.0,1131921.0,1149064.0,1121626.0,1041674.0,1463772.0,1380299.0,1259985.0,2005-12-31,1451632.75,1111071.25,340561.5,1.3065163462739227
1485288.0,1259985.0,1131921.0,1149064.0,1121626.0,1702475.0,1463772.0,1380299.0,2006-03-31,1507958.5,1165649.0,342309.5,1.2936643020326015
1502926.0,1380299.0,1259985.0,1131921.0,1149064.0,1485288.0,1702475.0,1463772.0,2006-06-30,1538615.25,1230317.25,308298.0,1.250584148113017
1565088.0,1463772.0,1380299.0,1259985.0,1131921.0,1502926.0,1485288.0,1702475.0,2006-09-30,1563944.25,1308994.25,254950.0,1.1947678532583317
1434163.0,1702475.0,1463772.0,1380299.0,1259985.0,1565088.0,1502926.0,1485288.0,2006-12-31,1496866.25,1451632.75,45233.5,1.0311604295232386
1477749.0,1485288.0,1702475.0,1463772.0,1380299.0,1434163.0,1565088.0,1502926.0,2007-03-31,1494981.5,1507958.5,-12977.0,0.9913943255069685
1534103.0,1502926.0,1485288.0,1702475.0,1463772.0,1477749.0,1434163.0,1565088.0,2007-06-30,1502775.75,1538615.25,-35839.5,0.9767066522966024
1396067.0,1565088.0,1502926.0,1485288.0,1702475.0,1534103.0,1477749.0,1434163.0,2007-09-30,1460520.5,1563944.25,-103423.75,0.9338699253506
1395838.0,1434163.0,1565088.0,1502926.0,1485288.0,1396067.0,1534103.0,1477749.0,2007-12-31,1450939.25,1496866.25,-45927.0,0.9693178999793736
1304140.0,1477749.0,1434163.0,1565088.0,1502926.0,1395838.0,1396067.0,1534103.0,2008-03-31,1407537.0,1494981.5,-87444.5,0.9415079718377786
1292793.0,1534103.0,1477749.0,1434163.0,1565088.0,1304140.0,1395838.0,1396067.0,2008-06-30,1347209.5,1502775.75,-155566.25,0.8964807290775088
1384542.0,1396067.0,1534103.0,1477749.0,1434163.0,1292793.0,1304140.0,1395838.0,2008-09-30,1344328.25,1460520.5,-116192.25,0.9204446291578927
1285752.0,1395838.0,1396067.0,1534103.0,1477749.0,1384542.0,1292793.0,1304140.0,2008-12-31,1316806.75,1450939.25,-134132.5,0.9075547098198632
1094763.0,1304140.0,1395838.0,1396067.0,1534103.0,1285752.0,1384542.0,1292793.0,2009-03-31,1264462.5,1407537.0,-143074.5,0.898351162349551
1061766.0,1292793.0,1304140.0,1395838.0,1396067.0,1094763.0,1285752.0,1384542.0,2009-06-30,1206705.75,1347209.5,-140503.75,0.8957075718364516
1091179.0,1384542.0,1292793.0,1304140.0,1395838.0,1061766.0,1094763.0,1285752.0,2009-09-30,1133365.0,1344328.25,-210963.25,0.8430716233181889
1209279.0,1285752.0,1384542.0,1292793.0,1304140.0,1091179.0,1061766.0,1094763.0,2009-12-31,1114246.75,1316806.75,-202560.0,0.8461733280149119
1239963.0,1094763.0,1285752.0,1384542.0,1292793.0,1209279.0,1091179.0,1061766.0,2010-03-31,1150546.75,1264462.5,-113915.75,0.9099097442589242
1308101.0,1061766.0,1094763.0,1285752.0,1384542.0,1239963.0,1209279.0,1091179.0,2010-06-30,1212130.5,1206705.75,5424.75,1.0044955035641456
1406292.0,1091179.0,1061766.0,1094763.0,1285752.0,1308101.0,1239963.0,1209279.0,2010-09-30,1290908.75,1133365.0,157543.75,1.1390053072046515
1376368.0,1209279.0,1091179.0,1061766.0,1094763.0,1406292.0,1308101.0,1239963.0,2010-12-31,1332681.0,1114246.75,218434.25,1.1960375922119584
1283027.0,1239963.0,1209279.0,1091179.0,1061766.0,1376368.0,1406292.0,1308101.0,2011-03-31,1343447.0,1150546.75,192900.25,1.1676596366032062
1406521.0,1308101.0,1239963.0,1209279.0,1091179.0,1283027.0,1376368.0,1406292.0,2011-06-30,1368052.0,1212130.5,155921.5,1.1286342518400452
1436353.0,1406292.0,1308101.0,1239963.0,1209279.0,1406521.0,1283027.0,1376368.0,2011-09-30,1375567.25,1290908.75,84658.5,1.0655805454878202
1482356.0,1376368.0,1406292.0,1308101.0,1239963.0,1436353.0,1406521.0,1283027.0,2011-12-31,1402064.25,1332681.0,69383.25,1.0520629092783644
1508115.0,1283027.0,1376368.0,1406292.0,1308101.0,1482356.0,1436353.0,1406521.0,2012-03-31,1458336.25,1343447.0,114889.25,1.0855182601174442
1569298.0,1406521.0,1283027.0,1376368.0,1406292.0,1508115.0,1482356.0,1436353.0,2012-06-30,1499030.5,1368052.0,130978.5,1.095740878270709
1517279.0,1436353.0,1406521.0,1283027.0,1376368.0,1569298.0,1508115.0,1482356.0,2012-09-30,1519262.0,1375567.25,143694.75,1.104462177330843
1545733.0,1482356.0,1436353.0,1406521.0,1283027.0,1517279.0,1569298.0,1508115.0,2012-12-31,1535106.25,1402064.25,133042.0,1.0948900879542431
1576150.0,1508115.0,1482356.0,1436353.0,1406521.0,1545733.0,1517279.0,1569298.0,2013-03-31,1552115.0,1458336.25,93778.75,1.0643052999608287
1581047.0,1569298.0,1508115.0,1482356.0,1436353.0,1576150.0,1545733.0,1517279.0,2013-06-30,1555052.25,1499030.5,56021.75,1.037371988094972
1486064.0,1517279.0,1569298.0,1508115.0,1482356.0,1581047.0,1576150.0,1545733.0,2013-09-30,1547248.5,1519262.0,27986.5,1.0184211149887248
1561232.0,1545733.0,1517279.0,1569298.0,1508115.0,1486064.0,1581047.0,1576150.0,2013-12-31,1551123.25,1535106.25,16017.0,1.0104338054776338
1493548.0,1576150.0,1545733.0,1517279.0,1569298.0,1561232.0,1486064.0,1581047.0,2014-03-31,1530472.75,1552115.0,-21642.25,0.9860562844892292
1615798.0,1581047.0,1576150.0,1545733.0,1517279.0,1493548.0,1561232.0,1486064.0,2014-06-30,1539160.5,1555052.25,-15891.75,0.9897805684664294
1696473.0,1486064.0,1581047.0,1576150.0,1545733.0,1615798.0,1493548.0,1561232.0,2014-09-30,1591762.75,1547248.5,44514.25,1.0287699422555587
1704935.0,1561232.0,1486064.0,1581047.0,1576150.0,1696473.0,1615798.0,1493548.0,2014-12-31,1627688.5,1551123.25,76565.25,1.0493611645625194
1652303.0,1493548.0,1561232.0,1486064.0,1581047.0,1704935.0,1696473.0,1615798.0,2015-03-31,1667377.25,1530472.75,136904.5,1.0894524257292395
1676952.0,1615798.0,1493548.0,1561232.0,1486064.0,1652303.0,1704935.0,1696473.0,2015-06-30,1682665.75,1539160.5,143505.25,1.093236053030207
1707181.0,1696473.0,1615798.0,1493548.0,1561232.0,1676952.0,1652303.0,1704935.0,2015-09-30,1685342.75,1591762.75,93580.0,1.0587901683212526
1587644.0,1704935.0,1696473.0,1615798.0,1493548.0,1707181.0,1676952.0,1652303.0,2015-12-31,1656020.0,1627688.5,28331.5,1.017405971720019
1668086.0,1652303.0,1704935.0,1696473.0,1615798.0,1587644.0,1707181.0,1676952.0,2016-03-31,1659965.75,1667377.25,-7411.5,0.9955549951278273
1548865.0,1676952.0,1652303.0,1704935.0,1696473.0,1668086.0,1587644.0,1707181.0,2016-06-30,1627944.0,1682665.75,-54721.75,0.9674791324420788
1597836.0,1707181.0,1676952.0,1652303.0,1704935.0,1548865.0,1668086.0,1587644.0,2016-09-30,1600607.75,1685342.75,-84735.0,0.9497223932639222
1538631.0,1587644.0,1707181.0,1676952.0,1652303.0,1597836.0,1548865.0,1668086.0,2016-12-31,1588354.5,1656020.0,-67665.5,0.9591396843033296
1565369.0,1668086.0,1587644.0,1707181.0,1676952.0,1538631.0,1597836.0,1548865.0,2017-03-31,1562675.25,1659965.75,-97290.5,0.9413900557888016
1617212.0,1548865.0,1668086.0,1587644.0,1707181.0,1565369.0,1538631.0,1597836.0,2017-06-30,1579762.0,1627944.0,-48182.0,0.9704031588310164
1640682.0,1597836.0,1548865.0,1668086.0,1587644.0,1617212.0,1565369.0,1538631.0,2017-09-30,1590473.5,1600607.75,-10134.25,0.9936684987311851
