0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
-1861.0,-1517.0,-416.0,-901.0,-758.0,-5939.0,-3595.0,-2943.0,1991-12-31,-3584.5,-898.0,4078.0,0.31335241623168886,-2686.5,3.9916481069042318
-1727.0,-2943.0,-1517.0,-416.0,-901.0,-1861.0,-5939.0,-3595.0,1992-03-31,-3280.5,-1444.25,134.0,0.9279957012358947,-1836.25,2.271421152847499
-941.0,-3595.0,-2943.0,-1517.0,-416.0,-1727.0,-1861.0,-5939.0,1992-06-30,-2617.0,-2117.75,786.0,0.5448755066589461,-499.25,1.2357454845944988
-733.0,-5939.0,-3595.0,-2943.0,-1517.0,-941.0,-1727.0,-1861.0,1992-09-30,-1315.5,-3498.5,208.0,0.7789585547290117,2183.0,0.37601829355438043
-1736.0,-1861.0,-5939.0,-3595.0,-2943.0,-733.0,-941.0,-1727.0,1992-12-31,-1284.25,-3584.5,-1003.0,2.368349249658936,2300.25,0.35827869995815315
-1890.0,-1727.0,-1861.0,-5939.0,-3595.0,-1736.0,-733.0,-941.0,1993-03-31,-1325.0,-3280.5,-154.0,1.0887096774193548,1955.5,0.40390184423106235
-1446.0,-941.0,-1727.0,-1861.0,-5939.0,-1890.0,-1736.0,-733.0,1993-06-30,-1451.25,-2617.0,444.0,0.765079365079365,1165.75,0.5545471914405808
1449.0,-733.0,-941.0,-1727.0,-1861.0,-1446.0,-1890.0,-1736.0,1993-09-30,-905.75,-1315.5,2895.0,-1.0020746887966805,409.75,0.6885214747244394
3726.0,-1736.0,-733.0,-941.0,-1727.0,1449.0,-1446.0,-1890.0,1993-12-31,459.75,-1284.25,2277.0,2.5714285714285716,1744.0,-0.3579910453572124
2096.0,-1890.0,-1736.0,-733.0,-941.0,3726.0,1449.0,-1446.0,1994-03-31,1456.25,-1325.0,-1630.0,0.5625335480407944,2781.25,-1.099056603773585
-3384.0,-1446.0,-1890.0,-1736.0,-733.0,2096.0,3726.0,1449.0,1994-06-30,971.75,-1451.25,-5480.0,-1.6145038167938932,2423.0,-0.6695951765719208
1384.0,1449.0,-1446.0,-1890.0,-1736.0,-3384.0,2096.0,3726.0,1994-09-30,955.5,-905.75,4768.0,-0.408983451536643,1861.25,-1.0549268561965222
-1150.0,3726.0,1449.0,-1446.0,-1890.0,1384.0,-3384.0,2096.0,1994-12-31,-263.5,459.75,-2534.0,-0.8309248554913294,-723.25,-0.5731375747688962
-6041.0,2096.0,3726.0,1449.0,-1446.0,-1150.0,1384.0,-3384.0,1995-03-31,-2297.75,1456.25,-4891.0,5.25304347826087,-3754.0,-1.5778540772532188
-4095.0,-3384.0,2096.0,3726.0,1449.0,-6041.0,-1150.0,1384.0,1995-06-30,-2475.5,971.75,1946.0,0.6778679026651216,-3447.25,-2.547465912014407
-2378.0,1384.0,-3384.0,2096.0,3726.0,-4095.0,-6041.0,-1150.0,1995-09-30,-3416.0,955.5,1717.0,0.5807081807081808,-4371.5,-3.5750915750915753
-688.0,-1150.0,1384.0,-3384.0,2096.0,-2378.0,-4095.0,-6041.0,1995-12-31,-3300.5,-263.5,1690.0,0.28931875525651807,-3037.0,12.52561669829222
-1499.0,-6041.0,-1150.0,1384.0,-3384.0,-688.0,-2378.0,-4095.0,1996-03-31,-2165.0,-2297.75,-811.0,2.178779069767442,132.75,0.9422260907409422
65.0,-4095.0,-6041.0,-1150.0,1384.0,-1499.0,-688.0,-2378.0,1996-06-30,-1125.0,-2475.5,1564.0,-0.04336224149432955,1350.5,0.45445364572813574
170.0,-2378.0,-4095.0,-6041.0,-1150.0,65.0,-1499.0,-688.0,1996-09-30,-488.0,-3416.0,105.0,2.6153846153846154,2928.0,0.14285714285714285
1302.0,-688.0,-2378.0,-4095.0,-6041.0,170.0,65.0,-1499.0,1996-12-31,9.5,-3300.5,1132.0,7.658823529411765,3310.0,-0.0028783517648841087
3076.0,-1499.0,-688.0,-2378.0,-4095.0,1302.0,170.0,65.0,1997-03-31,1153.25,-2165.0,1774.0,2.3625192012288787,3318.25,-0.5326789838337183
4589.0,65.0,-1499.0,-688.0,-2378.0,3076.0,1302.0,170.0,1997-06-30,2284.25,-1125.0,1513.0,1.4918725617685307,3409.25,-2.0304444444444445
5842.0,170.0,65.0,-1499.0,-688.0,4589.0,3076.0,1302.0,1997-09-30,3702.25,-488.0,1253.0,1.2730442362170407,4190.25,-7.586577868852459
509.0,1302.0,170.0,65.0,-1499.0,5842.0,4589.0,3076.0,1997-12-31,3504.0,9.5,-5333.0,0.08712769599452243,3494.5,368.8421052631579
-16286.0,3076.0,1302.0,170.0,65.0,509.0,5842.0,4589.0,1998-03-31,-1336.5,1153.25,-16795.0,-31.99607072691552,-2489.75,-1.158898764361587
-16576.0,4589.0,3076.0,1302.0,170.0,-16286.0,509.0,5842.0,1998-06-30,-6627.75,2284.25,-290.0,1.0178067051455237,-8912.0,-2.901499398051877
-21856.0,5842.0,4589.0,3076.0,1302.0,-16576.0,-16286.0,509.0,1998-09-30,-13552.25,3702.25,-5280.0,1.3185328185328185,-17254.5,-3.660544263623472
-21119.0,509.0,5842.0,4589.0,3076.0,-21856.0,-16576.0,-16286.0,1998-12-31,-18959.25,3504.0,737.0,0.9662792825768668,-22463.25,-5.410744863013699
-13477.0,-16286.0,509.0,5842.0,4589.0,-21119.0,-21856.0,-16576.0,1999-03-31,-18257.0,-1336.5,7642.0,0.6381457455371939,-16920.5,13.660306771417883
-21657.0,-16576.0,-16286.0,509.0,5842.0,-13477.0,-21119.0,-21856.0,1999-06-30,-19527.25,-6627.75,-8180.0,1.6069600059360392,-12899.5,2.9462864471351513
-18832.0,-21856.0,-16576.0,-16286.0,509.0,-21657.0,-13477.0,-21119.0,1999-09-30,-18771.25,-13552.25,2825.0,0.869557187052685,-5219.0,1.3851021048165433
-17843.0,-21119.0,-21856.0,-16576.0,-16286.0,-18832.0,-21657.0,-13477.0,1999-12-31,-17952.25,-18959.25,989.0,0.947483007646559,1007.0,0.9468860846288751
-35290.0,-13477.0,-21119.0,-21856.0,-16576.0,-17843.0,-18832.0,-21657.0,2000-03-31,-23405.5,-18257.0,-17447.0,1.977806422686768,-5148.5,1.2820014241112998
-39219.0,-21657.0,-13477.0,-21119.0,-21856.0,-35290.0,-17843.0,-18832.0,2000-06-30,-27796.0,-19527.25,-3929.0,1.111334655709833,-8268.75,1.4234467218886429
-40758.0,-18832.0,-21657.0,-13477.0,-21119.0,-39219.0,-35290.0,-17843.0,2000-09-30,-33277.5,-18771.25,-1539.0,1.0392411841199418,-14506.25,1.7727908370513419
-42642.0,-17843.0,-18832.0,-21657.0,-13477.0,-40758.0,-39219.0,-35290.0,2000-12-31,-39477.25,-17952.25,-1884.0,1.0462240541734138,-21525.0,2.1990140511635032
-31410.0,-35290.0,-17843.0,-18832.0,-21657.0,-42642.0,-40758.0,-39219.0,2001-03-31,-38507.25,-23405.5,11232.0,0.7365977205571971,-15101.75,1.6452222768152784
-22814.0,-39219.0,-35290.0,-17843.0,-18832.0,-31410.0,-42642.0,-40758.0,2001-06-30,-34406.0,-27796.0,8596.0,0.7263291945240369,-6610.0,1.2378040005756223
-14629.0,-40758.0,-39219.0,-35290.0,-17843.0,-22814.0,-31410.0,-42642.0,2001-09-30,-27873.75,-33277.5,8185.0,0.6412290698693784,5403.75,0.8376155059725039
-5434.0,-42642.0,-40758.0,-39219.0,-35290.0,-14629.0,-22814.0,-31410.0,2001-12-31,-18571.75,-39477.25,9195.0,0.37145396130972724,20905.5,0.47044183675407986
-50.0,-31410.0,-42642.0,-40758.0,-39219.0,-5434.0,-14629.0,-22814.0,2002-03-31,-10731.75,-38507.25,5384.0,0.009201324990798674,27775.5,0.2786942718578969
273.0,-22814.0,-31410.0,-42642.0,-40758.0,-50.0,-5434.0,-14629.0,2002-06-30,-4960.0,-34406.0,323.0,-5.46,29446.0,0.14416090216822647
-379.0,-14629.0,-22814.0,-31410.0,-42642.0,273.0,-50.0,-5434.0,2002-09-30,-1397.5,-27873.75,-652.0,-1.3882783882783882,26476.25,0.05013677743396565
675.0,-5434.0,-14629.0,-22814.0,-31410.0,-379.0,273.0,-50.0,2002-12-31,129.75,-18571.75,1054.0,-1.7810026385224274,18701.5,-0.0069864175427732985
-1386.0,-50.0,-5434.0,-14629.0,-22814.0,675.0,-379.0,273.0,2003-03-31,-204.25,-10731.75,-2061.0,-2.0533333333333332,10527.5,0.01903231066694621
4620.0,273.0,-50.0,-5434.0,-14629.0,-1386.0,675.0,-379.0,2003-06-30,882.5,-4960.0,6006.0,-3.3333333333333335,5842.5,-0.1779233870967742
3886.0,-379.0,273.0,-50.0,-5434.0,4620.0,-1386.0,675.0,2003-09-30,1948.75,-1397.5,-734.0,0.8411255411255412,3346.25,-1.394454382826476
6070.0,675.0,-379.0,273.0,-50.0,3886.0,4620.0,-1386.0,2003-12-31,3297.5,129.75,2184.0,1.56201749871333,3167.75,25.414258188824665
15135.0,-1386.0,675.0,-379.0,273.0,6070.0,3886.0,4620.0,2004-03-31,7427.75,-204.25,9065.0,2.4934102141680397,7632.0,-36.365973072215425
2589.0,4620.0,-1386.0,675.0,-379.0,15135.0,6070.0,3886.0,2004-06-30,6920.0,882.5,-12546.0,0.17106045589692764,6037.5,7.841359773371105
9644.0,3886.0,4620.0,-1386.0,675.0,2589.0,15135.0,6070.0,2004-09-30,8359.5,1948.75,7055.0,3.7249903437620704,6410.75,4.289672867222579
15007.0,6070.0,3886.0,4620.0,-1386.0,9644.0,2589.0,15135.0,2004-12-31,10593.75,3297.5,5363.0,1.5560970551638325,7296.25,3.212661106899166
14877.0,15135.0,6070.0,3886.0,4620.0,15007.0,9644.0,2589.0,2005-03-31,10529.25,7427.75,-130.0,0.9913373758912507,3101.5,1.4175557874188012
-4164.0,2589.0,15135.0,6070.0,3886.0,14877.0,15007.0,9644.0,2005-06-30,8841.0,6920.0,-19041.0,-0.2798951401492236,1921.0,1.277601156069364
394.0,9644.0,2589.0,15135.0,6070.0,-4164.0,14877.0,15007.0,2005-09-30,6528.5,8359.5,4558.0,-0.09462055715658022,-1831.0,0.7809677612297387
-10173.0,15007.0,9644.0,2589.0,15135.0,394.0,-4164.0,14877.0,2005-12-31,233.5,10593.75,-10567.0,-25.81979695431472,-10360.25,0.022041297935103246
9409.0,14877.0,15007.0,9644.0,2589.0,-10173.0,394.0,-4164.0,2006-03-31,-1133.5,10529.25,19582.0,-0.9248992430944657,-11662.75,-0.10765249186789183
8534.0,-4164.0,14877.0,15007.0,9644.0,9409.0,-10173.0,394.0,2006-06-30,2041.0,8841.0,-875.0,0.907003932405144,-6800.0,0.23085623798212873
6760.0,394.0,-4164.0,14877.0,15007.0,8534.0,9409.0,-10173.0,2006-09-30,3632.5,6528.5,-1774.0,0.7921256151863135,-2896.0,0.5564065252355058
10793.0,-10173.0,394.0,-4164.0,14877.0,6760.0,8534.0,9409.0,2006-12-31,8874.0,233.5,4033.0,1.5965976331360947,8640.5,38.00428265524625
