0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,yoy_diff,yoy_ratio
7385.0,6722.0,6524.0,6306.0,6088.0,7219.0,7062.0,6900.0,1991-12-31,7141.5,6410.0,731.5,1.1141185647425897
7556.0,6900.0,6722.0,6524.0,6306.0,7385.0,7219.0,7062.0,1992-03-31,7305.5,6613.0,692.5,1.1047179797368818
7732.0,7062.0,6900.0,6722.0,6524.0,7556.0,7385.0,7219.0,1992-06-30,7473.0,6802.0,671.0,1.0986474566304028
7907.0,7219.0,7062.0,6900.0,6722.0,7732.0,7556.0,7385.0,1992-09-30,7645.0,6975.75,669.25,1.095939504712755
8075.0,7385.0,7219.0,7062.0,6900.0,7907.0,7732.0,7556.0,1992-12-31,7817.5,7141.5,676.0,1.0946579850171532
8242.0,7556.0,7385.0,7219.0,7062.0,8075.0,7907.0,7732.0,1993-03-31,7989.0,7305.5,683.5,1.0935596468414208
8412.0,7732.0,7556.0,7385.0,7219.0,8242.0,8075.0,7907.0,1993-06-30,8159.0,7473.0,686.0,1.0917971363575538
8571.0,7907.0,7732.0,7556.0,7385.0,8412.0,8242.0,8075.0,1993-09-30,8325.0,7645.0,680.0,1.0889470241988228
8706.0,8075.0,7907.0,7732.0,7556.0,8571.0,8412.0,8242.0,1993-12-31,8482.75,7817.5,665.25,1.0850975375759513
8825.0,8242.0,8075.0,7907.0,7732.0,8706.0,8571.0,8412.0,1994-03-31,8628.5,7989.0,639.5,1.0800475654024284
8935.0,8412.0,8242.0,8075.0,7907.0,8825.0,8706.0,8571.0,1994-06-30,8759.25,8159.0,600.25,1.073569064836377
9020.0,8571.0,8412.0,8242.0,8075.0,8935.0,8825.0,8706.0,1994-09-30,8871.5,8325.0,546.5,1.0656456456456456
9064.0,8706.0,8571.0,8412.0,8242.0,9020.0,8935.0,8825.0,1994-12-31,8961.0,8482.75,478.25,1.0563791223365064
9062.0,8825.0,8706.0,8571.0,8412.0,9064.0,9020.0,8935.0,1995-03-31,9020.25,8628.5,391.75,1.045401865909486
9005.0,8935.0,8825.0,8706.0,8571.0,9062.0,9064.0,9020.0,1995-06-30,9037.75,8759.25,278.5,1.0317949596141223
8937.0,9020.0,8935.0,8825.0,8706.0,9005.0,9062.0,9064.0,1995-09-30,9017.0,8871.5,145.5,1.0164008341317703
8889.0,9064.0,9020.0,8935.0,8825.0,8937.0,9005.0,9062.0,1995-12-31,8973.25,8961.0,12.25,1.0013670349291375
8920.0,9062.0,9064.0,9020.0,8935.0,8889.0,8937.0,9005.0,1996-03-31,8937.75,9020.25,-82.5,0.9908539120312629
8950.0,9005.0,9062.0,9064.0,9020.0,8920.0,8889.0,8937.0,1996-06-30,8924.0,9037.75,-113.75,0.9874139027966031
8958.0,8937.0,9005.0,9062.0,9064.0,8950.0,8920.0,8889.0,1996-09-30,8929.25,9017.0,-87.75,0.9902683819452146
9219.0,8889.0,8937.0,9005.0,9062.0,8958.0,8950.0,8920.0,1996-12-31,9011.75,8973.25,38.5,1.0042905301869445
9313.0,8920.0,8889.0,8937.0,9005.0,9219.0,8958.0,8950.0,1997-03-31,9110.0,8937.75,172.25,1.0192721881905402
9313.0,8950.0,8920.0,8889.0,8937.0,9313.0,9219.0,8958.0,1997-06-30,9200.75,8924.0,276.75,1.0310118780815778
9316.0,8958.0,8950.0,8920.0,8889.0,9313.0,9313.0,9219.0,1997-09-30,9290.25,8929.25,361.0,1.0404289274015175
9087.0,9219.0,8958.0,8950.0,8920.0,9316.0,9313.0,9313.0,1997-12-31,9257.25,9011.75,245.5,1.0272422115571338
9131.0,9313.0,9219.0,8958.0,8950.0,9087.0,9316.0,9313.0,1998-03-31,9211.75,9110.0,101.75,1.0111690450054884
9229.0,9313.0,9313.0,9219.0,8958.0,9131.0,9087.0,9316.0,1998-06-30,9190.75,9200.75,-10.0,0.9989131320816238
8877.0,9316.0,9313.0,9313.0,9219.0,9229.0,9131.0,9087.0,1998-09-30,9081.0,9290.25,-209.25,0.9774763865342698
8860.0,9087.0,9316.0,9313.0,9313.0,8877.0,9229.0,9131.0,1998-12-31,9024.25,9257.25,-233.0,0.9748305382267952
8967.0,9131.0,9087.0,9316.0,9313.0,8860.0,8877.0,9229.0,1999-03-31,8983.25,9211.75,-228.5,0.9751947241295085
9061.0,9229.0,9131.0,9087.0,9316.0,8967.0,8860.0,8877.0,1999-06-30,8941.25,9190.75,-249.5,0.9728531403857139
9329.0,8877.0,9229.0,9131.0,9087.0,9061.0,8967.0,8860.0,1999-09-30,9054.25,9081.0,-26.75,0.997054289175201
9387.0,8860.0,8877.0,9229.0,9131.0,9329.0,9061.0,8967.0,1999-12-31,9186.0,9024.25,161.75,1.017923927196166
9518.0,8967.0,8860.0,8877.0,9229.0,9387.0,9329.0,9061.0,2000-03-31,9323.75,8983.25,340.5,1.0379038766593383
9548.0,9061.0,8967.0,8860.0,8877.0,9518.0,9387.0,9329.0,2000-06-30,9445.5,8941.25,504.25,1.0563959177967286
9623.0,9329.0,9061.0,8967.0,8860.0,9548.0,9518.0,9387.0,2000-09-30,9519.0,9054.25,464.75,1.0513294861529117
9570.0,9387.0,9329.0,9061.0,8967.0,9623.0,9548.0,9518.0,2000-12-31,9564.75,9186.0,378.75,1.041231221423906
9484.0,9518.0,9387.0,9329.0,9061.0,9570.0,9623.0,9548.0,2001-03-31,9556.25,9323.75,232.5,1.0249363185413594
9397.0,9548.0,9518.0,9387.0,9329.0,9484.0,9570.0,9623.0,2001-06-30,9518.5,9445.5,73.0,1.0077285479858133
9311.0,9623.0,9548.0,9518.0,9387.0,9397.0,9484.0,9570.0,2001-09-30,9440.5,9519.0,-78.5,0.9917533354343944
9225.0,9570.0,9623.0,9548.0,9518.0,9311.0,9397.0,9484.0,2001-12-31,9354.25,9564.75,-210.5,0.9779921064324734
9225.0,9484.0,9570.0,9623.0,9548.0,9225.0,9311.0,9397.0,2002-03-31,9289.5,9556.25,-266.75,0.9720863309352518
9424.0,9397.0,9484.0,9570.0,9623.0,9225.0,9225.0,9311.0,2002-06-30,9296.25,9518.5,-222.25,0.9766507327835268
9522.0,9311.0,9397.0,9484.0,9570.0,9424.0,9225.0,9225.0,2002-09-30,9349.0,9440.5,-91.5,0.9903077167522907
9431.0,9225.0,9311.0,9397.0,9484.0,9522.0,9424.0,9225.0,2002-12-31,9400.5,9354.25,46.25,1.0049442766656866
9329.0,9225.0,9225.0,9311.0,9397.0,9431.0,9522.0,9424.0,2003-03-31,9426.5,9289.5,137.0,1.0147478335755422
9245.0,9424.0,9225.0,9225.0,9311.0,9329.0,9431.0,9522.0,2003-06-30,9381.75,9296.25,85.5,1.009197256958451
9220.0,9522.0,9424.0,9225.0,9225.0,9245.0,9329.0,9431.0,2003-09-30,9306.25,9349.0,-42.75,0.9954273184297786
9162.0,9431.0,9522.0,9424.0,9225.0,9220.0,9245.0,9329.0,2003-12-31,9239.0,9400.5,-161.5,0.982820062762619
9297.0,9329.0,9431.0,9522.0,9424.0,9162.0,9220.0,9245.0,2004-03-31,9231.0,9426.5,-195.5,0.9792605951307484
9318.0,9245.0,9329.0,9431.0,9522.0,9297.0,9162.0,9220.0,2004-06-30,9249.25,9381.75,-132.5,0.9858768353452181
9313.0,9220.0,9245.0,9329.0,9431.0,9318.0,9297.0,9162.0,2004-09-30,9272.5,9306.25,-33.75,0.9963734049697783
9211.0,9162.0,9220.0,9245.0,9329.0,9313.0,9318.0,9297.0,2004-12-31,9284.75,9239.0,45.75,1.0049518346141357
9157.0,9297.0,9162.0,9220.0,9245.0,9211.0,9313.0,9318.0,2005-03-31,9249.75,9231.0,18.75,1.0020311992200195
9172.0,9318.0,9297.0,9162.0,9220.0,9157.0,9211.0,9313.0,2005-06-30,9213.25,9249.25,-36.0,0.9961077925237182
9178.0,9313.0,9318.0,9297.0,9162.0,9172.0,9157.0,9211.0,2005-09-30,9179.5,9272.5,-93.0,0.9899703424103532
9192.0,9211.0,9313.0,9318.0,9297.0,9178.0,9172.0,9157.0,2005-12-31,9174.75,9284.75,-110.0,0.9881526158485688
9225.0,9157.0,9211.0,9313.0,9318.0,9192.0,9178.0,9172.0,2006-03-31,9191.75,9249.75,-58.0,0.9937295602583853
9376.0,9172.0,9157.0,9211.0,9313.0,9225.0,9192.0,9178.0,2006-06-30,9242.75,9213.25,29.5,1.0032019102922423
9379.0,9178.0,9172.0,9157.0,9211.0,9376.0,9225.0,9192.0,2006-09-30,9293.0,9179.5,113.5,1.012364507870799
9579.0,9192.0,9178.0,9172.0,9157.0,9379.0,9376.0,9225.0,2006-12-31,9389.75,9174.75,215.0,1.0234338810321808
9666.0,9225.0,9192.0,9178.0,9172.0,9579.0,9379.0,9376.0,2007-03-31,9500.0,9191.75,308.25,1.0335355073843393
9742.0,9376.0,9225.0,9192.0,9178.0,9666.0,9579.0,9379.0,2007-06-30,9591.5,9242.75,348.75,1.0377322766492656
9986.0,9379.0,9376.0,9225.0,9192.0,9742.0,9666.0,9579.0,2007-09-30,9743.25,9293.0,450.25,1.0484504465726892
10072.0,9579.0,9379.0,9376.0,9225.0,9986.0,9742.0,9666.0,2007-12-31,9866.5,9389.75,476.75,1.0507734497723582
10102.0,9666.0,9579.0,9379.0,9376.0,10072.0,9986.0,9742.0,2008-03-31,9975.5,9500.0,475.5,1.0500526315789473
10076.0,9742.0,9666.0,9579.0,9379.0,10102.0,10072.0,9986.0,2008-06-30,10059.0,9591.5,467.5,1.0487410728248971
10076.0,9986.0,9742.0,9666.0,9579.0,10076.0,10102.0,10072.0,2008-09-30,10081.5,9743.25,338.25,1.0347163420829806
10315.0,10072.0,9986.0,9742.0,9666.0,10076.0,10076.0,10102.0,2008-12-31,10142.25,9866.5,275.75,1.027948107231541
10221.0,10102.0,10072.0,9986.0,9742.0,10315.0,10076.0,10076.0,2009-03-31,10172.0,9975.5,196.5,1.01969826073881
