0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
5890.0,2420.0,9769.0,15717.0,11227.0,13751.0,14188.0,14110.0,1991-12-31,11984.75,9783.25,-7861.0,0.4283324849101883,2201.5,1.2250274704213835
19617.0,14110.0,2420.0,9769.0,15717.0,5890.0,13751.0,14188.0,1992-03-31,13361.5,10504.0,13727.0,3.330560271646859,2857.5,1.2720392231530846
16279.0,14188.0,14110.0,2420.0,9769.0,19617.0,5890.0,13751.0,1992-06-30,13884.25,10121.75,-3338.0,0.829841464036295,3762.5,1.3717242571689678
13582.0,13751.0,14188.0,14110.0,2420.0,16279.0,19617.0,5890.0,1992-09-30,13842.0,11117.25,-2697.0,0.8343264328275692,2724.75,1.2450920866221413
13958.0,5890.0,13751.0,14188.0,14110.0,13582.0,16279.0,19617.0,1992-12-31,15859.0,11984.75,376.0,1.0276836990134002,3874.25,1.3232649825820313
12908.0,19617.0,5890.0,13751.0,14188.0,13958.0,13582.0,16279.0,1993-03-31,14181.75,13361.5,-1050.0,0.9247743229689067,820.25,1.0613890655989222
19605.0,16279.0,19617.0,5890.0,13751.0,12908.0,13958.0,13582.0,1993-06-30,15013.25,13884.25,6697.0,1.5188255345522157,1129.0,1.081315159263194
20988.0,13582.0,16279.0,19617.0,5890.0,19605.0,12908.0,13958.0,1993-09-30,16864.75,13842.0,1383.0,1.0705432287681713,3022.75,1.21837523479266
25787.0,13958.0,13582.0,16279.0,19617.0,20988.0,19605.0,12908.0,1993-12-31,19822.0,15859.0,4799.0,1.228654469220507,3963.0,1.2498896525632133
34667.0,12908.0,13958.0,13582.0,16279.0,25787.0,20988.0,19605.0,1994-03-31,25261.75,14181.75,8880.0,1.3443595610191181,11080.0,1.781285807463818
37001.0,19605.0,12908.0,13958.0,13582.0,34667.0,25787.0,20988.0,1994-06-30,29610.75,15013.25,2334.0,1.0673262757088875,14597.5,1.9723077947812766
42184.0,20988.0,19605.0,12908.0,13958.0,37001.0,34667.0,25787.0,1994-09-30,34909.75,16864.75,5183.0,1.1400772952082376,18045.0,2.069983249084629
43989.0,25787.0,20988.0,19605.0,12908.0,42184.0,37001.0,34667.0,1994-12-31,39460.25,19822.0,1805.0,1.0427887350654277,19638.25,1.9907299969730603
35434.0,34667.0,25787.0,20988.0,19605.0,43989.0,42184.0,37001.0,1995-03-31,39652.0,25261.75,-8555.0,0.8055195617086089,14390.25,1.5696458083861966
37196.0,37001.0,34667.0,25787.0,20988.0,35434.0,43989.0,42184.0,1995-06-30,39700.75,29610.75,1762.0,1.0497262516227353,10090.0,1.3407546245873543
40887.0,42184.0,37001.0,34667.0,25787.0,37196.0,35434.0,43989.0,1995-09-30,39376.5,34909.75,3691.0,1.0992311001182924,4466.75,1.1279513602933278
39432.0,43989.0,42184.0,37001.0,34667.0,40887.0,37196.0,35434.0,1995-12-31,38237.25,39460.25,-1455.0,0.9644141169564898,-1223.0,0.9690067853092669
48517.0,35434.0,43989.0,42184.0,37001.0,39432.0,40887.0,37196.0,1996-03-31,41508.0,39652.0,9085.0,1.2303966321769122,1856.0,1.0468072228386966
49713.0,37196.0,35434.0,43989.0,42184.0,48517.0,39432.0,40887.0,1996-06-30,44637.25,39700.75,1196.0,1.0246511532040317,4936.5,1.124342739117019
47965.0,40887.0,37196.0,35434.0,43989.0,49713.0,48517.0,39432.0,1996-09-30,46406.75,39376.5,-1748.0,0.9648381711021262,7030.25,1.178539230251546
47006.0,39432.0,40887.0,37196.0,35434.0,47965.0,49713.0,48517.0,1996-12-31,48300.25,38237.25,-959.0,0.9800062545606171,10063.0,1.2631726915507784
52805.0,48517.0,39432.0,40887.0,37196.0,47006.0,47965.0,49713.0,1997-03-31,49372.25,41508.0,5799.0,1.1233672297153554,7864.25,1.1894634769201118
53293.0,49713.0,48517.0,39432.0,40887.0,52805.0,47006.0,47965.0,1997-06-30,50267.25,44637.25,488.0,1.0092415490957296,5630.0,1.126127841656912
59396.0,47965.0,49713.0,48517.0,39432.0,53293.0,52805.0,47006.0,1997-09-30,53125.0,46406.75,6103.0,1.1145178541271836,6718.25,1.144768810571738
55565.0,47006.0,47965.0,49713.0,48517.0,59396.0,53293.0,52805.0,1997-12-31,55264.75,48300.25,-3831.0,0.9355007071183244,6964.5,1.144191800249481
33914.0,52805.0,47006.0,47965.0,49713.0,55565.0,59396.0,53293.0,1998-03-31,50542.0,49372.25,-21651.0,0.6103482407990641,1169.75,1.0236924588204912
36100.0,53293.0,52805.0,47006.0,47965.0,33914.0,55565.0,59396.0,1998-06-30,46243.75,50267.25,2186.0,1.064457156336616,-4023.5,0.9199578254231134
46429.0,59396.0,53293.0,52805.0,47006.0,36100.0,33914.0,55565.0,1998-09-30,43002.0,53125.0,10329.0,1.2861218836565096,-10123.0,0.8094494117647059
40633.0,55565.0,59396.0,53293.0,52805.0,46429.0,36100.0,33914.0,1998-12-31,39269.0,55264.75,-5796.0,0.8751642292532684,-15995.75,0.7105614338253589
37558.0,33914.0,55565.0,59396.0,53293.0,40633.0,46429.0,36100.0,1999-03-31,40180.0,50542.0,-3075.0,0.9243225949351512,-10362.0,0.7949823908828301
37479.0,36100.0,33914.0,55565.0,59396.0,37558.0,40633.0,46429.0,1999-06-30,40524.75,46243.75,-79.0,0.9978965866127056,-5719.0,0.8763292336802271
40738.0,46429.0,36100.0,33914.0,55565.0,37479.0,37558.0,40633.0,1999-09-30,39102.0,43002.0,3259.0,1.0869553616692014,-3900.0,0.90930654388168
27634.0,40633.0,46429.0,36100.0,33914.0,40738.0,37479.0,37558.0,1999-12-31,35852.25,39269.0,-13104.0,0.6783347243360008,-3416.75,0.9129911635132038
9927.0,37558.0,40633.0,46429.0,36100.0,27634.0,40738.0,37479.0,2000-03-31,28944.5,40180.0,-17707.0,0.35923138163132373,-11235.5,0.720370831259333
7269.0,37479.0,37558.0,40633.0,46429.0,9927.0,27634.0,40738.0,2000-06-30,21392.0,40524.75,-2658.0,0.7322453913569054,-19132.75,0.5278749406227059
5917.0,40738.0,37479.0,37558.0,40633.0,7269.0,9927.0,27634.0,2000-09-30,12686.75,39102.0,-1352.0,0.8140046773971661,-26415.25,0.32445271341619353
2801.0,27634.0,40738.0,37479.0,37558.0,5917.0,7269.0,9927.0,2000-12-31,6478.5,35852.25,-3116.0,0.47338178130809533,-29373.75,0.18069995606970274
-20987.0,9927.0,27634.0,40738.0,37479.0,2801.0,5917.0,7269.0,2001-03-31,-1250.0,28944.5,-23788.0,-7.492681185290968,-30194.5,-0.04318609753148266
11637.0,7269.0,9927.0,27634.0,40738.0,-20987.0,2801.0,5917.0,2001-06-30,-158.0,21392.0,32624.0,-0.5544861104493257,-21550.0,-0.007385938668661182
13370.0,5917.0,7269.0,9927.0,27634.0,11637.0,-20987.0,2801.0,2001-09-30,1705.25,12686.75,1733.0,1.148921543353098,-10981.5,0.13441188641693105
-6535.0,2801.0,5917.0,7269.0,9927.0,13370.0,11637.0,-20987.0,2001-12-31,-628.75,6478.5,-19905.0,-0.4887808526551982,-7107.25,-0.0970517866790152
27071.0,-20987.0,2801.0,5917.0,7269.0,-6535.0,13370.0,11637.0,2002-03-31,11385.75,-1250.0,33606.0,-4.142463657230298,12635.75,-9.1086
23023.0,11637.0,-20987.0,2801.0,5917.0,27071.0,-6535.0,13370.0,2002-06-30,14232.25,-158.0,-4048.0,0.8504672897196262,14390.25,-90.07753164556962
27170.0,13370.0,11637.0,-20987.0,2801.0,23023.0,27071.0,-6535.0,2002-09-30,17682.25,1705.25,4147.0,1.1801242236024845,15977.0,10.369300689048526
20760.0,-6535.0,13370.0,11637.0,-20987.0,27170.0,23023.0,27071.0,2002-12-31,24506.0,-628.75,-6410.0,0.764078027235922,25134.75,-38.97574552683896
49524.0,27071.0,-6535.0,13370.0,11637.0,20760.0,27170.0,23023.0,2003-03-31,30119.25,11385.75,28764.0,2.3855491329479768,18733.5,2.645346156379685
17269.0,23023.0,27071.0,-6535.0,13370.0,49524.0,20760.0,27170.0,2003-06-30,28680.75,14232.25,-32255.0,0.34869962038607544,14448.5,2.0151943649106783
37646.0,27170.0,23023.0,27071.0,-6535.0,17269.0,49524.0,20760.0,2003-09-30,31299.75,17682.25,20377.0,2.1799756789623026,13617.5,1.7701225805539453
27860.0,20760.0,27170.0,23023.0,27071.0,37646.0,17269.0,49524.0,2003-12-31,33074.75,24506.0,-9786.0,0.740052063964299,8568.75,1.3496592671182568
37230.0,49524.0,20760.0,27170.0,23023.0,27860.0,37646.0,17269.0,2004-03-31,30001.25,30119.25,9370.0,1.33632447954056,-118.0,0.9960822397636063
54640.0,17269.0,49524.0,20760.0,27170.0,37230.0,27860.0,37646.0,2004-06-30,39344.0,28680.75,17410.0,1.4676336287939833,10663.25,1.3717911839822878
56825.0,37646.0,17269.0,49524.0,20760.0,54640.0,37230.0,27860.0,2004-09-30,44138.75,31299.75,2185.0,1.039989019033675,12839.0,1.4101949696083835
16298.0,27860.0,37646.0,17269.0,49524.0,56825.0,54640.0,37230.0,2004-12-31,41248.25,33074.75,-40527.0,0.2868103827540695,8173.5,1.2471220492974249
57676.0,37230.0,27860.0,37646.0,17269.0,16298.0,56825.0,54640.0,2005-03-31,46359.75,30001.25,41378.0,3.5388391213645845,16358.5,1.5452606141410774
102959.0,54640.0,37230.0,27860.0,37646.0,57676.0,16298.0,56825.0,2005-06-30,58439.5,39344.0,45283.0,1.7851272626395729,19095.5,1.4853471939812932
162134.0,56825.0,54640.0,37230.0,27860.0,102959.0,57676.0,16298.0,2005-09-30,84766.75,44138.75,59175.0,1.5747433444380774,40628.0,1.920461046132933
235150.0,16298.0,56825.0,54640.0,37230.0,162134.0,102959.0,57676.0,2005-12-31,139479.75,41248.25,73016.0,1.4503435429953002,98231.5,3.381470729061233
67654.0,57676.0,16298.0,56825.0,54640.0,235150.0,162134.0,102959.0,2006-03-31,141974.25,46359.75,-167496.0,0.2877057197533489,95614.5,3.062446410949153
65002.0,102959.0,57676.0,16298.0,56825.0,67654.0,235150.0,162134.0,2006-06-30,132485.0,58439.5,-2652.0,0.9608005439441866,74045.5,2.267045405932631
56674.0,162134.0,102959.0,57676.0,16298.0,65002.0,67654.0,235150.0,2006-09-30,106120.0,84766.75,-8328.0,0.8718808652041475,21353.25,1.251905965487647
7636.0,235150.0,162134.0,102959.0,57676.0,56674.0,65002.0,67654.0,2006-12-31,49241.5,139479.75,-49038.0,0.13473550481702368,-90238.25,0.3530369103758789
