0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
,,,,,,,,1991-12-31,,,,,,
,,,,,,,,1992-03-31,,,,,,
,,,,,,,,1992-06-30,,,,,,
,,,,,,,,1992-09-30,,,,,,
,,,,,,,,1992-12-31,,,,,,
,,,,,,,,1993-03-31,,,,,,
,,,,,,,,1993-06-30,,,,,,
,,,,,,,,1993-09-30,,,,,,
,,,,,,,,1993-12-31,,,,,,
,,,,,,,,1994-03-31,,,,,,
,,,,,,,,1994-06-30,,,,,,
,,,,,,,,1994-09-30,,,,,,
,,,,,,,,1994-12-31,,,,,,
,,,,,,,,1995-03-31,,,,,,
,,,,,,,,1995-06-30,,,,,,
,,,,,,,,1995-09-30,,,,,,
,,,,,,,,1995-12-31,,,,,,
,,,,,,,,1996-03-31,,,,,,
,,,,,,,,1996-06-30,,,,,,
,,,,,,,,1996-09-30,,,,,,
,,,,,,,,1996-12-31,,,,,,
,,,,,,,,1997-03-31,,,,,,
,,,,,,,,1997-06-30,,,,,,
,,,,,,,,1997-09-30,,,,,,
,,,,,,,,1997-12-31,,,,,,
,,,,,,,,1998-03-31,,,,,,
,,,,,,,,1998-06-30,,,,,,
,,,,,,,,1998-09-30,,,,,,
,,,,,,,,1998-12-31,,,,,,
,,,,,,,,1999-03-31,,,,,,
,,,,,,,,1999-06-30,,,,,,
,,,,,,,,1999-09-30,,,,,,
,,,,,,,,1999-12-31,,,,,,
,,,,,,,,2000-03-31,,,,,,
,,,,,,,,2000-06-30,,,,,,
,,,,,,,,2000-09-30,,,,,,
,,,,,,,,2000-12-31,,,,,,
,,,,,,,,2001-03-31,,,,,,
,,,,,,,,2001-06-30,,,,,,
,,,,,,,,2001-09-30,,,,,,
,,,,,,,,2001-12-31,,,,,,
,,,,,,,,2002-03-31,,,,,,
,,,,,,,,2002-06-30,,,,,,
,,,,,,,,2002-09-30,,,,,,
,,,,,,,,2002-12-31,,,,,,
,,,,,,,,2003-03-31,,,,,,
,,,,,,,,2003-06-30,,,,,,
,,,,,,,,2003-09-30,,,,,,
,,,,,,,,2003-12-31,,,,,,
,,,,,,,,2004-03-31,,,,,,
,,,,,,,,2004-06-30,,,,,,
,,,,,,,,2004-09-30,,,,,,
,,,,,,,,2004-12-31,,,,,,
,,,,,,,,2005-03-31,,,,,,
,,,,,,,,2005-06-30,,,,,,
,,,,,,,,2005-09-30,,,,,,
,,,,,,,,2005-12-31,,,,,,
,,,,,,,,2006-03-31,,,,,,
,,,,,,,,2006-06-30,,,,,,
,,,,,,,,2006-09-30,,,,,,
,,,,,,,,2006-12-31,,,,,,
,,,,,,,,2007-03-31,,,,,,
,,,,,,,,2007-06-30,,,,,,
,,,,,,,,2007-09-30,,,,,,
,,,,,,,,2007-12-31,,,,,,
,,,,,,,,2008-03-31,,,,,,
,,,,,,,,2008-06-30,,,,,,
,,,,,,,,2008-09-30,,,,,,
,,,,,,,,2008-12-31,,,,,,
,,,,,,,,2009-03-31,,,,,,
,,,,,,,,2009-06-30,,,,,,
,,,,,,,,2009-09-30,,,,,,
,,,,,,,,2009-12-31,,,,,,
,,,,,,,,2010-03-31,,,,,,
,,,,,,,,2010-06-30,,,,,,
,,,,,,,,2010-09-30,,,,,,
,,,,,,,,2010-12-31,,,,,,
,,,,,,,,2011-03-31,,,,,,
,,,,,,,,2011-06-30,,,,,,
,,,,,,,,2011-09-30,,,,,,
,,,,,,,,2011-12-31,,,,,,
,,,,,,,,2012-03-31,,,,,,
,,,,,,,,2012-06-30,,,,,,
,,,,,,,,2012-09-30,,,,,,
,,,,,,,,2012-12-31,,,,,,
,,,,,,,,2013-03-31,,,,,,
,,,,,,,,2013-06-30,,,,,,
,,,,,,,,2013-09-30,,,,,,
,,,,,,,,2013-12-31,,,,,,
,,,,,,,,2014-03-31,,,,,,
,,,,,,,,2014-06-30,,,,,,
,,,,,,,,2014-09-30,,,,,,
,,,,,,,,2014-12-31,,,,,,
,,,,,,,,2015-03-31,,,,,,
,,,,,,,,2015-06-30,,,,,,
,,,,,,,,2015-09-30,,,,,,
,,,,,,,,2015-12-31,,,,,,
0.3573913043478261,,,,,,,,2016-03-31,0.3573913043478261,,,,,
0.36921875000000004,,,,,0.3573913043478261,,,2016-06-30,0.3633050271739131,,0.011827445652173918,1.0330938260340632,,
0.39499999999999996,,,,,0.36921875000000004,0.3573913043478261,,2016-09-30,0.373870018115942,,0.025781249999999922,1.069826491747778,,
0.44442622950819677,,,,,0.39499999999999996,0.36921875000000004,0.3573913043478261,2016-12-31,0.3915090709640057,,0.049426229508196806,1.1251296949574603,,
0.7033870967741933,0.3573913043478261,,,,0.44442622950819677,0.39499999999999996,0.36921875000000004,2017-03-31,0.47800801907059753,0.3573913043478261,0.25896086726599654,1.582685831915374,0.12061671472277141,1.3374920241634722
0.95234375,0.36921875000000004,0.3573913043478261,,,0.7033870967741933,0.44442622950819677,0.39499999999999996,2017-06-30,0.6237892690705975,0.3633050271739131,0.24895665322580673,1.353939750057327,0.2604842418966844,1.7169849641854564
1.155396825396825,0.39499999999999996,0.36921875000000004,0.3573913043478261,,0.95234375,0.7033870967741933,0.44442622950819677,2017-09-30,0.8138884754198038,0.373870018115942,0.20305307539682493,1.2132140578408006,0.4400184573038618,2.1769289752659606
