Date,Value
1987-06-17,23742.0
1987-06-24,24035.0
1987-07-01,24567.0
1987-07-08,24787.0
1987-07-15,25124.0
1987-07-22,25289.0
1987-07-29,25610.0
1987-08-05,25857.0
1987-08-12,26159.0
1987-08-19,26405.0
1987-08-26,26714.0
1987-09-02,27004.0
1987-09-09,27469.0
1987-09-16,27582.0
1987-09-23,27808.0
1987-09-30,28265.0
1987-10-07,28236.0
1987-10-14,28430.0
1987-10-21,28618.0
1987-10-28,28765.0
1987-11-04,28990.0
1987-11-11,29489.0
1987-11-18,29367.0
1987-11-25,29528.0
1987-12-02,29706.0
1987-12-09,29856.0
1987-12-16,30146.0
1987-12-23,30539.0
1987-12-30,31186.0
1988-01-06,31159.0
1988-01-13,31556.0
1988-01-20,31692.0
1988-01-27,31882.0
1988-02-03,32003.0
1988-02-10,32301.0
1988-02-17,32447.0
1988-02-24,32384.0
1988-03-02,32584.0
1988-03-09,32751.0
1988-03-16,32761.0
1988-03-23,32840.0
1988-03-30,32945.0
1988-04-06,33423.0
1988-04-13,33384.0
1988-04-20,33674.0
1988-04-27,33957.0
1988-05-04,34190.0
1988-05-11,34404.0
1988-05-18,34493.0
1988-05-25,34662.0
1988-06-01,34829.0
1988-06-08,34998.0
1988-06-15,35261.0
1988-06-22,35496.0
1988-06-29,35820.0
1988-07-06,35893.0
1988-07-13,36027.0
1988-07-20,36206.0
1988-07-27,36442.0
1988-08-03,36737.0
1988-08-10,36931.0
1988-08-17,37260.0
1988-08-24,37486.0
1988-08-31,37799.0
1988-09-07,37977.0
1988-09-14,38446.0
1988-09-21,38776.0
1988-09-28,38992.0
1988-10-05,39244.0
1988-10-12,39382.0
1988-10-19,39490.0
1988-10-26,39671.0
1988-11-02,40012.0
1988-11-09,40180.0
1988-11-16,40343.0
1988-11-23,40615.0
1988-11-30,40825.0
1988-12-07,40874.0
1988-12-14,41026.0
1988-12-21,41259.0
1988-12-28,41185.0
1989-01-04,41843.0
1989-01-11,41983.0
1989-01-18,42138.0
1989-01-25,42098.0
1989-02-01,42357.0
1989-02-08,42885.0
1989-02-15,43045.0
1989-02-22,43263.0
1989-03-01,43465.0
1989-03-08,43572.0
1989-03-15,43769.0
1989-03-22,43857.0
1989-03-29,44058.0
1989-04-05,44076.0
1989-04-12,44244.0
1989-04-19,44534.0
1989-04-26,44919.0
1989-05-03,45089.0
1989-05-10,45398.0
1989-05-17,45492.0
1989-05-24,45660.0
1989-05-31,45817.0
1989-06-07,46006.0
1989-06-14,46309.0
1989-06-21,46553.0
1989-06-28,47023.0
1989-07-05,47032.0
1989-07-12,47298.0
1989-07-19,47582.0
1989-07-26,47629.0
1989-08-02,47915.0
1989-08-09,48185.0
1989-08-16,48515.0
1989-08-23,48692.0
1989-08-30,48996.0
1989-09-06,49170.0
1989-09-13,49376.0
1989-09-20,49606.0
1989-09-27,49863.0
1989-10-04,49561.0
1989-10-11,49730.0
1989-10-18,50010.0
1989-10-25,50182.0
1989-11-01,50447.0
1989-11-08,50518.0
1989-11-15,50711.0
1989-11-22,50878.0
1989-11-29,51033.0
1989-12-06,51224.0
1989-12-13,51465.0
1989-12-20,51545.0
1989-12-27,51676.0
1990-01-03,52015.0
1990-01-10,52338.0
1990-01-17,52470.0
1990-01-24,52582.0
1990-01-31,52787.0
1990-02-07,52894.0
1990-02-14,53103.0
1990-02-21,53154.0
1990-02-28,53094.0
1990-03-07,53368.0
1990-03-14,53582.0
1990-03-21,53685.0
1990-03-28,53698.0
1990-04-04,53709.0
1990-04-11,54060.0
1990-04-18,54453.0
1990-04-25,54873.0
1990-05-02,55026.0
1990-05-09,55169.0
1990-05-16,55458.0
1990-05-23,55660.0
1990-05-30,55910.0
1990-06-06,56116.0
1990-06-13,56353.0
1990-06-20,56640.0
1990-06-27,56981.0
1990-07-04,57058.0
1990-07-11,57393.0
1990-07-18,57720.0
1990-07-25,58231.0
1990-08-01,58599.0
1990-08-08,58792.0
1990-08-15,59139.0
1990-08-22,59417.0
1990-08-29,59636.0
1990-09-05,59806.0
1990-09-12,60089.0
1990-09-19,60045.0
1990-09-26,60704.0
1990-10-03,61357.0
1990-10-10,61512.0
1990-10-17,62178.0
1990-10-24,62647.0
1990-10-31,62854.0
1990-11-07,62863.0
1990-11-14,62952.0
1990-11-21,63089.0
1990-11-28,63171.0
1990-12-05,63662.0
1990-12-12,63251.0
1990-12-19,63649.0
1990-12-26,63759.0
1991-01-02,63751.0
1991-01-09,63868.0
1991-01-16,64171.0
1991-01-23,64228.0
1991-01-30,64320.0
1991-02-06,64288.0
1991-02-13,65084.0
1991-02-20,65290.0
1991-02-27,65401.0
1991-03-06,65498.0
1991-03-13,65631.0
1991-03-20,65748.0
1991-03-27,65847.0
1991-04-03,65975.0
1991-04-10,66088.0
1991-04-17,66480.0
1991-04-24,66460.0
1991-05-01,66641.0
1991-05-08,66741.0
1991-05-15,66893.0
1991-05-22,67000.0
1991-05-29,67207.0
1991-06-05,67670.0
1991-06-12,67812.0
1991-06-19,67762.0
1991-06-26,67865.0
1991-07-03,68060.0
1991-07-10,68138.0
1991-07-17,68308.0
1991-07-24,68401.0
1991-07-31,68604.0
1991-08-07,68677.0
1991-08-14,68916.0
1991-08-21,69145.0
1991-08-28,69362.0
1991-09-04,69569.0
1991-09-11,69860.0
1991-09-18,70027.0
1991-09-25,70159.0
1991-10-02,70786.0
1991-10-09,70949.0
1991-10-16,71015.0
1991-10-23,71210.0
1991-10-30,71568.0
1991-11-06,71505.0
1991-11-13,71532.0
1991-11-20,71681.0
1991-11-27,71827.0
1991-12-04,71931.0
1991-12-11,72032.0
1991-12-18,72206.0
1991-12-25,72402.0
1992-01-01,72078.0
1992-01-08,72084.0
1992-01-15,72302.0
1992-01-22,72270.0
1992-01-29,72355.0
1992-02-05,72194.0
1992-02-12,72142.0
1992-02-19,72089.0
1992-02-26,71965.0
1992-03-04,71874.0
1992-03-11,71738.0
1992-03-18,71742.0
1992-03-25,71714.0
1992-04-01,72261.0
1992-04-08,72091.0
1992-04-15,72431.0
1992-04-22,72624.0
1992-04-29,72818.0
1992-05-06,73003.0
1992-05-13,73102.0
1992-05-20,73121.0
1992-05-27,73110.0
1992-06-03,72916.0
1992-06-10,73177.0
1992-06-17,73234.0
1992-06-24,73484.0
1992-07-01,73691.0
1992-07-08,73632.0
1992-07-15,73888.0
1992-07-22,73917.0
1992-07-29,74051.0
1992-08-05,73998.0
1992-08-12,74165.0
1992-08-19,74279.0
1992-08-26,74318.0
1992-09-02,74327.0
1992-09-09,74262.0
1992-09-16,74431.0
1992-09-23,74469.0
1992-09-30,75046.0
1992-10-07,75498.0
1992-10-14,75525.0
1992-10-21,75478.0
1992-10-28,75420.0
1992-11-04,75325.0
1992-11-11,75409.0
1992-11-18,75398.0
1992-11-25,75295.0
1992-12-02,75168.0
1992-12-09,75397.0
1992-12-16,75323.0
1992-12-23,75092.0
1992-12-30,75176.0
1993-01-06,75155.0
1993-01-13,75086.0
1993-01-20,75151.0
1993-01-27,75195.0
1993-02-03,75041.0
1993-02-10,75005.0
1993-02-17,75063.0
1993-02-24,74983.0
1993-03-03,75372.0
1993-03-10,75286.0
1993-03-17,75300.0
1993-03-24,75302.0
1993-03-31,75529.0
1993-04-07,75380.0
1993-04-14,75651.0
1993-04-21,76087.0
1993-04-28,76246.0
1993-05-05,76273.0
1993-05-12,76246.0
1993-05-19,76225.0
1993-05-26,76314.0
1993-06-02,76058.0
1993-06-09,75965.0
1993-06-16,76408.0
1993-06-23,76278.0
1993-06-30,76317.0
1993-07-07,76319.0
1993-07-14,75425.0
1993-07-21,75184.0
1993-07-28,74935.0
1993-08-04,74616.0
1993-08-11,74402.0
1993-08-18,74308.0
1993-08-25,74125.0
1993-09-01,76933.0
1993-09-08,76747.0
1993-09-15,76602.0
1993-09-22,76330.0
1993-09-29,76077.0
1993-10-06,75744.0
1993-10-13,75642.0
1993-10-20,75506.0
1993-10-27,75329.0
1993-11-03,75125.0
1993-11-10,75013.0
1993-11-17,74911.0
1993-11-24,74675.0
1993-12-01,74530.0
1993-12-08,74362.0
1993-12-15,74341.0
1993-12-22,74166.0
1993-12-29,73938.0
1994-01-05,73925.0
1994-01-12,73793.0
1994-01-19,73793.0
1994-01-26,73763.0
1994-02-02,73791.0
1994-02-09,73694.0
1994-02-16,73633.0
1994-02-23,73490.0
1994-03-02,73428.0
1994-03-09,73325.0
1994-03-16,73195.0
1994-03-23,73212.0
1994-03-30,73120.0
1994-04-06,73111.0
1994-04-13,73201.0
1994-04-20,73533.0
1994-04-27,73710.0
1994-05-04,73724.0
1994-05-11,73766.0
1994-05-18,73941.0
1994-05-25,74040.0
1994-06-01,74158.0
1994-06-08,74148.0
1994-06-15,74393.0
1994-06-22,74241.0
1994-06-29,74470.0
1994-07-06,74511.0
1994-07-13,74485.0
1994-07-20,74519.0
1994-07-27,74580.0
1994-08-03,74708.0
1994-08-10,74697.0
1994-08-17,74911.0
1994-08-24,74933.0
1994-08-31,75147.0
1994-09-07,75216.0
1994-09-14,75392.0
