0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,yoy_diff,yoy_ratio
362.0,415.0,411.0,412.0,414.0,364.0,383.0,359.0,1991-12-31,367.0,413.0,-46.0,0.8886198547215496
341.0,359.0,415.0,411.0,412.0,362.0,364.0,383.0,1992-03-31,362.5,399.25,-36.75,0.9079524107701941
523.0,383.0,359.0,415.0,411.0,341.0,362.0,364.0,1992-06-30,397.5,392.0,5.5,1.0140306122448979
813.0,364.0,383.0,359.0,415.0,523.0,341.0,362.0,1992-09-30,509.75,380.25,129.5,1.3405654174884944
1128.0,362.0,364.0,383.0,359.0,813.0,523.0,341.0,1992-12-31,701.25,367.0,334.25,1.9107629427792916
1378.0,341.0,362.0,364.0,383.0,1128.0,813.0,523.0,1993-03-31,960.5,362.5,598.0,2.649655172413793
1744.0,523.0,341.0,362.0,364.0,1378.0,1128.0,813.0,1993-06-30,1265.75,397.5,868.25,3.1842767295597483
2052.0,813.0,523.0,341.0,362.0,1744.0,1378.0,1128.0,1993-09-30,1575.5,509.75,1065.75,3.090730750367827
2239.0,1128.0,813.0,523.0,341.0,2052.0,1744.0,1378.0,1993-12-31,1853.25,701.25,1152.0,2.6427807486631014
2872.0,1378.0,1128.0,813.0,523.0,2239.0,2052.0,1744.0,1994-03-31,2226.75,960.5,1266.25,2.3183237896928683
3810.0,1744.0,1378.0,1128.0,813.0,2872.0,2239.0,2052.0,1994-06-30,2743.25,1265.75,1477.5,2.1672921192968597
4778.0,2052.0,1744.0,1378.0,1128.0,3810.0,2872.0,2239.0,1994-09-30,3424.75,1575.5,1849.25,2.1737543636940653
5062.0,2239.0,2052.0,1744.0,1378.0,4778.0,3810.0,2872.0,1994-12-31,4130.5,1853.25,2277.25,2.228787265614461
5782.0,2872.0,2239.0,2052.0,1744.0,5062.0,4778.0,3810.0,1995-03-31,4858.0,2226.75,2631.25,2.1816548781856966
6254.0,3810.0,2872.0,2239.0,2052.0,5782.0,5062.0,4778.0,1995-06-30,5469.0,2743.25,2725.75,1.9936207053677208
6890.0,4778.0,3810.0,2872.0,2239.0,6254.0,5782.0,5062.0,1995-09-30,5997.0,3424.75,2572.25,1.751076720928535
6915.0,5062.0,4778.0,3810.0,2872.0,6890.0,6254.0,5782.0,1995-12-31,6460.25,4130.5,2329.75,1.5640358310131945
7188.0,5782.0,5062.0,4778.0,3810.0,6915.0,6890.0,6254.0,1996-03-31,6811.75,4858.0,1953.75,1.4021716755866611
7158.0,6254.0,5782.0,5062.0,4778.0,7188.0,6915.0,6890.0,1996-06-30,7037.75,5469.0,1568.75,1.2868440299872006
7157.0,6890.0,6254.0,5782.0,5062.0,7158.0,7188.0,6915.0,1996-09-30,7104.5,5997.0,1107.5,1.1846756711689177
