Date,Value
1999-01-01,275075.0
1999-04-01,300072.0
1999-07-01,322373.0
1999-10-01,330965.0
2000-01-01,334315.0
2000-04-01,359369.0
2000-07-01,379333.0
2000-10-01,374820.0
2001-01-01,351361.0
2001-04-01,348985.0
2001-07-01,340346.0
2001-10-01,326474.0
2002-01-01,314059.0
2002-04-01,351065.0
2002-07-01,364257.0
2002-10-01,368280.0
2003-01-01,354495.0
2003-04-01,373041.0
2003-07-01,387766.0
2003-10-01,399006.0
2004-01-01,400141.0
2004-04-01,441589.0
2004-07-01,456501.0
2004-10-01,473201.0
2005-01-01,455593.0
2005-04-01,495940.0
2005-07-01,515391.0
2005-10-01,533344.0
2006-01-01,517313.0
2006-04-01,560078.0
2006-07-01,579039.0
2006-10-01,562927.0
2007-01-01,543598.0
2007-04-01,586593.0
2007-07-01,606693.0
2007-10-01,622037.0
2008-01-01,609050.0
2008-04-01,669937.0
2008-07-01,692078.0
2008-10-01,579274.0
2009-01-01,448653.0
2009-04-01,464229.0
2009-07-01,514022.0
2009-10-01,539923.0
2010-01-01,528254.0
2010-04-01,587290.0
2010-07-01,615948.0
2010-10-01,616770.0
2011-01-01,616306.0
2011-04-01,679382.0
2011-07-01,696766.0
2011-10-01,683192.0
2012-01-01,665470.0
2012-04-01,702939.0
2012-07-01,697726.0
2012-10-01,689627.0
2013-01-01,651617.0
2013-04-01,696522.0
2013-07-01,707272.0
2013-10-01,699922.0
2014-01-01,670067.0
2014-04-01,731514.0
2014-07-01,736894.0
2014-10-01,727767.0
2015-01-01,663458.0
2015-04-01,706362.0
2015-07-01,707878.0
2015-10-01,686654.0
2016-01-01,635513.0
2016-04-01,680459.0
2016-07-01,697569.0
2016-10-01,699324.0
2017-01-01,678473.0
2017-04-01,727966.0
2017-07-01,729876.0
