0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,yoy_diff,yoy_ratio
16.0,20.0,24.0,35.0,29.0,14.0,14.0,18.0,1991-12-31,15.5,27.0,-11.5,0.5740740740740741
16.0,18.0,20.0,24.0,35.0,16.0,14.0,14.0,1992-03-31,15.0,24.25,-9.25,0.6185567010309279
15.0,14.0,18.0,20.0,24.0,16.0,16.0,14.0,1992-06-30,15.25,19.0,-3.75,0.8026315789473685
13.0,14.0,14.0,18.0,20.0,15.0,16.0,16.0,1992-09-30,15.0,16.5,-1.5,0.9090909090909091
14.0,16.0,14.0,14.0,18.0,13.0,15.0,16.0,1992-12-31,14.5,15.5,-1.0,0.9354838709677419
12.0,16.0,16.0,14.0,14.0,14.0,13.0,15.0,1993-03-31,13.5,15.0,-1.5,0.9
16.0,15.0,16.0,16.0,14.0,12.0,14.0,13.0,1993-06-30,13.75,15.25,-1.5,0.9016393442622951
17.0,13.0,15.0,16.0,16.0,16.0,12.0,14.0,1993-09-30,14.75,15.0,-0.25,0.9833333333333333
19.0,14.0,13.0,15.0,16.0,17.0,16.0,12.0,1993-12-31,16.0,14.5,1.5,1.103448275862069
21.0,12.0,14.0,13.0,15.0,19.0,17.0,16.0,1994-03-31,18.25,13.5,4.75,1.3518518518518519
32.0,16.0,12.0,14.0,13.0,21.0,19.0,17.0,1994-06-30,22.25,13.75,8.5,1.6181818181818182
30.0,17.0,16.0,12.0,14.0,32.0,21.0,19.0,1994-09-30,25.5,14.75,10.75,1.728813559322034
34.0,19.0,17.0,16.0,12.0,30.0,32.0,21.0,1994-12-31,29.25,16.0,13.25,1.828125
27.0,21.0,19.0,17.0,16.0,34.0,30.0,32.0,1995-03-31,30.75,18.25,12.5,1.6849315068493151
32.0,32.0,21.0,19.0,17.0,27.0,34.0,30.0,1995-06-30,30.75,22.25,8.5,1.3820224719101124
37.0,30.0,32.0,21.0,19.0,32.0,27.0,34.0,1995-09-30,32.5,25.5,7.0,1.2745098039215685
33.0,34.0,30.0,32.0,21.0,37.0,32.0,27.0,1995-12-31,32.25,29.25,3.0,1.1025641025641026
29.0,27.0,34.0,30.0,32.0,33.0,37.0,32.0,1996-03-31,32.75,30.75,2.0,1.065040650406504
34.0,32.0,27.0,34.0,30.0,29.0,33.0,37.0,1996-06-30,33.25,30.75,2.5,1.08130081300813
37.0,37.0,32.0,27.0,34.0,34.0,29.0,33.0,1996-09-30,33.25,32.5,0.75,1.023076923076923
38.0,33.0,37.0,32.0,27.0,37.0,34.0,29.0,1996-12-31,34.5,32.25,2.25,1.069767441860465
28.0,29.0,33.0,37.0,32.0,38.0,37.0,34.0,1997-03-31,34.25,32.75,1.5,1.0458015267175573
47.0,34.0,29.0,33.0,37.0,28.0,38.0,37.0,1997-06-30,37.5,33.25,4.25,1.1278195488721805
43.0,37.0,34.0,29.0,33.0,47.0,28.0,38.0,1997-09-30,39.0,33.25,5.75,1.1729323308270676
46.0,38.0,37.0,34.0,29.0,43.0,47.0,28.0,1997-12-31,41.0,34.5,6.5,1.1884057971014492
33.0,28.0,38.0,37.0,34.0,46.0,43.0,47.0,1998-03-31,42.25,34.25,8.0,1.2335766423357664
42.0,47.0,28.0,38.0,37.0,33.0,46.0,43.0,1998-06-30,41.0,37.5,3.5,1.0933333333333333
47.0,43.0,47.0,28.0,38.0,42.0,33.0,46.0,1998-09-30,42.0,39.0,3.0,1.0769230769230769
47.0,46.0,43.0,47.0,28.0,47.0,42.0,33.0,1998-12-31,42.25,41.0,1.25,1.0304878048780488
44.0,33.0,46.0,43.0,47.0,47.0,47.0,42.0,1999-03-31,45.0,42.25,2.75,1.0650887573964498
37.0,42.0,33.0,46.0,43.0,44.0,47.0,47.0,1999-06-30,43.75,41.0,2.75,1.0670731707317074
45.0,47.0,42.0,33.0,46.0,37.0,44.0,47.0,1999-09-30,43.25,42.0,1.25,1.0297619047619047
39.0,47.0,47.0,42.0,33.0,45.0,37.0,44.0,1999-12-31,41.25,42.25,-1.0,0.9763313609467456
40.0,44.0,47.0,47.0,42.0,39.0,45.0,37.0,2000-03-31,40.25,45.0,-4.75,0.8944444444444445
44.0,37.0,44.0,47.0,47.0,40.0,39.0,45.0,2000-06-30,42.0,43.75,-1.75,0.96
35.0,45.0,37.0,44.0,47.0,44.0,40.0,39.0,2000-09-30,39.5,43.25,-3.75,0.9132947976878613
38.0,39.0,45.0,37.0,44.0,35.0,44.0,40.0,2000-12-31,39.25,41.25,-2.0,0.9515151515151515
34.0,40.0,39.0,45.0,37.0,38.0,35.0,44.0,2001-03-31,37.75,40.25,-2.5,0.937888198757764
36.0,44.0,40.0,39.0,45.0,34.0,38.0,35.0,2001-06-30,35.75,42.0,-6.25,0.8511904761904762
38.0,35.0,44.0,40.0,39.0,36.0,34.0,38.0,2001-09-30,36.5,39.5,-3.0,0.9240506329113924
34.0,38.0,35.0,44.0,40.0,38.0,36.0,34.0,2001-12-31,35.5,39.25,-3.75,0.9044585987261147
38.0,34.0,38.0,35.0,44.0,34.0,38.0,36.0,2002-03-31,36.5,37.75,-1.25,0.9668874172185431
44.0,36.0,34.0,38.0,35.0,38.0,34.0,38.0,2002-06-30,38.5,35.75,2.75,1.0769230769230769
40.0,38.0,36.0,34.0,38.0,44.0,38.0,34.0,2002-09-30,39.0,36.5,2.5,1.0684931506849316
32.0,34.0,38.0,36.0,34.0,40.0,44.0,38.0,2002-12-31,38.5,35.5,3.0,1.0845070422535212
33.0,38.0,34.0,38.0,36.0,32.0,40.0,44.0,2003-03-31,37.25,36.5,0.75,1.0205479452054795
39.0,44.0,38.0,34.0,38.0,33.0,32.0,40.0,2003-06-30,36.0,38.5,-2.5,0.935064935064935
39.0,40.0,44.0,38.0,34.0,39.0,33.0,32.0,2003-09-30,35.75,39.0,-3.25,0.9166666666666666
42.0,32.0,40.0,44.0,38.0,39.0,39.0,33.0,2003-12-31,38.25,38.5,-0.25,0.9935064935064936
41.0,33.0,32.0,40.0,44.0,42.0,39.0,39.0,2004-03-31,40.25,37.25,3.0,1.080536912751678
40.0,39.0,33.0,32.0,40.0,41.0,42.0,39.0,2004-06-30,40.5,36.0,4.5,1.125
40.0,39.0,39.0,33.0,32.0,40.0,41.0,42.0,2004-09-30,40.75,35.75,5.0,1.1398601398601398
43.0,42.0,39.0,39.0,33.0,40.0,40.0,41.0,2004-12-31,41.0,38.25,2.75,1.0718954248366013
35.0,41.0,42.0,39.0,39.0,43.0,40.0,40.0,2005-03-31,39.5,40.25,-0.75,0.9813664596273292
43.0,40.0,41.0,42.0,39.0,35.0,43.0,40.0,2005-06-30,40.25,40.5,-0.25,0.9938271604938271
41.0,40.0,40.0,41.0,42.0,43.0,35.0,43.0,2005-09-30,40.5,40.75,-0.25,0.9938650306748467
