0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,yoy_diff,yoy_ratio
2.1,3.1,3.7,4.2,4.5,2.9,2.7,4.0,1991-12-31,2.925,3.875,-0.9500000000000002,0.7548387096774193
1.8,4.0,3.1,3.7,4.2,2.1,2.9,2.7,1992-03-31,2.375,3.75,-1.375,0.6333333333333333
2.6,2.7,4.0,3.1,3.7,1.8,2.1,2.9,1992-06-30,2.35,3.375,-1.025,0.6962962962962963
1.9,2.9,2.7,4.0,3.1,2.6,1.8,2.1,1992-09-30,2.1,3.175,-1.0749999999999997,0.6614173228346457
2.8,2.1,2.9,2.7,4.0,1.9,2.6,1.8,1992-12-31,2.275,2.925,-0.6499999999999999,0.7777777777777778
2.4,1.8,2.1,2.9,2.7,2.8,1.9,2.6,1993-03-31,2.425,2.375,0.04999999999999982,1.0210526315789472
2.4,2.6,1.8,2.1,2.9,2.4,2.8,1.9,1993-06-30,2.375,2.35,0.02499999999999991,1.0106382978723405
2.1,1.9,2.6,1.8,2.1,2.4,2.4,2.8,1993-09-30,2.425,2.1,0.32499999999999973,1.1547619047619047
2.3,2.8,1.9,2.6,1.8,2.1,2.4,2.4,1993-12-31,2.3000000000000003,2.275,0.025000000000000355,1.0109890109890112
2.1,2.4,2.8,1.9,2.6,2.3,2.1,2.4,1994-03-31,2.225,2.425,-0.19999999999999973,0.9175257731958764
2.0,2.4,2.4,2.8,1.9,2.1,2.3,2.1,1994-06-30,2.125,2.375,-0.25,0.8947368421052632
2.0,2.1,2.4,2.4,2.8,2.0,2.1,2.3,1994-09-30,2.0999999999999996,2.425,-0.3250000000000002,0.8659793814432989
2.3,2.3,2.1,2.4,2.4,2.0,2.0,2.1,1994-12-31,2.1,2.3000000000000003,-0.20000000000000018,0.9130434782608695
2.4,2.1,2.3,2.1,2.4,2.3,2.0,2.0,1995-03-31,2.175,2.225,-0.050000000000000266,0.9775280898876403
1.8,2.0,2.1,2.3,2.1,2.4,2.3,2.0,1995-06-30,2.125,2.125,0.0,1.0
1.7,2.0,2.0,2.1,2.3,1.8,2.4,2.3,1995-09-30,2.05,2.0999999999999996,-0.04999999999999982,0.9761904761904763
1.9,2.3,2.0,2.0,2.1,1.7,1.8,2.4,1995-12-31,1.9499999999999997,2.1,-0.15000000000000036,0.9285714285714284
2.1,2.4,2.3,2.0,2.0,1.9,1.7,1.8,1996-03-31,1.875,2.175,-0.2999999999999998,0.8620689655172414
1.5,1.8,2.4,2.3,2.0,2.1,1.9,1.7,1996-06-30,1.8,2.125,-0.32499999999999996,0.8470588235294118
1.8,1.7,1.8,2.4,2.3,1.5,2.1,1.9,1996-09-30,1.8250000000000002,2.05,-0.22499999999999964,0.8902439024390245
1.7,1.9,1.7,1.8,2.4,1.8,1.5,2.1,1996-12-31,1.775,1.9499999999999997,-0.17499999999999982,0.9102564102564104
2.0,2.1,1.9,1.7,1.8,1.7,1.8,1.5,1997-03-31,1.75,1.875,-0.125,0.9333333333333333
1.9,1.5,2.1,1.9,1.7,2.0,1.7,1.8,1997-06-30,1.8499999999999999,1.8,0.04999999999999982,1.0277777777777777
1.2,1.8,1.5,2.1,1.9,1.9,2.0,1.7,1997-09-30,1.7,1.8250000000000002,-0.12500000000000022,0.9315068493150683
1.4,1.7,1.8,1.5,2.1,1.2,1.9,2.0,1997-12-31,1.625,1.775,-0.1499999999999999,0.9154929577464789
0.6,2.0,1.7,1.8,1.5,1.4,1.2,1.9,1998-03-31,1.275,1.75,-0.4750000000000001,0.7285714285714285
