0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,yoy_diff,yoy_ratio
69304.59999999999,60948.166666666664,57301.36666666667,53897.9,51532.86666666667,66979.13333333335,64967.36666666666,62699.03333333333,1991-12-31,65987.53333333334,55920.075,10067.458333333343,1.1800329905375366
69716.93333333333,62699.03333333333,60948.166666666664,57301.36666666667,53897.9,69304.59999999999,66979.13333333335,64967.36666666666,1992-03-31,67742.00833333333,58711.61666666666,9030.39166666667,1.153809283057839
70628.23333333334,64967.36666666666,62699.03333333333,60948.166666666664,57301.36666666667,69716.93333333333,69304.59999999999,66979.13333333335,1992-06-30,69157.225,61478.98333333333,7678.241666666676,1.1248921379365686
71925.53333333334,66979.13333333335,64967.36666666666,62699.03333333333,60948.166666666664,70628.23333333334,69716.93333333333,69304.59999999999,1992-09-30,70393.825,63898.424999999996,6495.4000000000015,1.1016519577751722
73141.33333333333,69304.59999999999,66979.13333333335,64967.36666666666,62699.03333333333,71925.53333333334,70628.23333333334,69716.93333333333,1992-12-31,71353.00833333333,65987.53333333334,5365.474999999991,1.0813104343951836
72976.96666666666,69716.93333333333,69304.59999999999,66979.13333333335,64967.36666666666,73141.33333333333,71925.53333333334,70628.23333333334,1993-03-31,72168.01666666666,67742.00833333333,4426.008333333331,1.065336243229675
74099.26666666666,70628.23333333334,69716.93333333333,69304.59999999999,66979.13333333335,72976.96666666666,73141.33333333333,71925.53333333334,1993-06-30,73035.775,69157.225,3878.5499999999884,1.056083077364657
73674.23333333334,71925.53333333334,70628.23333333334,69716.93333333333,69304.59999999999,74099.26666666666,72976.96666666666,73141.33333333333,1993-09-30,73472.95,70393.825,3079.125,1.0437414077158047
72978.93333333333,73141.33333333333,71925.53333333334,70628.23333333334,69716.93333333333,73674.23333333334,74099.26666666666,72976.96666666666,1993-12-31,73432.35,71353.00833333333,2079.3416666666744,1.0291416117587195
71767.46666666666,72976.96666666666,73141.33333333333,71925.53333333334,70628.23333333334,72978.93333333333,73674.23333333334,74099.26666666666,1994-03-31,73129.975,72168.01666666666,961.958333333343,1.0133294273248008
72171.33333333333,74099.26666666666,72976.96666666666,73141.33333333333,71925.53333333334,71767.46666666666,72978.93333333333,73674.23333333334,1994-06-30,72647.99166666667,73035.775,-387.7833333333256,0.9946905015612784
73315.0,73674.23333333334,74099.26666666666,72976.96666666666,73141.33333333333,72171.33333333333,71767.46666666666,72978.93333333333,1994-09-30,72558.18333333333,73472.95,-914.7666666666628,0.9875496129301101
74529.86666666667,72978.93333333333,73674.23333333334,74099.26666666666,72976.96666666666,73315.0,72171.33333333333,71767.46666666666,1994-12-31,72945.91666666667,73432.35,-486.4333333333343,0.9933757624080758
74540.13333333335,71767.46666666666,72978.93333333333,73674.23333333334,74099.26666666666,74529.86666666667,73315.0,72171.33333333333,1995-03-31,73639.08333333333,73129.975,509.10833333332266,1.006961691609129
75598.76666666666,72171.33333333333,71767.46666666666,72978.93333333333,73674.23333333334,74540.13333333335,74529.86666666667,73315.0,1995-06-30,74495.94166666668,72647.99166666667,1847.9500000000116,1.0254370417902126
77552.13333333332,73315.0,72171.33333333333,71767.46666666666,72978.93333333333,75598.76666666666,74540.13333333335,74529.86666666667,1995-09-30,75555.225,72558.18333333333,2997.0416666666715,1.0413053570111894
78531.46666666667,74529.86666666667,73315.0,72171.33333333333,71767.46666666666,77552.13333333332,75598.76666666666,74540.13333333335,1995-12-31,76555.625,72945.91666666667,3609.7083333333285,1.04948472098621
78823.13333333335,74540.13333333335,74529.86666666667,73315.0,72171.33333333333,78531.46666666667,77552.13333333332,75598.76666666666,1996-03-31,77626.375,73639.08333333333,3987.2916666666715,1.0541464054979863
79134.3,75598.76666666666,74540.13333333335,74529.86666666667,73315.0,78823.13333333335,78531.46666666667,77552.13333333332,1996-06-30,78510.25833333333,74495.94166666668,4014.316666666651,1.053886380611561
80419.0,77552.13333333332,75598.76666666666,74540.13333333335,74529.86666666667,79134.3,78823.13333333335,78531.46666666667,1996-09-30,79226.975,75555.225,3671.75,1.0485969037879246
83625.2,78531.46666666667,77552.13333333332,75598.76666666666,74540.13333333335,80419.0,79134.3,78823.13333333335,1996-12-31,80500.40833333334,76555.625,3944.78333333334,1.0515283277137812
85609.33333333333,78823.13333333335,78531.46666666667,77552.13333333332,75598.76666666666,83625.2,80419.0,79134.3,1997-03-31,82196.95833333333,77626.375,4570.5833333333285,1.058879257640632
89884.83333333333,79134.3,78823.13333333335,78531.46666666667,77552.13333333332,85609.33333333333,83625.2,80419.0,1997-06-30,84884.59166666666,78510.25833333333,6374.3333333333285,1.0811910885106202
94630.26666666666,80419.0,79134.3,78823.13333333335,78531.46666666667,89884.83333333333,85609.33333333333,83625.2,1997-09-30,88437.40833333333,79226.975,9210.43333333332,1.1162537549027123
97438.0,83625.2,80419.0,79134.3,78823.13333333335,94630.26666666666,89884.83333333333,85609.33333333333,1997-12-31,91890.60833333332,80500.40833333334,11390.199999999983,1.141492449986537
97732.46666666667,85609.33333333333,83625.2,80419.0,79134.3,97438.0,94630.26666666666,89884.83333333333,1998-03-31,94921.39166666666,82196.95833333333,12724.433333333334,1.154804187300118
97224.53333333333,89884.83333333333,85609.33333333333,83625.2,80419.0,97732.46666666667,97438.0,94630.26666666666,1998-06-30,96756.31666666667,84884.59166666666,11871.725000000006,1.139857243427866
97489.5,94630.26666666666,89884.83333333333,85609.33333333333,83625.2,97224.53333333333,97732.46666666667,97438.0,1998-09-30,97471.125,88437.40833333333,9033.716666666674,1.1021481388579062
96986.23333333332,97438.0,94630.26666666666,89884.83333333333,85609.33333333333,97489.5,97224.53333333333,97732.46666666667,1998-12-31,97358.18333333333,91890.60833333332,5467.575000000012,1.0595009119992587
95529.5,97732.46666666667,97438.0,94630.26666666666,89884.83333333333,96986.23333333332,97489.5,97224.53333333333,1999-03-31,96807.44166666667,94921.39166666666,1886.050000000003,1.019869599116532
