Date,Value
1987-07-31,24900.9
1987-08-31,26088.6
1987-09-30,27370.3
1987-10-31,28195.1
1987-11-30,29047.5
1987-12-31,29958.5
1988-01-31,31196.9
1988-02-29,31909.3
1988-03-31,32352.2
1988-04-30,33181.7
1988-05-31,34037.9
1988-06-30,34875.1
1988-07-31,35643.8
1988-08-31,36570.7
1988-09-30,37659.0
1988-10-31,38481.7
1988-11-30,39322.3
1988-12-31,39966.6
1989-01-31,40624.1
1989-02-28,41387.6
1989-03-31,42041.5
1989-04-30,42898.3
1989-05-31,43895.3
1989-06-30,44918.7
1989-07-31,45759.7
1989-08-31,46816.5
1989-09-30,47856.1
1989-10-31,48681.7
1989-11-30,49402.8
1989-12-31,50139.5
1990-01-31,51011.7
1990-02-28,51546.3
1990-03-31,52040.6
1990-04-30,52841.2
1990-05-31,53906.7
1990-06-30,54945.8
1990-07-31,56062.7
1990-08-31,57409.4
1990-09-30,58432.0
1990-10-31,60229.8
1990-11-30,61054.9
1990-12-31,61559.8
1991-01-31,61979.7
1991-02-28,62787.4
1991-03-31,63330.0
1991-04-30,64121.5
1991-05-31,64987.7
1991-06-30,65792.9
1991-07-31,66150.6
1991-08-31,66887.3
1991-09-30,67899.5
1991-10-31,68842.7
1991-11-30,69309.2
1991-12-31,69761.9
1992-01-31,69966.6
1992-02-29,69704.0
1992-03-31,69480.2
1992-04-30,70132.3
1992-05-31,70696.8
1992-06-30,71055.6
1992-07-31,71524.4
1992-08-31,71923.3
1992-09-30,72328.9
1992-10-31,73245.4
1992-11-30,73177.0
1992-12-31,73001.6
1993-01-31,72907.9
1993-02-28,72808.5
1993-03-31,73214.5
1993-04-30,73812.6
1993-05-31,74207.9
1993-06-30,74277.3
1993-07-31,73485.4
1993-08-31,72983.8
1993-09-30,74553.5
1993-10-31,73603.1
1993-11-30,72957.3
1993-12-31,72376.4
1994-01-31,72047.7
1994-02-28,71801.3
1994-03-31,71453.4
1994-04-30,71694.7
1994-05-31,72216.2
1994-06-30,72603.1
1994-07-31,72880.4
1994-08-31,73227.0
1994-09-30,73837.6
1994-10-31,74372.9
1994-11-30,74602.6
1994-12-31,74614.1
1995-01-31,74850.6
1995-02-28,74668.3
1995-03-31,74101.5
1995-04-30,74766.3
1995-05-31,75736.2
1995-06-30,76293.8
1995-07-31,76913.7
1995-08-31,77441.9
1995-09-30,78300.8
1995-10-31,78338.0
1995-11-30,78607.2
1995-12-31,78649.2
1996-01-31,78982.3
1996-02-29,78872.4
1996-03-31,78614.7
1996-04-30,78995.1
1996-05-31,79152.4
1996-06-30,79255.4
1996-07-31,79385.2
1996-08-31,80383.7
1996-09-30,81488.1
1996-10-31,82570.7
1996-11-30,83540.2
1996-12-31,84764.7
1997-01-31,85147.0
1997-02-28,85447.5
1997-03-31,86233.5
1997-04-30,88128.7
1997-05-31,89826.6
1997-06-30,91699.2
1997-07-31,93098.2
1997-08-31,94504.6
1997-09-30,96288.0
1997-10-31,96702.6
1997-11-30,97513.0
1997-12-31,98098.4
1998-01-31,98193.8
1998-02-28,97919.9
1998-03-31,97083.7
1998-04-30,97444.0
1998-05-31,97081.6
1998-06-30,97148.0
1998-07-31,97223.7
1998-08-31,97557.0
1998-09-30,97687.8
1998-10-31,97157.5
1998-11-30,97089.8
1998-12-31,96711.4
1999-01-31,96142.2
