Date,Value
1946-12-31,2428.0
1947-12-31,5700.0
1948-12-31,10550.0
1949-12-31,10208.0
1950-12-31,8345.0
1951-12-31,8528.0
1952-03-31,2499.0
1952-06-30,2158.0
1952-09-30,2162.0
1952-12-31,2721.0
1953-03-31,2822.0
1953-06-30,2440.0
1953-09-30,2292.0
1953-12-31,1690.0
1954-03-31,2221.0
1954-06-30,2575.0
1954-09-30,2754.0
1954-12-31,3279.0
1955-03-31,3748.0
1955-06-30,3958.0
1955-09-30,3679.0
1955-12-31,3761.0
1956-03-31,3333.0
1956-06-30,3234.0
1956-09-30,3478.0
1956-12-31,3299.0
1957-03-31,3430.0
1957-06-30,3368.0
1957-09-30,3269.0
1957-12-31,2833.0
1958-03-31,2127.0
1958-06-30,2435.0
1958-09-30,3011.0
1958-12-31,3798.0
1959-03-31,3838.0
1959-06-30,4519.0
1959-09-30,3820.0
1959-12-31,4010.0
1960-03-31,4106.0
1960-06-30,3608.0
1960-09-30,3610.0
1960-12-31,3361.0
1961-03-31,3039.0
1961-06-30,3866.0
1961-09-30,4257.0
1961-12-31,4876.0
1962-03-31,5002.0
1962-06-30,5033.0
1962-09-30,5309.0
1962-12-31,5996.0
1963-03-31,5739.0
1963-06-30,6082.0
1963-09-30,6274.0
1963-12-31,6403.0
1964-03-31,7122.0
1964-06-30,7093.0
1964-09-30,7223.0
1964-12-31,7139.0
1965-03-31,8281.0
1965-06-30,8425.0
1965-09-30,8496.0
1965-12-31,8939.0
1966-03-31,9048.0
1966-06-30,9162.0
1966-09-30,9140.0
1966-12-31,9940.0
1967-03-31,8848.0
1967-06-30,8622.0
1967-09-30,8849.0
1967-12-31,9614.0
1968-03-31,7529.0
1968-06-30,8467.0
1968-09-30,8591.0
1968-12-31,8986.0
1969-03-31,7232.0
1969-06-30,7199.0
1969-09-30,7377.0
1969-12-31,6643.0
1970-03-31,4441.0
1970-06-30,5743.0
1970-09-30,5689.0
1970-12-31,4934.0
1971-03-31,6688.0
1971-06-30,7171.0
1971-09-30,7526.0
1971-12-31,8941.0
1972-03-31,8150.0
1972-06-30,8642.0
1972-09-30,9686.0
1972-12-31,10730.0
1973-03-31,9086.0
1973-06-30,8373.0
1973-09-30,9100.0
1973-12-31,9786.0
1974-03-31,6590.0
1974-06-30,6062.0
1974-09-30,4701.0
1974-12-31,6259.0
1975-03-31,6557.0
1975-06-30,9199.0
1975-09-30,11589.0
1975-12-31,12018.0
1976-03-31,15175.0
1976-06-30,13589.0
1976-09-30,13764.0
1976-12-31,13487.0
1977-03-31,13471.0
1977-06-30,17397.0
1977-09-30,20259.0
1977-12-31,18597.0
1978-03-31,15343.0
1978-06-30,20085.0
1978-09-30,19950.0
1978-12-31,20612.0
1979-03-31,15931.0
1979-06-30,16024.0
1979-09-30,16305.0
1979-12-31,16732.0
1980-03-31,9982.0
1980-06-30,7215.0
1980-09-30,12144.0
1980-12-31,17456.0
1981-03-31,15928.0
1981-06-30,19375.0
1981-09-30,24412.0
1981-12-31,24187.0
1982-03-31,17629.0
1982-06-30,23199.0
1982-09-30,21781.0
1982-12-31,18131.0
1983-03-31,18112.0
1983-06-30,21480.0
1983-09-30,23960.0
1983-12-31,28061.0
1984-03-31,30112.0
1984-06-30,32136.0
1984-09-30,34586.0
1984-12-31,37150.0
1985-03-31,33880.0
1985-06-30,33236.0
1985-09-30,38309.0
1985-12-31,33718.0
1986-03-31,29419.0
1986-06-30,25718.0
1986-09-30,27194.0
1986-12-31,25006.0
1987-03-31,21800.0
1987-06-30,25091.0
1987-09-30,31019.0
1987-12-31,28836.0
1988-03-31,31488.0
1988-06-30,30015.0
1988-09-30,26579.0
1988-12-31,39220.0
1989-03-31,13291.0
1989-06-30,18408.0
1989-09-30,20471.0
1989-12-31,20807.0
1990-03-31,11227.0
1990-06-30,15717.0
1990-09-30,9769.0
1990-12-31,2420.0
1991-03-31,14110.0
1991-06-30,14188.0
1991-09-30,13751.0
1991-12-31,5890.0
1992-03-31,19617.0
1992-06-30,16279.0
1992-09-30,13582.0
1992-12-31,13958.0
1993-03-31,12908.0
1993-06-30,19605.0
1993-09-30,20988.0
1993-12-31,25787.0
1994-03-31,34667.0
1994-06-30,37001.0
1994-09-30,42184.0
1994-12-31,43989.0
1995-03-31,35434.0
1995-06-30,37196.0
1995-09-30,40887.0
1995-12-31,39432.0
1996-03-31,48517.0
1996-06-30,49713.0
1996-09-30,47965.0
1996-12-31,47006.0
1997-03-31,52805.0
1997-06-30,53293.0
1997-09-30,59396.0
1997-12-31,55565.0
1998-03-31,33914.0
1998-06-30,36100.0
1998-09-30,46429.0
1998-12-31,40633.0
1999-03-31,37558.0
1999-06-30,37479.0
1999-09-30,40738.0
1999-12-31,27634.0
2000-03-31,9927.0
2000-06-30,7269.0
2000-09-30,5917.0
2000-12-31,2801.0
2001-03-31,-20987.0
2001-06-30,11637.0
2001-09-30,13370.0
2001-12-31,-6535.0
2002-03-31,27071.0
2002-06-30,23023.0
2002-09-30,27170.0
2002-12-31,20760.0
2003-03-31,49524.0
2003-06-30,17269.0
2003-09-30,37646.0
2003-12-31,27860.0
2004-03-31,37230.0
2004-06-30,54640.0
2004-09-30,56825.0
2004-12-31,16298.0
2005-03-31,57676.0
2005-06-30,102959.0
2005-09-30,162134.0
2005-12-31,235150.0
2006-03-31,67654.0
2006-06-30,65002.0
2006-09-30,56674.0
2006-12-31,7636.0
2007-03-31,20690.0
2007-06-30,36232.0
2007-09-30,2359.0
2007-12-31,7587.0
2008-03-31,694.0
2008-06-30,-7257.0
2008-09-30,16653.0
2008-12-31,20655.0
2009-03-31,-468.0
2009-06-30,11407.0
2009-09-30,41377.0
2009-12-31,52674.0
2010-03-31,57449.0
2010-06-30,74263.0
2010-09-30,84550.0
2010-12-31,75875.0
2011-03-31,51131.0
2011-06-30,76060.0
2011-09-30,77146.0
2011-12-31,83588.0
2012-03-31,85299.0
2012-06-30,101028.0
2012-09-30,81531.0
2012-12-31,44460.0
2013-03-31,90794.0
2013-06-30,95466.0
2013-09-30,45967.0
2013-12-31,93122.0
2014-03-31,47650.0
2014-06-30,69999.0
2014-09-30,100113.0
2014-12-31,95135.0
2015-03-31,69078.0
2015-06-30,71464.0
2015-09-30,80168.0
2015-12-31,60238.0
2016-03-31,71099.0
2016-06-30,38118.0
2016-09-30,48656.0
2016-12-31,26052.0
2017-03-31,36653.0
2017-06-30,37338.0
2017-09-30,48509.0
