Date,Value
1972-03-31,378.3277
1972-06-30,510.8437
1972-09-30,477.7091
1972-12-31,451.7542
1973-03-31,430.5352
1973-06-30,537.7232
1973-09-30,460.4745
1973-12-31,360.5072
1974-03-31,307.5722
1974-06-30,407.5412
1974-09-30,319.7751
1974-12-31,188.0156
1975-03-31,181.0748
1975-06-30,253.1217
1975-09-30,261.0947
1975-12-31,221.3241
1976-03-31,239.5117
1976-06-30,309.3974
1976-09-30,285.0052
1976-12-31,240.5933
1977-03-31,245.7364
1977-06-30,326.2389
1977-09-30,333.3887
1977-12-31,310.1685
1978-03-31,295.4284
1978-06-30,366.9972
1978-09-30,349.7514
1978-12-31,314.8369
1979-03-31,296.39
1979-06-30,376.637
1979-09-30,356.5225
1979-12-31,283.7215
1980-03-31,264.5649
1980-06-30,230.3019
1980-09-30,274.1047
1980-12-31,272.083
1981-03-31,269.7354
1981-06-30,337.7778
1981-09-30,303.6306
1981-12-31,221.8837
1982-03-31,228.8317
1982-06-30,279.0414
1982-09-30,254.5474
1982-12-31,230.3584
1983-03-31,282.0243
1983-06-30,370.4688
1983-09-30,366.5905
1983-12-31,310.3389
1984-03-31,290.8244
1984-06-30,341.3667
1984-09-30,317.9459
1984-12-31,259.6923
1985-03-31,258.2624
1985-06-30,329.6485
1985-09-30,323.657
1985-12-31,284.4436
1986-03-31,270.2628
1986-06-30,312.1389
1986-09-30,295.5519
1986-12-31,260.7308
1987-03-31,246.9196
1987-06-30,293.3687
1987-09-30,299.0159
1987-12-31,250.4604
1988-03-31,225.9323
1988-06-30,296.7485
1988-09-30,289.2553
1988-12-31,259.614
1989-03-31,241.6147
1989-06-30,278.0513
1989-09-30,254.4712
1989-12-31,227.022
1990-03-31,224.758
1990-06-30,270.8076
1990-09-30,267.8705
1990-12-31,223.6459
1991-03-31,194.3367
1991-06-30,255.8035
1991-09-30,245.9587
1991-12-31,206.3483
1992-03-31,213.5339
1992-06-30,255.5701
1992-09-30,270.1311
1992-12-31,276.2403
1993-03-31,283.7143
1993-06-30,321.7726
1993-09-30,329.2436
1993-12-31,320.0254
1994-03-31,330.7503
1994-06-30,361.3807
1994-09-30,349.6573
1994-12-31,349.8405
1995-03-31,357.704
1995-06-30,394.5153
1995-09-30,396.8366
1995-12-31,389.5545
1996-03-31,380.6947
1996-06-30,440.259
1996-09-30,432.5095
1996-12-31,406.8683
1997-03-31,414.0747
1997-06-30,488.527
1997-09-30,477.2567
1997-12-31,447.7055
1998-03-31,465.5431
1998-06-30,518.5276
1998-09-30,504.6638
1998-12-31,488.1394
1999-03-31,493.5005
1999-06-30,524.4763
1999-09-30,465.939
1999-12-31,417.0349
2000-03-31,398.2088
2000-06-30,409.5302
2000-09-30,357.8671
2000-12-31,277.2001
2001-03-31,253.8055
2001-06-30,316.8785
2001-09-30,325.9199
2001-12-31,302.949
2002-03-31,272.3136
2002-06-30,301.3355
2002-09-30,289.0018
2002-12-31,246.0953
2003-03-31,219.1225
2003-06-30,251.9414
2003-09-30,259.5426
2003-12-31,228.6034
2004-03-31,220.4445
2004-06-30,255.8691
2004-09-30,253.1583
2004-12-31,238.7207
2005-03-31,219.9975
2005-06-30,231.4012
2005-09-30,233.0805
2005-12-31,336.4566
2006-03-31,247.0243
2006-06-30,245.0277
2006-09-30,223.5348
2006-12-31,195.9249
2007-03-31,183.2375
2007-06-30,224.2919
2007-09-30,213.1243
2007-12-31,184.6703
2008-03-31,165.6988
2008-06-30,181.2383
2008-09-30,162.4204
2008-12-31,124.8073
2009-03-31,92.1309
2009-06-30,106.2598
2009-09-30,107.9441
2009-12-31,95.1606
2010-03-31,89.9873
2010-06-30,118.0117
2010-09-30,101.6942
2010-12-31,73.9514
2011-03-31,72.0264
2011-06-30,97.4109
2011-09-30,99.4433
2011-12-31,105.0096
2012-03-31,92.6688
2012-06-30,108.5587
2012-09-30,104.2164
2012-12-31,94.5562
2013-03-31,97.9091
2013-06-30,119.9151
2013-09-30,115.179
2013-12-31,102.1388
2014-03-31,92.277
2014-06-30,108.2118
2014-09-30,107.1631
2014-12-31,97.4253
2015-03-31,95.3517
2015-06-30,110.1654
2015-09-30,113.2428
2015-12-31,111.9716
2016-03-31,116.5855
2016-06-30,126.6889
2016-09-30,119.1948
2016-12-31,129.2211
2017-03-31,141.2133
2017-06-30,141.1347
2017-09-30,131.4434
