0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
16.0,14.0,1991-12-31,2.0,1.1428571428571428
16.0,16.0,1992-03-31,0.0,1.0
15.0,16.0,1992-06-30,-1.0,0.9375
13.0,15.0,1992-09-30,-2.0,0.8666666666666667
14.0,13.0,1992-12-31,1.0,1.0769230769230769
12.0,14.0,1993-03-31,-2.0,0.8571428571428571
16.0,12.0,1993-06-30,4.0,1.3333333333333333
17.0,16.0,1993-09-30,1.0,1.0625
19.0,17.0,1993-12-31,2.0,1.1176470588235294
21.0,19.0,1994-03-31,2.0,1.105263157894737
32.0,21.0,1994-06-30,11.0,1.5238095238095237
30.0,32.0,1994-09-30,-2.0,0.9375
34.0,30.0,1994-12-31,4.0,1.1333333333333333
27.0,34.0,1995-03-31,-7.0,0.7941176470588235
32.0,27.0,1995-06-30,5.0,1.1851851851851851
37.0,32.0,1995-09-30,5.0,1.15625
33.0,37.0,1995-12-31,-4.0,0.8918918918918919
29.0,33.0,1996-03-31,-4.0,0.8787878787878788
34.0,29.0,1996-06-30,5.0,1.1724137931034482
37.0,34.0,1996-09-30,3.0,1.088235294117647
38.0,37.0,1996-12-31,1.0,1.027027027027027
28.0,38.0,1997-03-31,-10.0,0.7368421052631579
47.0,28.0,1997-06-30,19.0,1.6785714285714286
43.0,47.0,1997-09-30,-4.0,0.9148936170212766
46.0,43.0,1997-12-31,3.0,1.069767441860465
33.0,46.0,1998-03-31,-13.0,0.717391304347826
42.0,33.0,1998-06-30,9.0,1.2727272727272727
47.0,42.0,1998-09-30,5.0,1.119047619047619
47.0,47.0,1998-12-31,0.0,1.0
44.0,47.0,1999-03-31,-3.0,0.9361702127659575
37.0,44.0,1999-06-30,-7.0,0.8409090909090909
45.0,37.0,1999-09-30,8.0,1.2162162162162162
39.0,45.0,1999-12-31,-6.0,0.8666666666666667
40.0,39.0,2000-03-31,1.0,1.0256410256410255
44.0,40.0,2000-06-30,4.0,1.1
35.0,44.0,2000-09-30,-9.0,0.7954545454545454
38.0,35.0,2000-12-31,3.0,1.0857142857142856
34.0,38.0,2001-03-31,-4.0,0.8947368421052632
36.0,34.0,2001-06-30,2.0,1.0588235294117647
38.0,36.0,2001-09-30,2.0,1.0555555555555556
34.0,38.0,2001-12-31,-4.0,0.8947368421052632
38.0,34.0,2002-03-31,4.0,1.1176470588235294
44.0,38.0,2002-06-30,6.0,1.1578947368421053
40.0,44.0,2002-09-30,-4.0,0.9090909090909091
32.0,40.0,2002-12-31,-8.0,0.8
33.0,32.0,2003-03-31,1.0,1.03125
39.0,33.0,2003-06-30,6.0,1.1818181818181819
39.0,39.0,2003-09-30,0.0,1.0
42.0,39.0,2003-12-31,3.0,1.0769230769230769
41.0,42.0,2004-03-31,-1.0,0.9761904761904762
40.0,41.0,2004-06-30,-1.0,0.975609756097561
40.0,40.0,2004-09-30,0.0,1.0
43.0,40.0,2004-12-31,3.0,1.075
35.0,43.0,2005-03-31,-8.0,0.813953488372093
43.0,35.0,2005-06-30,8.0,1.2285714285714286
41.0,43.0,2005-09-30,-2.0,0.9534883720930233
45.0,41.0,2005-12-31,4.0,1.0975609756097562
40.0,45.0,2006-03-31,-5.0,0.8888888888888888
38.0,40.0,2006-06-30,-2.0,0.95
39.0,38.0,2006-09-30,1.0,1.0263157894736843
36.0,39.0,2006-12-31,-3.0,0.9230769230769231
