0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
5.0,5.0,1991-12-31,0.0,1.0
5.0,5.0,1992-03-31,0.0,1.0
5.0,5.0,1992-06-30,0.0,1.0
5.0,5.0,1992-09-30,0.0,1.0
5.0,5.0,1992-12-31,0.0,1.0
5.0,5.0,1993-03-31,0.0,1.0
5.0,5.0,1993-06-30,0.0,1.0
5.0,5.0,1993-09-30,0.0,1.0
5.0,5.0,1993-12-31,0.0,1.0
5.0,5.0,1994-03-31,0.0,1.0
5.0,5.0,1994-06-30,0.0,1.0
5.0,5.0,1994-09-30,0.0,1.0
5.0,5.0,1994-12-31,0.0,1.0
5.0,5.0,1995-03-31,0.0,1.0
5.0,5.0,1995-06-30,0.0,1.0
5.0,5.0,1995-09-30,0.0,1.0
4.98,5.0,1995-12-31,-0.019999999999999574,0.9960000000000001
4.97,4.98,1996-03-31,-0.010000000000000675,0.9979919678714858
4.97,4.97,1996-06-30,0.0,1.0
4.96,4.97,1996-09-30,-0.009999999999999787,0.9979879275653925
4.95,4.96,1996-12-31,-0.009999999999999787,0.997983870967742
4.95,4.95,1997-03-31,0.0,1.0
4.94,4.95,1997-06-30,-0.009999999999999787,0.9979797979797981
4.94,4.94,1997-09-30,0.0,1.0
4.93,4.94,1997-12-31,-0.010000000000000675,0.9979757085020241
4.93,4.93,1998-03-31,0.0,1.0
4.93,4.93,1998-06-30,0.0,1.0
4.92,4.93,1998-09-30,-0.009999999999999787,0.9979716024340771
4.92,4.92,1998-12-31,0.0,1.0
4.92,4.92,1999-03-31,0.0,1.0
4.97,4.92,1999-06-30,0.04999999999999982,1.0101626016260161
5.0,4.97,1999-09-30,0.03000000000000025,1.006036217303823
5.02,5.0,1999-12-31,0.019999999999999574,1.004
5.06,5.02,2000-03-31,0.040000000000000036,1.0079681274900398
5.08,5.06,2000-06-30,0.020000000000000462,1.0039525691699607
5.1,5.08,2000-09-30,0.019999999999999574,1.0039370078740157
5.11,5.1,2000-12-31,0.010000000000000675,1.0019607843137257
5.13,5.11,2001-03-31,0.019999999999999574,1.0039138943248531
5.14,5.13,2001-06-30,0.009999999999999787,1.0019493177387915
5.15,5.14,2001-09-30,0.010000000000000675,1.001945525291829
5.15,5.15,2001-12-31,0.0,1.0
5.13,5.15,2002-03-31,-0.020000000000000462,0.9961165048543689
5.12,5.13,2002-06-30,-0.009999999999999787,0.9980506822612086
5.1,5.12,2002-09-30,-0.020000000000000462,0.9960937499999999
5.07,5.1,2002-12-31,-0.02999999999999936,0.9941176470588237
5.05,5.07,2003-03-31,-0.020000000000000462,0.9960552268244575
5.03,5.05,2003-06-30,-0.019999999999999574,0.9960396039603961
5.0,5.03,2003-09-30,-0.03000000000000025,0.9940357852882703
4.98,5.0,2003-12-31,-0.019999999999999574,0.9960000000000001
4.95,4.98,2004-03-31,-0.03000000000000025,0.9939759036144578
4.93,4.95,2004-06-30,-0.020000000000000462,0.9959595959595958
4.92,4.93,2004-09-30,-0.009999999999999787,0.9979716024340771
4.88,4.92,2004-12-31,-0.040000000000000036,0.991869918699187
4.83,4.88,2005-03-31,-0.04999999999999982,0.9897540983606558
4.79,4.83,2005-06-30,-0.040000000000000036,0.9917184265010351
4.77,4.79,2005-09-30,-0.020000000000000462,0.9958246346555323
4.76,4.77,2005-12-31,-0.009999999999999787,0.9979035639412999
4.75,4.76,2006-03-31,-0.009999999999999787,0.9978991596638656
4.75,4.75,2006-06-30,0.0,1.0
4.74,4.75,2006-09-30,-0.009999999999999787,0.9978947368421053
4.74,4.74,2006-12-31,0.0,1.0
4.74,4.74,2007-03-31,0.0,1.0
4.74,4.74,2007-06-30,0.0,1.0
4.74,4.74,2007-09-30,0.0,1.0
4.74,4.74,2007-12-31,0.0,1.0
4.73,4.74,2008-03-31,-0.009999999999999787,0.9978902953586498
4.73,4.73,2008-06-30,0.0,1.0
4.73,4.73,2008-09-30,0.0,1.0
4.73,4.73,2008-12-31,0.0,1.0
4.73,4.73,2009-03-31,0.0,1.0
4.73,4.73,2009-06-30,0.0,1.0
4.73,4.73,2009-09-30,0.0,1.0
4.72,4.73,2009-12-31,-0.010000000000000675,0.9978858350951373
4.72,4.72,2010-03-31,0.0,1.0
4.72,4.72,2010-06-30,0.0,1.0
4.72,4.72,2010-09-30,0.0,1.0
4.72,4.72,2010-12-31,0.0,1.0
4.72,4.72,2011-03-31,0.0,1.0
4.71,4.72,2011-06-30,-0.009999999999999787,0.9978813559322034
4.71,4.71,2011-09-30,0.0,1.0
4.71,4.71,2011-12-31,0.0,1.0
4.71,4.71,2012-03-31,0.0,1.0
4.71,4.71,2012-06-30,0.0,1.0
4.71,4.71,2012-09-30,0.0,1.0
4.71,4.71,2012-12-31,0.0,1.0
4.7,4.71,2013-03-31,-0.009999999999999787,0.9978768577494692
4.7,4.7,2013-06-30,0.0,1.0
4.7,4.7,2013-09-30,0.0,1.0
4.7,4.7,2013-12-31,0.0,1.0
4.7,4.7,2014-03-31,0.0,1.0
4.7,4.7,2014-06-30,0.0,1.0
4.69,4.7,2014-09-30,-0.009999999999999787,0.997872340425532
4.69,4.69,2014-12-31,0.0,1.0
4.69,4.69,2015-03-31,0.0,1.0
4.69,4.69,2015-06-30,0.0,1.0
4.69,4.69,2015-09-30,0.0,1.0
4.69,4.69,2015-12-31,0.0,1.0
4.69,4.69,2016-03-31,0.0,1.0
4.68,4.69,2016-06-30,-0.010000000000000675,0.9978678038379529
4.68,4.68,2016-09-30,0.0,1.0
4.68,4.68,2016-12-31,0.0,1.0
4.67,4.68,2017-03-31,-0.009999999999999787,0.9978632478632479
4.67,4.67,2017-06-30,0.0,1.0
4.66,4.67,2017-09-30,-0.009999999999999787,0.9978586723768738
