0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
76.742074535998,,1991-12-31,,
,76.742074535998,1992-03-31,,
,,1992-06-30,,
,,1992-09-30,,
77.053819626208,,1992-12-31,,
,77.053819626208,1993-03-31,,
,,1993-06-30,,
,,1993-09-30,,
78.887880537909,,1993-12-31,,
,78.887880537909,1994-03-31,,
,,1994-06-30,,
,,1994-09-30,,
79.898871089405,,1994-12-31,,
,79.898871089405,1995-03-31,,
,,1995-06-30,,
,,1995-09-30,,
77.74430980443401,,1995-12-31,,
,77.74430980443401,1996-03-31,,
,,1996-06-30,,
,,1996-09-30,,
77.892859482663,,1996-12-31,,
,77.892859482663,1997-03-31,,
,,1997-06-30,,
,,1997-09-30,,
79.391464287331,,1997-12-31,,
,79.391464287331,1998-03-31,,
,,1998-06-30,,
,,1998-09-30,,
78.790605489906,,1998-12-31,,
,78.790605489906,1999-03-31,,
,,1999-06-30,,
,,1999-09-30,,
78.981281308378,,1999-12-31,,
,78.981281308378,2000-03-31,,
,,2000-06-30,,
,,2000-09-30,,
78.722001047396,,2000-12-31,,
,78.722001047396,2001-03-31,,
,,2001-06-30,,
,,2001-09-30,,
76.640160699815,,2001-12-31,,
,76.640160699815,2002-03-31,,
,,2002-06-30,,
,,2002-09-30,,
76.813539497288,,2002-12-31,,
,76.813539497288,2003-03-31,,
,,2003-06-30,,
,,2003-09-30,,
76.315435159297,,2003-12-31,,
,76.315435159297,2004-03-31,,
,,2004-06-30,,
,,2004-09-30,,
80.77302578850299,,2004-12-31,,
,80.77302578850299,2005-03-31,,
,,2005-06-30,,
,,2005-09-30,,
82.79484771968,,2005-12-31,,
,82.79484771968,2006-03-31,,
,,2006-06-30,,
,,2006-09-30,,
82.727011372366,,2006-12-31,,
,82.727011372366,2007-03-31,,
,,2007-06-30,,
,,2007-09-30,,
83.196606760536,,2007-12-31,,
,83.196606760536,2008-03-31,,
,,2008-06-30,,
,,2008-09-30,,
83.446159196146,,2008-12-31,,
,83.446159196146,2009-03-31,,
,,2009-06-30,,
,,2009-09-30,,
84.808354950341,,2009-12-31,,
,84.808354950341,2010-03-31,,
,,2010-06-30,,
,,2010-09-30,,
84.61393100421199,,2010-12-31,,
,84.61393100421199,2011-03-31,,
,,2011-06-30,,
,,2011-09-30,,
86.239087998055,,2011-12-31,,
,86.239087998055,2012-03-31,,
,,2012-06-30,,
,,2012-09-30,,
85.709697902615,,2012-12-31,,
,85.709697902615,2013-03-31,,
,,2013-06-30,,
,,2013-09-30,,
86.059965910945,,2013-12-31,,
,86.059965910945,2014-03-31,,
,,2014-06-30,,
,,2014-09-30,,
86.47191,,2014-12-31,,
,86.47191,2015-03-31,,
,,2015-06-30,,
,,2015-09-30,,
88.5254,,2015-12-31,,
,88.5254,2016-03-31,,
,,2016-06-30,,
,,2016-09-30,,
,,2016-12-31,,
,,2017-03-31,,
,,2017-06-30,,
,,2017-09-30,,
