0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
2.1,2.9,1991-12-31,-0.7999999999999998,0.7241379310344828
1.8,2.1,1992-03-31,-0.30000000000000004,0.8571428571428571
2.6,1.8,1992-06-30,0.8,1.4444444444444444
1.9,2.6,1992-09-30,-0.7000000000000002,0.7307692307692307
2.8,1.9,1992-12-31,0.8999999999999999,1.4736842105263157
2.4,2.8,1993-03-31,-0.3999999999999999,0.8571428571428572
2.4,2.4,1993-06-30,0.0,1.0
2.1,2.4,1993-09-30,-0.2999999999999998,0.8750000000000001
2.3,2.1,1993-12-31,0.19999999999999973,1.0952380952380951
2.1,2.3,1994-03-31,-0.19999999999999973,0.9130434782608696
2.0,2.1,1994-06-30,-0.10000000000000009,0.9523809523809523
2.0,2.0,1994-09-30,0.0,1.0
2.3,2.0,1994-12-31,0.2999999999999998,1.15
2.4,2.3,1995-03-31,0.10000000000000009,1.0434782608695652
1.8,2.4,1995-06-30,-0.5999999999999999,0.75
1.7,1.8,1995-09-30,-0.10000000000000009,0.9444444444444444
1.9,1.7,1995-12-31,0.19999999999999996,1.1176470588235294
2.1,1.9,1996-03-31,0.20000000000000018,1.105263157894737
1.5,2.1,1996-06-30,-0.6000000000000001,0.7142857142857143
1.8,1.5,1996-09-30,0.30000000000000004,1.2
1.7,1.8,1996-12-31,-0.10000000000000009,0.9444444444444444
2.0,1.7,1997-03-31,0.30000000000000004,1.1764705882352942
1.9,2.0,1997-06-30,-0.10000000000000009,0.95
1.2,1.9,1997-09-30,-0.7,0.631578947368421
1.4,1.2,1997-12-31,0.19999999999999996,1.1666666666666667
0.6,1.4,1998-03-31,-0.7999999999999999,0.4285714285714286
0.9,0.6,1998-06-30,0.30000000000000004,1.5
1.5,0.9,1998-09-30,0.6,1.6666666666666665
1.1,1.5,1998-12-31,-0.3999999999999999,0.7333333333333334
1.5,1.1,1999-03-31,0.3999999999999999,1.3636363636363635
1.7,1.5,1999-06-30,0.19999999999999996,1.1333333333333333
1.4,1.7,1999-09-30,-0.30000000000000004,0.8235294117647058
2.0,1.4,1999-12-31,0.6000000000000001,1.4285714285714286
3.0,2.0,2000-03-31,1.0,1.5
2.2,3.0,2000-06-30,-0.7999999999999998,0.7333333333333334
2.6,2.2,2000-09-30,0.3999999999999999,1.1818181818181817
2.1,2.6,2000-12-31,-0.5,0.8076923076923077
2.6,2.1,2001-03-31,0.5,1.2380952380952381
2.8,2.6,2001-06-30,0.19999999999999973,1.0769230769230769
1.3,2.8,2001-09-30,-1.4999999999999998,0.46428571428571436
1.3,1.3,2001-12-31,0.0,1.0
1.2,1.3,2002-03-31,-0.10000000000000009,0.923076923076923
1.7,1.2,2002-06-30,0.5,1.4166666666666667
1.8,1.7,2002-09-30,0.10000000000000009,1.0588235294117647
2.1,1.8,2002-12-31,0.30000000000000004,1.1666666666666667
2.5,2.1,2003-03-31,0.3999999999999999,1.1904761904761905
1.3,2.5,2003-06-30,-1.2,0.52
2.2,1.3,2003-09-30,0.9000000000000001,1.6923076923076923
2.0,2.2,2003-12-31,-0.20000000000000018,0.9090909090909091
3.5,2.0,2004-03-31,1.5,1.75
3.4,3.5,2004-06-30,-0.10000000000000009,0.9714285714285714
2.6,3.4,2004-09-30,-0.7999999999999998,0.7647058823529412
2.8,2.6,2004-12-31,0.19999999999999973,1.0769230769230769
3.7,2.8,2005-03-31,0.9000000000000004,1.3214285714285716
2.9,3.7,2005-06-30,-0.8000000000000003,0.7837837837837838
3.8,2.9,2005-09-30,0.8999999999999999,1.3103448275862069
3.1,3.8,2005-12-31,-0.6999999999999997,0.8157894736842106
3.1,3.1,2006-03-31,0.0,1.0
3.3,3.1,2006-06-30,0.19999999999999973,1.064516129032258
2.8,3.3,2006-09-30,-0.5,0.8484848484848485
1.4,2.8,2006-12-31,-1.4,0.5
4.5,1.4,2007-03-31,3.1,3.2142857142857144
2.3,4.5,2007-06-30,-2.2,0.5111111111111111
1.3,2.3,2007-09-30,-0.9999999999999998,0.5652173913043479
1.7,1.3,2007-12-31,0.3999999999999999,1.3076923076923077
2.3,1.7,2008-03-31,0.5999999999999999,1.352941176470588
1.8,2.3,2008-06-30,-0.4999999999999998,0.782608695652174
2.8,1.8,2008-09-30,0.9999999999999998,1.5555555555555554
0.7,2.8,2008-12-31,-2.0999999999999996,0.25
1.0,0.7,2009-03-31,0.30000000000000004,1.4285714285714286
-0.6,1.0,2009-06-30,-1.6,-0.6
0.0,-0.6,2009-09-30,0.6,-0.0
1.2,0.0,2009-12-31,1.2,
1.3,1.2,2010-03-31,0.10000000000000009,1.0833333333333335
1.9,1.3,2010-06-30,0.5999999999999999,1.4615384615384615
1.8,1.9,2010-09-30,-0.09999999999999987,0.9473684210526316
2.1,1.8,2010-12-31,0.30000000000000004,1.1666666666666667
1.8,2.1,2011-03-31,-0.30000000000000004,0.8571428571428571
3.0,1.8,2011-06-30,1.2,1.6666666666666665
2.3,3.0,2011-09-30,-0.7000000000000002,0.7666666666666666
0.6,2.3,2011-12-31,-1.6999999999999997,0.2608695652173913
2.1,0.6,2012-03-31,1.5,3.5000000000000004
1.8,2.1,2012-06-30,-0.30000000000000004,0.8571428571428571
2.4,1.8,2012-09-30,0.5999999999999999,1.3333333333333333
1.5,2.4,2012-12-31,-0.8999999999999999,0.625
1.4,1.5,2013-03-31,-0.10000000000000009,0.9333333333333332
0.9,1.4,2013-06-30,-0.4999999999999999,0.6428571428571429
2.1,0.9,2013-09-30,1.2000000000000002,2.3333333333333335
2.1,2.1,2013-12-31,0.0,1.0
1.6,2.1,2014-03-31,-0.5,0.7619047619047619
2.2,1.6,2014-06-30,0.6000000000000001,1.375
1.9,2.2,2014-09-30,-0.30000000000000027,0.8636363636363635
0.6,1.9,2014-12-31,-1.2999999999999998,0.3157894736842105
-0.1,0.6,2015-03-31,-0.7,-0.16666666666666669
2.2,-0.1,2015-06-30,2.3000000000000003,-22.0
1.4,2.2,2015-09-30,-0.8000000000000003,0.6363636363636362
0.8,1.4,2015-12-31,-0.5999999999999999,0.5714285714285715
0.3,0.8,2016-03-31,-0.5,0.37499999999999994
2.4,0.3,2016-06-30,2.1,8.0
1.4,2.4,2016-09-30,-1.0,0.5833333333333334
2.0,1.4,2016-12-31,0.6000000000000001,1.4285714285714286
2.0,2.0,2017-03-31,0.0,1.0
1.0,2.0,2017-06-30,-1.0,0.5
2.1,1.0,2017-09-30,1.1,2.1
