0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
7385.0,7219.0,1991-12-31,166.0,1.0229948746363762
7556.0,7385.0,1992-03-31,171.0,1.0231550440081245
7732.0,7556.0,1992-06-30,176.0,1.023292747485442
7907.0,7732.0,1992-09-30,175.0,1.022633212622866
8075.0,7907.0,1992-12-31,168.0,1.0212469963323638
8242.0,8075.0,1993-03-31,167.0,1.0206811145510837
8412.0,8242.0,1993-06-30,170.0,1.0206260616355254
8571.0,8412.0,1993-09-30,159.0,1.018901569186876
8706.0,8571.0,1993-12-31,135.0,1.015750787539377
8825.0,8706.0,1994-03-31,119.0,1.0136687342062944
8935.0,8825.0,1994-06-30,110.0,1.0124645892351274
9020.0,8935.0,1994-09-30,85.0,1.0095131505316173
9064.0,9020.0,1994-12-31,44.0,1.0048780487804878
9062.0,9064.0,1995-03-31,-2.0,0.9997793468667255
9005.0,9062.0,1995-06-30,-57.0,0.9937099977929816
8937.0,9005.0,1995-09-30,-68.0,0.9924486396446419
8889.0,8937.0,1995-12-31,-48.0,0.994629070157771
8920.0,8889.0,1996-03-31,31.0,1.0034874564067948
8950.0,8920.0,1996-06-30,30.0,1.0033632286995515
8958.0,8950.0,1996-09-30,8.0,1.0008938547486033
9219.0,8958.0,1996-12-31,261.0,1.0291359678499665
9313.0,9219.0,1997-03-31,94.0,1.0101963336587483
9313.0,9313.0,1997-06-30,0.0,1.0
9316.0,9313.0,1997-09-30,3.0,1.000322130355417
9087.0,9316.0,1997-12-31,-229.0,0.9754186346071275
9131.0,9087.0,1998-03-31,44.0,1.004842082095301
9229.0,9131.0,1998-06-30,98.0,1.0107326689300187
8877.0,9229.0,1998-09-30,-352.0,0.9618593563766389
8860.0,8877.0,1998-12-31,-17.0,0.9980849386053847
8967.0,8860.0,1999-03-31,107.0,1.012076749435666
9061.0,8967.0,1999-06-30,94.0,1.010482881677261
9329.0,9061.0,1999-09-30,268.0,1.029577309347754
9387.0,9329.0,1999-12-31,58.0,1.0062171722585487
9518.0,9387.0,2000-03-31,131.0,1.0139554703313092
9548.0,9518.0,2000-06-30,30.0,1.0031519226728305
9623.0,9548.0,2000-09-30,75.0,1.0078550481776287
9570.0,9623.0,2000-12-31,-53.0,0.994492362049257
9484.0,9570.0,2001-03-31,-86.0,0.9910135841170324
9397.0,9484.0,2001-06-30,-87.0,0.9908266554196542
9311.0,9397.0,2001-09-30,-86.0,0.9908481430243695
9225.0,9311.0,2001-12-31,-86.0,0.990763612930942
9225.0,9225.0,2002-03-31,0.0,1.0
9424.0,9225.0,2002-06-30,199.0,1.0215718157181573
9522.0,9424.0,2002-09-30,98.0,1.0103989813242784
9431.0,9522.0,2002-12-31,-91.0,0.990443184204999
9329.0,9431.0,2003-03-31,-102.0,0.9891846039656452
9245.0,9329.0,2003-06-30,-84.0,0.9909958194876193
9220.0,9245.0,2003-09-30,-25.0,0.9972958355868037
9162.0,9220.0,2003-12-31,-58.0,0.9937093275488069
9297.0,9162.0,2004-03-31,135.0,1.0147347740667976
9318.0,9297.0,2004-06-30,21.0,1.0022587931590836
9313.0,9318.0,2004-09-30,-5.0,0.9994634041639837
9211.0,9313.0,2004-12-31,-102.0,0.9890475679158166
9157.0,9211.0,2005-03-31,-54.0,0.9941374443600044
9172.0,9157.0,2005-06-30,15.0,1.001638091077864
9178.0,9172.0,2005-09-30,6.0,1.0006541648495422
9192.0,9178.0,2005-12-31,14.0,1.0015253867945086
9225.0,9192.0,2006-03-31,33.0,1.0035900783289817
9376.0,9225.0,2006-06-30,151.0,1.0163685636856368
9379.0,9376.0,2006-09-30,3.0,1.0003199658703072
9579.0,9379.0,2006-12-31,200.0,1.0213242349930696
9666.0,9579.0,2007-03-31,87.0,1.0090823676792984
9742.0,9666.0,2007-06-30,76.0,1.0078626112145666
9986.0,9742.0,2007-09-30,244.0,1.0250461917470746
10072.0,9986.0,2007-12-31,86.0,1.0086120568796315
10102.0,10072.0,2008-03-31,30.0,1.0029785544082606
10076.0,10102.0,2008-06-30,-26.0,0.9974262522272818
10076.0,10076.0,2008-09-30,0.0,1.0
10315.0,10076.0,2008-12-31,239.0,1.0237197300516079
10221.0,10315.0,2009-03-31,-94.0,0.9908870576829859
10224.0,10221.0,2009-06-30,3.0,1.0002935133548576
10160.0,10224.0,2009-09-30,-64.0,0.9937402190923318
10085.0,10160.0,2009-12-31,-75.0,0.9926181102362205
9807.0,10085.0,2010-03-31,-278.0,0.9724343083787804
9785.0,9807.0,2010-06-30,-22.0,0.99775670439482
9693.0,9785.0,2010-09-30,-92.0,0.9905978538579459
