0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
166.0,157.0,1991-12-31,9.0,1.0573248407643312
171.0,166.0,1992-03-31,5.0,1.0301204819277108
176.0,171.0,1992-06-30,5.0,1.0292397660818713
175.0,176.0,1992-09-30,-1.0,0.9943181818181818
168.0,175.0,1992-12-31,-7.0,0.96
167.0,168.0,1993-03-31,-1.0,0.9940476190476191
170.0,167.0,1993-06-30,3.0,1.0179640718562875
159.0,170.0,1993-09-30,-11.0,0.9352941176470588
135.0,159.0,1993-12-31,-24.0,0.8490566037735849
119.0,135.0,1994-03-31,-16.0,0.8814814814814815
110.0,119.0,1994-06-30,-9.0,0.9243697478991597
85.0,110.0,1994-09-30,-25.0,0.7727272727272727
44.0,85.0,1994-12-31,-41.0,0.5176470588235295
-2.0,44.0,1995-03-31,-46.0,-0.045454545454545456
-57.0,-2.0,1995-06-30,-55.0,28.5
-68.0,-57.0,1995-09-30,-11.0,1.1929824561403508
42.0,-68.0,1995-12-31,110.0,-0.6176470588235294
150.0,42.0,1996-03-31,108.0,3.5714285714285716
140.0,150.0,1996-06-30,-10.0,0.9333333333333333
138.0,140.0,1996-09-30,-2.0,0.9857142857142858
324.0,138.0,1996-12-31,186.0,2.347826086956522
197.0,324.0,1997-03-31,-127.0,0.6080246913580247
109.0,197.0,1997-06-30,-88.0,0.5532994923857868
120.0,109.0,1997-09-30,11.0,1.1009174311926606
-185.0,120.0,1997-12-31,-305.0,-1.5416666666666667
116.0,-185.0,1998-03-31,301.0,-0.6270270270270271
217.0,116.0,1998-06-30,101.0,1.8706896551724137
-327.0,217.0,1998-09-30,-544.0,-1.5069124423963134
59.0,-327.0,1998-12-31,386.0,-0.18042813455657492
201.0,59.0,1999-03-31,142.0,3.406779661016949
191.0,201.0,1999-06-30,-10.0,0.9502487562189055
374.0,191.0,1999-09-30,183.0,1.9581151832460733
69.0,374.0,1999-12-31,-305.0,0.18449197860962566
204.0,69.0,2000-03-31,135.0,2.9565217391304346
102.0,204.0,2000-06-30,-102.0,0.5
206.0,102.0,2000-09-30,104.0,2.019607843137255
259.0,206.0,2000-12-31,53.0,1.2572815533980584
50.0,259.0,2001-03-31,-209.0,0.19305019305019305
50.0,50.0,2001-06-30,0.0,1.0
50.0,50.0,2001-09-30,0.0,1.0
-327.0,50.0,2001-12-31,-377.0,-6.54
99.0,-327.0,2002-03-31,426.0,-0.30275229357798167
99.0,99.0,2002-06-30,0.0,1.0
99.0,99.0,2002-09-30,0.0,1.0
99.0,99.0,2002-12-31,0.0,1.0
33.0,99.0,2003-03-31,-66.0,0.3333333333333333
33.0,33.0,2003-06-30,0.0,1.0
33.0,33.0,2003-09-30,0.0,1.0
33.0,33.0,2003-12-31,0.0,1.0
163.0,33.0,2004-03-31,130.0,4.9393939393939394
122.0,163.0,2004-06-30,-41.0,0.7484662576687117
78.0,122.0,2004-09-30,-44.0,0.639344262295082
64.0,78.0,2004-12-31,-14.0,0.8205128205128205
87.0,64.0,2005-03-31,23.0,1.359375
126.0,87.0,2005-06-30,39.0,1.4482758620689655
109.0,126.0,2005-09-30,-17.0,0.8650793650793651
30.0,109.0,2005-12-31,-79.0,0.27522935779816515
157.0,30.0,2006-03-31,127.0,5.233333333333333
204.0,157.0,2006-06-30,47.0,1.2993630573248407
36.0,204.0,2006-09-30,-168.0,0.17647058823529413
255.0,36.0,2006-12-31,219.0,7.083333333333333
