0_mths_prior,3_mths_prior,Date,qoq_diff,qoq_ratio
4.0,4.0,1991-12-31,0.0,1.0
5.0,4.0,1992-03-31,1.0,1.25
4.0,5.0,1992-06-30,-1.0,0.8
3.0,4.0,1992-09-30,-1.0,0.75
3.0,3.0,1992-12-31,0.0,1.0
2.0,3.0,1993-03-31,-1.0,0.6666666666666666
2.0,2.0,1993-06-30,0.0,1.0
4.0,2.0,1993-09-30,2.0,2.0
3.0,4.0,1993-12-31,-1.0,0.75
3.0,3.0,1994-03-31,0.0,1.0
4.0,3.0,1994-06-30,1.0,1.3333333333333333
5.0,4.0,1994-09-30,1.0,1.25
4.0,5.0,1994-12-31,-1.0,0.8
3.0,4.0,1995-03-31,-1.0,0.75
6.0,3.0,1995-06-30,3.0,2.0
3.0,6.0,1995-09-30,-3.0,0.5
4.0,3.0,1995-12-31,1.0,1.3333333333333333
3.0,4.0,1996-03-31,-1.0,0.75
6.0,3.0,1996-06-30,3.0,2.0
5.0,6.0,1996-09-30,-1.0,0.8333333333333334
6.0,5.0,1996-12-31,1.0,1.2
6.0,6.0,1997-03-31,0.0,1.0
6.0,6.0,1997-06-30,0.0,1.0
7.0,6.0,1997-09-30,1.0,1.1666666666666667
7.0,7.0,1997-12-31,0.0,1.0
6.0,7.0,1998-03-31,-1.0,0.8571428571428571
6.0,6.0,1998-06-30,0.0,1.0
7.0,6.0,1998-09-30,1.0,1.1666666666666667
8.0,7.0,1998-12-31,1.0,1.1428571428571428
6.0,8.0,1999-03-31,-2.0,0.75
6.0,6.0,1999-06-30,0.0,1.0
11.0,6.0,1999-09-30,5.0,1.8333333333333333
6.0,11.0,1999-12-31,-5.0,0.5454545454545454
9.0,6.0,2000-03-31,3.0,1.5
7.0,9.0,2000-06-30,-2.0,0.7777777777777778
9.0,7.0,2000-09-30,2.0,1.2857142857142858
11.0,9.0,2000-12-31,2.0,1.2222222222222223
8.0,11.0,2001-03-31,-3.0,0.7272727272727273
10.0,8.0,2001-06-30,2.0,1.25
10.0,10.0,2001-09-30,0.0,1.0
11.0,10.0,2001-12-31,1.0,1.1
7.0,11.0,2002-03-31,-4.0,0.6363636363636364
9.0,7.0,2002-06-30,2.0,1.2857142857142858
15.0,9.0,2002-09-30,6.0,1.6666666666666667
9.0,15.0,2002-12-31,-6.0,0.6
8.0,9.0,2003-03-31,-1.0,0.8888888888888888
10.0,8.0,2003-06-30,2.0,1.25
17.0,10.0,2003-09-30,7.0,1.7
12.0,17.0,2003-12-31,-5.0,0.7058823529411765
10.0,12.0,2004-03-31,-2.0,0.8333333333333334
11.0,10.0,2004-06-30,1.0,1.1
16.0,11.0,2004-09-30,5.0,1.4545454545454546
12.0,16.0,2004-12-31,-4.0,0.75
12.0,12.0,2005-03-31,0.0,1.0
14.0,12.0,2005-06-30,2.0,1.1666666666666667
16.0,14.0,2005-09-30,2.0,1.1428571428571428
11.0,16.0,2005-12-31,-5.0,0.6875
10.0,11.0,2006-03-31,-1.0,0.9090909090909091
16.0,10.0,2006-06-30,6.0,1.6
11.0,16.0,2006-09-30,-5.0,0.6875
12.0,11.0,2006-12-31,1.0,1.0909090909090908
10.0,12.0,2007-03-31,-2.0,0.8333333333333334
14.0,10.0,2007-06-30,4.0,1.4
13.0,14.0,2007-09-30,-1.0,0.9285714285714286
12.0,13.0,2007-12-31,-1.0,0.9230769230769231
10.0,12.0,2008-03-31,-2.0,0.8333333333333334
24.0,10.0,2008-06-30,14.0,2.4
20.0,24.0,2008-09-30,-4.0,0.8333333333333334
4.0,20.0,2008-12-31,-16.0,0.2
4.0,4.0,2009-03-31,0.0,1.0
6.0,4.0,2009-06-30,2.0,1.5
4.0,6.0,2009-09-30,-2.0,0.6666666666666666
3.0,4.0,2009-12-31,-1.0,0.75
3.0,3.0,2010-03-31,0.0,1.0
5.0,3.0,2010-06-30,2.0,1.6666666666666667
7.0,5.0,2010-09-30,2.0,1.4
5.0,7.0,2010-12-31,-2.0,0.7142857142857143
6.0,5.0,2011-03-31,1.0,1.2
6.0,6.0,2011-06-30,0.0,1.0
8.0,6.0,2011-09-30,2.0,1.3333333333333333
7.0,8.0,2011-12-31,-1.0,0.875
6.0,7.0,2012-03-31,-1.0,0.8571428571428571
8.0,6.0,2012-06-30,2.0,1.3333333333333333
9.0,8.0,2012-09-30,1.0,1.125
9.0,9.0,2012-12-31,0.0,1.0
9.0,9.0,2013-03-31,0.0,1.0
9.0,9.0,2013-06-30,0.0,1.0
13.0,9.0,2013-09-30,4.0,1.4444444444444444
10.0,13.0,2013-12-31,-3.0,0.7692307692307693
14.0,10.0,2014-03-31,4.0,1.4
13.0,14.0,2014-06-30,-1.0,0.9285714285714286
18.0,13.0,2014-09-30,5.0,1.3846153846153846
13.0,18.0,2014-12-31,-5.0,0.7222222222222222
10.0,13.0,2015-03-31,-3.0,0.7692307692307693
35.0,10.0,2015-06-30,25.0,3.5
20.0,35.0,2015-09-30,-15.0,0.5714285714285714
19.0,20.0,2015-12-31,-1.0,0.95
15.0,19.0,2016-03-31,-4.0,0.7894736842105263
11.0,15.0,2016-06-30,-4.0,0.7333333333333333
17.0,11.0,2016-09-30,6.0,1.5454545454545454
13.0,17.0,2016-12-31,-4.0,0.7647058823529411
12.0,13.0,2017-03-31,-1.0,0.9230769230769231
15.0,12.0,2017-06-30,3.0,1.25
11.0,15.0,2017-09-30,-4.0,0.7333333333333333
