Date,Value
1972-01-31,317.7263
1972-02-29,383.1786
1972-03-31,434.0783
1972-04-30,550.1088
1972-05-31,464.4643
1972-06-30,517.958
1972-07-31,478.9553
1972-08-31,469.6579
1972-09-30,484.5141
1972-10-31,510.9371
1972-11-30,474.1073
1972-12-31,370.2181
1973-01-31,352.5742
1973-02-28,425.7996
1973-03-31,513.2317
1973-04-30,579.3842
1973-05-31,492.6099
1973-06-30,541.1754
1973-07-31,456.1084
1973-08-31,469.6676
1973-09-30,455.6473
1973-10-31,412.5748
1973-11-30,379.6121
1973-12-31,289.3349
1974-01-31,251.2387
1974-02-28,306.3386
1974-03-31,365.1393
1974-04-30,404.7434
1974-05-31,385.1647
1974-06-30,432.7155
1974-07-31,333.752
1974-08-31,333.154
1974-09-30,292.4194
1974-10-31,232.3807
1974-11-30,190.5249
1974-12-31,141.1412
1975-01-31,135.3562
1975-02-28,197.5507
1975-03-31,210.3174
1975-04-30,238.004
1975-05-31,253.5201
1975-06-30,267.841
1975-07-31,242.0916
1975-08-31,281.3771
1975-09-30,259.8154
1975-10-31,258.3929
1975-11-30,236.0657
1975-12-31,169.5137
1976-01-31,193.5761
1976-02-29,263.3499
1976-03-31,261.6091
1976-04-30,300.0788
1976-05-31,325.8005
1976-06-30,302.3129
1976-07-31,259.8326
1976-08-31,303.9301
1976-09-30,291.2528
1976-10-31,299.3832
1976-11-30,233.315
1976-12-31,189.0817
1977-01-31,198.876
1977-02-28,245.6071
1977-03-31,292.7261
1977-04-30,311.4035
1977-05-31,319.2207
1977-06-30,348.0927
1977-07-31,284.1649
1977-08-31,365.334
1977-09-30,350.6671
1977-10-31,361.5336
1977-11-30,313.0833
1977-12-31,255.8888
1978-01-31,263.821
1978-02-28,290.0972
1978-03-31,332.3671
1978-04-30,361.7806
1978-05-31,361.7317
1978-06-30,377.4794
1978-07-31,302.3043
1978-08-31,383.6536
1978-09-30,363.2963
1978-10-31,370.489
1978-11-30,318.5627
1978-12-31,255.459
1979-01-31,261.3787
1979-02-28,293.1381
1979-03-31,334.6532
1979-04-30,367.3858
1979-05-31,374.8403
1979-06-30,387.6847
1979-07-31,315.4996
1979-08-31,389.4207
1979-09-30,364.647
1979-10-31,363.4809
1979-11-30,275.5213
1979-12-31,212.1622
1980-01-31,240.6383
1980-02-29,273.9428
1980-03-31,279.1137
1980-04-30,252.1648
1980-05-31,214.4913
1980-06-30,224.2496
1980-07-31,226.5074
1980-08-31,293.758
1980-09-30,302.0487
1980-10-31,319.9183
1980-11-30,278.3781
1980-12-31,217.9525
1981-01-31,226.4626
1981-02-28,273.7084
1981-03-31,309.0353
1981-04-30,344.3728
1981-05-31,342.1971
1981-06-30,326.7634
1981-07-31,291.952
1981-08-31,324.8565
1981-09-30,294.0833
1981-10-31,271.9248
1981-11-30,217.5305
1981-12-31,176.1958
1982-01-31,186.0431
1982-02-28,238.1414
1982-03-31,262.3106
1982-04-30,273.5616
1982-05-31,277.4927
1982-06-30,286.0699
1982-07-31,234.6456
1982-08-31,269.7162
1982-09-30,259.2802
1982-10-31,263.5077
1982-11-30,234.7862
1982-12-31,192.7812
1983-01-31,243.7024
1983-02-28,281.8948
1983-03-31,320.4757
1983-04-30,351.0875
1983-05-31,360.42
1983-06-30,399.8989
1983-07-31,331.8834
1983-08-31,390.0666
1983-09-30,377.8214
1983-10-31,375.7331
1983-11-30,310.8435
1983-12-31,244.4403
1984-01-31,257.5341
1984-02-29,295.1265
1984-03-31,319.8125
1984-04-30,334.3527
1984-05-31,338.2696
1984-06-30,351.4779
1984-07-31,294.0296
1984-08-31,341.7705
1984-09-30,318.0378
1984-10-31,313.6288
1984-11-30,258.8531
1984-12-31,206.5951
1985-01-31,212.1067
1985-02-28,259.3978
1985-03-31,303.2826
1985-04-30,318.7784
1985-05-31,328.6307
1985-06-30,341.5364
1985-07-31,290.7427
1985-08-31,351.2499
1985-09-30,328.9784
1985-10-31,342.4188
1985-11-30,286.9304
1985-12-31,223.9815
1986-01-31,241.2232
1986-02-28,277.6395
1986-03-31,291.9255
1986-04-30,314.6016
1986-05-31,310.0496
1986-06-30,311.7654
1986-07-31,270.7075
1986-08-31,316.3118
1986-09-30,299.6363
1986-10-31,308.2918
1986-11-30,264.0424
1986-12-31,209.8581
1987-01-31,222.0163
1987-02-28,247.7508
1987-03-31,270.9915
1987-04-30,291.768
1987-05-31,291.4512
1987-06-30,296.887
1987-07-31,276.8942
1987-08-31,318.854
1987-09-30,301.2994
1987-10-31,309.0496
1987-11-30,249.4609
1987-12-31,192.8706
1988-01-31,192.52
1988-02-29,227.059
1988-03-31,258.2178
1988-04-30,283.6983
1988-05-31,290.1463
1988-06-30,316.401
1988-07-31,255.8945
1988-08-31,307.9117
1988-09-30,303.9598
1988-10-31,307.2939
1988-11-30,261.1896
1988-12-31,210.3584
