Date,Value
1972-01-31,463.8943
1972-02-29,450.3409
1972-03-31,421.9036
1972-04-30,451.6465
1972-05-31,419.2319
1972-06-30,423.6193
1972-07-31,446.5685
1972-08-31,421.2764
1972-09-30,459.7627
1972-10-31,509.0282
1972-11-30,514.5585
1972-12-31,513.8936
1973-01-31,516.9607
1973-02-28,499.4598
1973-03-31,496.4347
1973-04-30,482.218
1973-05-31,440.6012
1973-06-30,443.3212
1973-07-31,426.909
1973-08-31,417.6255
1973-09-30,428.7932
1973-10-31,412.5954
1973-11-30,415.2614
1973-12-31,403.104
1974-01-31,367.9981
1974-02-28,356.2974
1974-03-31,351.7223
1974-04-30,344.236
1974-05-31,339.4587
1974-06-30,357.4971
1974-07-31,315.9814
1974-08-31,292.5212
1974-09-30,272.5846
1974-10-31,230.3397
1974-11-30,211.2016
1974-12-31,197.7826
1975-01-31,194.9552
1975-02-28,226.0568
1975-03-31,205.0235
1975-04-30,204.5804
1975-05-31,221.875
1975-06-30,224.2726
1975-07-31,235.5589
1975-08-31,244.046
1975-09-30,240.8613
1975-10-31,250.0292
1975-11-30,262.482
1975-12-31,235.8849
1976-01-31,269.5772
1976-02-29,297.7746
1976-03-31,251.7976
1976-04-30,267.7854
1976-05-31,287.1924
1976-06-30,257.538
1976-07-31,262.4554
1976-08-31,262.127
1976-09-30,268.375
1976-10-31,279.5929
1976-11-30,257.4908
1976-12-31,259.3209
1977-01-31,266.6364
1977-02-28,276.3617
1977-03-31,283.2549
1977-04-30,282.9623
1977-05-31,286.5297
1977-06-30,300.4817
1977-07-31,298.1773
1977-08-31,314.086
1977-09-30,320.6887
1977-10-31,328.5925
1977-11-30,340.0078
1977-12-31,344.7426
1978-01-31,342.7453
1978-02-28,326.452
1978-03-31,328.2755
1978-04-30,328.8026
1978-05-31,329.8847
1978-06-30,330.6189
1978-07-31,323.8184
1978-08-31,329.7475
1978-09-30,328.7554
1978-10-31,331.1018
1978-11-30,342.2907
1978-12-31,342.7405
1979-01-31,335.4715
1979-02-28,328.0471
1979-03-31,326.0399
1979-04-30,341.8272
1979-05-31,343.5207
1979-06-30,344.3117
1979-07-31,336.8227
1979-08-31,334.8638
1979-09-30,328.4488
1979-10-31,324.2471
1979-11-30,297.0119
1979-12-31,287.177
1980-01-31,309.3864
1980-02-29,301.9715
1980-03-31,270.1921
1980-04-30,234.563
1980-05-31,195.7493
1980-06-30,200.4946
1980-07-31,237.9451
1980-08-31,254.1443
1980-09-30,272.788
1980-10-31,288.6233
1980-11-30,302.5765
1980-12-31,299.1468
1981-01-31,293.9428
1981-02-28,297.0046
1981-03-31,298.615
1981-04-30,315.7749
1981-05-31,309.3006
1981-06-30,291.191
1981-07-31,301.1113
1981-08-31,283.2767
1981-09-30,267.9828
1981-10-31,249.8332
1981-11-30,239.752
1981-12-31,244.3848
1982-01-31,241.8608
1982-02-28,255.0069
1982-03-31,252.483
1982-04-30,249.2955
1982-05-31,249.4466
1982-06-30,251.4477
1982-07-31,240.5565
1982-08-31,237.0125
1982-09-30,238.4725
1982-10-31,244.7957
1982-11-30,259.4896
1982-12-31,267.9689
1983-01-31,314.3269
1983-02-28,301.8456
1983-03-31,310.0745
1983-04-30,319.0657
1983-05-31,323.9289
1983-06-30,349.3045
1983-07-31,340.2332
1983-08-31,343.0129
1983-09-30,349.1524
1983-10-31,347.8587
1983-11-30,342.6899
1983-12-31,337.9543
1984-01-31,328.7444
1984-02-29,317.6664
1984-03-31,311.3589
1984-04-30,306.6015
1984-05-31,305.6991
1984-06-30,306.7913
1984-07-31,302.8908
1984-08-31,299.5922
1984-09-30,294.1632
1984-10-31,287.0635
1984-11-30,281.7511
1984-12-31,282.6667
1985-01-31,268.4402
1985-02-28,282.0416
1985-03-31,298.4913
1985-04-30,294.322
1985-05-31,299.2998
1985-06-30,300.0781
1985-07-31,300.5935
1985-08-31,306.2597
1985-09-30,303.6923
1985-10-31,309.8879
1985-11-30,308.0395
1985-12-31,303.2539
1986-01-31,303.7451
1986-02-28,304.2497
1986-03-31,294.7778
1986-04-30,287.7321
1986-05-31,284.6391
1986-06-30,274.337
1986-07-31,281.2133
1986-08-31,275.7887
1986-09-30,275.099
1986-10-31,277.4654
1986-11-30,280.5675
1986-12-31,281.3338
1987-01-31,277.4161
1987-02-28,273.7447
1987-03-31,271.3192
1987-04-30,272.0229
1987-05-31,269.303
1987-06-30,260.5957
1987-07-31,290.01
1987-08-31,277.8272
1987-09-30,275.0856
1987-10-31,277.5957
1987-11-30,264.0112
1987-12-31,257.0632
1988-01-31,238.9044
1988-02-29,251.7215
1988-03-31,259.5963
1988-04-30,265.618
1988-05-31,268.5923
1988-06-30,276.6971
1988-07-31,270.1811
1988-08-31,268.3135
1988-09-30,276.551
1988-10-31,276.0777
1988-11-30,276.392
1988-12-31,279.2128
1989-01-31,280.1719
1989-02-28,264.2348
1989-03-31,265.2662
1989-04-30,258.8838
1989-05-31,252.1737
1989-06-30,246.1155
1989-07-31,239.8285
1989-08-31,241.0373
1989-09-30,237.3906
1989-10-31,240.0702
1989-11-30,242.2721
1989-12-31,245.211
1990-01-31,239.4387
1990-02-28,251.4745
1990-03-31,251.7661
1990-04-30,247.3483
1990-05-31,248.0214
1990-06-30,247.5563
1990-07-31,251.319
1990-08-31,254.3854
1990-09-30,253.4316
1990-10-31,246.4374
1990-11-30,239.4455
1990-12-31,223.3216
1991-01-31,217.2317
1991-02-28,204.7627
1991-03-31,220.0118
1991-04-30,225.812
1991-05-31,234.948
1991-06-30,240.6059
1991-07-31,235.461
1991-08-31,238.6356
1991-09-30,228.449
1991-10-31,224.059
1991-11-30,218.9054
1991-12-31,208.7204
1992-01-31,226.3653
1992-02-29,229.733
1992-03-31,234.9576
1992-04-30,239.8961
1992-05-31,239.9266
1992-06-30,231.9158
1992-07-31,261.0597
1992-08-31,255.0144
1992-09-30,264.4035
1992-10-31,279.5169
1992-11-30,290.8997
1992-12-31,300.1149
1993-01-31,306.7141
1993-02-28,304.8605
1993-03-31,295.4468
1993-04-30,300.8277
1993-05-31,300.5654
1993-06-30,303.9254
1993-07-31,317.6454
1993-08-31,317.5766
1993-09-30,323.328
