0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
,3.1,3.7,4.2,4.5,2.9,2.7,4.0,1991-12-31,3.1999999999999997,3.875,,,-0.6750000000000003,0.8258064516129031
,4.0,3.1,3.7,4.2,2.1,2.9,2.7,1992-03-31,2.566666666666667,3.75,,,-1.1833333333333331,0.6844444444444445
,2.7,4.0,3.1,3.7,1.8,2.1,2.9,1992-06-30,2.266666666666667,3.375,,,-1.108333333333333,0.6716049382716051
,2.9,2.7,4.0,3.1,2.6,1.8,2.1,1992-09-30,2.1666666666666665,3.175,,,-1.0083333333333333,0.6824146981627297
,2.1,2.9,2.7,4.0,1.9,2.6,1.8,1992-12-31,2.1,2.925,,,-0.8249999999999997,0.7179487179487181
,1.8,2.1,2.9,2.7,2.8,1.9,2.6,1993-03-31,2.433333333333333,2.375,,,0.058333333333333126,1.0245614035087718
,2.6,1.8,2.1,2.9,2.4,2.8,1.9,1993-06-30,2.3666666666666667,2.35,,,0.016666666666666607,1.0070921985815602
,1.9,2.6,1.8,2.1,2.4,2.4,2.8,1993-09-30,2.533333333333333,2.1,,,0.4333333333333331,1.2063492063492063
,2.8,1.9,2.6,1.8,2.1,2.4,2.4,1993-12-31,2.3000000000000003,2.275,,,0.025000000000000355,1.0109890109890112
,2.4,2.8,1.9,2.6,2.3,2.1,2.4,1994-03-31,2.266666666666667,2.425,,,-0.15833333333333277,0.934707903780069
,2.4,2.4,2.8,1.9,2.1,2.3,2.1,1994-06-30,2.1666666666666665,2.375,,,-0.20833333333333348,0.9122807017543859
,2.1,2.4,2.4,2.8,2.0,2.1,2.3,1994-09-30,2.1333333333333333,2.425,,,-0.2916666666666665,0.879725085910653
,2.3,2.1,2.4,2.4,2.0,2.0,2.1,1994-12-31,2.033333333333333,2.3000000000000003,,,-0.26666666666666705,0.8840579710144926
,2.1,2.3,2.1,2.4,2.3,2.0,2.0,1995-03-31,2.1,2.225,,,-0.125,0.9438202247191011
,2.0,2.1,2.3,2.1,2.4,2.3,2.0,1995-06-30,2.233333333333333,2.125,,,0.10833333333333295,1.0509803921568626
,2.0,2.0,2.1,2.3,1.8,2.4,2.3,1995-09-30,2.1666666666666665,2.0999999999999996,,,0.06666666666666687,1.0317460317460319
,2.3,2.0,2.0,2.1,1.7,1.8,2.4,1995-12-31,1.9666666666666668,2.1,,,-0.1333333333333333,0.9365079365079365
,2.4,2.3,2.0,2.0,1.9,1.7,1.8,1996-03-31,1.7999999999999998,2.175,,,-0.375,0.8275862068965517
,1.8,2.4,2.3,2.0,2.1,1.9,1.7,1996-06-30,1.9000000000000001,2.125,,,-0.22499999999999987,0.8941176470588236
,1.7,1.8,2.4,2.3,1.5,2.1,1.9,1996-09-30,1.8333333333333333,2.05,,,-0.21666666666666656,0.894308943089431
,1.9,1.7,1.8,2.4,1.8,1.5,2.1,1996-12-31,1.8,1.9499999999999997,,,-0.1499999999999997,0.9230769230769232
,2.1,1.9,1.7,1.8,1.7,1.8,1.5,1997-03-31,1.6666666666666667,1.875,,,-0.20833333333333326,0.888888888888889
,1.5,2.1,1.9,1.7,2.0,1.7,1.8,1997-06-30,1.8333333333333333,1.8,,,0.033333333333333215,1.0185185185185184
,1.8,1.5,2.1,1.9,1.9,2.0,1.7,1997-09-30,1.8666666666666665,1.8250000000000002,,,0.0416666666666663,1.0228310502283102
,1.7,1.8,1.5,2.1,1.2,1.9,2.0,1997-12-31,1.7,1.775,,,-0.07499999999999996,0.9577464788732395
,2.0,1.7,1.8,1.5,1.4,1.2,1.9,1998-03-31,1.5,1.75,,,-0.25,0.8571428571428571
,1.9,2.0,1.7,1.8,0.6,1.4,1.2,1998-06-30,1.0666666666666667,1.8499999999999999,,,-0.7833333333333332,0.5765765765765766
,1.2,1.9,2.0,1.7,0.9,0.6,1.4,1998-09-30,0.9666666666666667,1.7,,,-0.7333333333333333,0.5686274509803921
,1.4,1.2,1.9,2.0,1.5,0.9,0.6,1998-12-31,1.0,1.625,,,-0.625,0.6153846153846154
,0.6,1.4,1.2,1.9,1.1,1.5,0.9,1999-03-31,1.1666666666666667,1.275,,,-0.10833333333333317,0.9150326797385622
,0.9,0.6,1.4,1.2,1.5,1.1,1.5,1999-06-30,1.3666666666666665,1.025,,,0.34166666666666656,1.3333333333333333
,1.5,0.9,0.6,1.4,1.7,1.5,1.1,1999-09-30,1.4333333333333336,1.1,,,0.3333333333333335,1.3030303030303032
,1.1,1.5,0.9,0.6,1.4,1.7,1.5,1999-12-31,1.5333333333333332,1.025,,,0.5083333333333333,1.4959349593495934
,1.5,1.1,1.5,0.9,2.0,1.4,1.7,2000-03-31,1.7,1.25,,,0.44999999999999996,1.3599999999999999
,1.7,1.5,1.1,1.5,3.0,2.0,1.4,2000-06-30,2.1333333333333333,1.4500000000000002,,,0.6833333333333331,1.4712643678160917
,1.4,1.7,1.5,1.1,2.2,3.0,2.0,2000-09-30,2.4,1.4249999999999998,,,0.9750000000000001,1.6842105263157896
,2.0,1.4,1.7,1.5,2.6,2.2,3.0,2000-12-31,2.6,1.65,,,0.9500000000000002,1.575757575757576
,3.0,2.0,1.4,1.7,2.1,2.6,2.2,2001-03-31,2.3000000000000003,2.025,,,0.27500000000000036,1.1358024691358026
,2.2,3.0,2.0,1.4,2.6,2.1,2.6,2001-06-30,2.4333333333333336,2.15,,,0.28333333333333366,1.1317829457364343
,2.6,2.2,3.0,2.0,2.8,2.6,2.1,2001-09-30,2.5,2.45,,,0.04999999999999982,1.0204081632653061
,2.1,2.6,2.2,3.0,1.3,2.8,2.6,2001-12-31,2.233333333333333,2.475,,,-0.24166666666666714,0.9023569023569021
,2.6,2.1,2.6,2.2,1.3,1.3,2.8,2002-03-31,1.8,2.375,,,-0.575,0.7578947368421053
,2.8,2.6,2.1,2.6,1.2,1.3,1.3,2002-06-30,1.2666666666666666,2.525,,,-1.2583333333333333,0.5016501650165016
,1.3,2.8,2.6,2.1,1.7,1.2,1.3,2002-09-30,1.4000000000000001,2.1999999999999997,,,-0.7999999999999996,0.6363636363636365
,1.3,1.3,2.8,2.6,1.8,1.7,1.2,2002-12-31,1.5666666666666667,2.0,,,-0.43333333333333335,0.7833333333333333
,1.2,1.3,1.3,2.8,2.1,1.8,1.7,2003-03-31,1.866666666666667,1.65,,,0.216666666666667,1.1313131313131315
,1.7,1.2,1.3,1.3,2.5,2.1,1.8,2003-06-30,2.1333333333333333,1.375,,,0.7583333333333333,1.5515151515151515
,1.8,1.7,1.2,1.3,1.3,2.5,2.1,2003-09-30,1.9666666666666668,1.5,,,0.4666666666666668,1.3111111111111111
,2.1,1.8,1.7,1.2,2.2,1.3,2.5,2003-12-31,2.0,1.7000000000000002,,,0.2999999999999998,1.176470588235294
,2.5,2.1,1.8,1.7,2.0,2.2,1.3,2004-03-31,1.8333333333333333,2.025,,,-0.19166666666666665,0.9053497942386831
,1.3,2.5,2.1,1.8,3.5,2.0,2.2,2004-06-30,2.566666666666667,1.925,,,0.6416666666666668,1.3333333333333335
,2.2,1.3,2.5,2.1,3.4,3.5,2.0,2004-09-30,2.966666666666667,2.025,,,0.9416666666666669,1.4650205761316875
,2.0,2.2,1.3,2.5,2.6,3.4,3.5,2004-12-31,3.1666666666666665,2.0,,,1.1666666666666665,1.5833333333333333
,3.5,2.0,2.2,1.3,2.8,2.6,3.4,2005-03-31,2.9333333333333336,2.25,,,0.6833333333333336,1.3037037037037038
,3.4,3.5,2.0,2.2,3.7,2.8,2.6,2005-06-30,3.033333333333333,2.7750000000000004,,,0.25833333333333286,1.0930930930930929
,2.6,3.4,3.5,2.0,2.9,3.7,2.8,2005-09-30,3.133333333333333,2.875,,,0.25833333333333286,1.089855072463768
,2.8,2.6,3.4,3.5,3.8,2.9,3.7,2005-12-31,3.4666666666666663,3.075,,,0.39166666666666616,1.127371273712737
,3.7,2.8,2.6,3.4,3.1,3.8,2.9,2006-03-31,3.266666666666667,3.125,,,0.14166666666666705,1.0453333333333334
,2.9,3.7,2.8,2.6,3.1,3.1,3.8,2006-06-30,3.3333333333333335,2.9999999999999996,,,0.3333333333333339,1.1111111111111114
,3.8,2.9,3.7,2.8,3.3,3.1,3.1,2006-09-30,3.1666666666666665,3.3,,,-0.1333333333333333,0.9595959595959596
