0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
1075.0,-1177.0,-2327.0,-3626.0,-3651.0,1534.0,1674.0,-141.0,1991-12-31,1035.5,-2695.25,-459.0,0.7007822685788787,3730.75,-0.38419441610240235
-1495.0,-141.0,-1177.0,-2327.0,-3626.0,1075.0,1534.0,1674.0,1992-03-31,697.0,-1817.75,-2570.0,-1.3906976744186046,2514.75,-0.3834410672534727
-4216.0,1674.0,-141.0,-1177.0,-2327.0,-1495.0,1075.0,1534.0,1992-06-30,-775.5,-492.75,-2721.0,2.820066889632107,-282.75,1.573820395738204
-2133.0,1534.0,1674.0,-141.0,-1177.0,-4216.0,-1495.0,1075.0,1992-09-30,-1692.25,472.5,2083.0,0.5059297912713473,-2164.75,-3.5814814814814815
-2679.0,1075.0,1534.0,1674.0,-141.0,-2133.0,-4216.0,-1495.0,1992-12-31,-2630.75,1035.5,-546.0,1.2559774964838255,-3666.25,-2.5405601158860454
-5847.0,-1495.0,1075.0,1534.0,1674.0,-2679.0,-2133.0,-4216.0,1993-03-31,-3718.75,697.0,-3168.0,2.1825307950727884,-4415.75,-5.335365853658536
-6713.0,-4216.0,-1495.0,1075.0,1534.0,-5847.0,-2679.0,-2133.0,1993-06-30,-4343.0,-775.5,-866.0,1.1481101419531383,-3567.5,5.600257898130239
-5962.0,-2133.0,-4216.0,-1495.0,1075.0,-6713.0,-5847.0,-2679.0,1993-09-30,-5300.25,-1692.25,751.0,0.8881275137792343,-3608.0,3.1320726842960553
-1782.0,-2679.0,-2133.0,-4216.0,-1495.0,-5962.0,-6713.0,-5847.0,1993-12-31,-5076.0,-2630.75,4180.0,0.2988929889298893,-2445.25,1.9294877886534259
3117.0,-5847.0,-2679.0,-2133.0,-4216.0,-1782.0,-5962.0,-6713.0,1994-03-31,-2835.0,-3718.75,4899.0,-1.7491582491582491,883.75,0.7623529411764706
4741.0,-6713.0,-5847.0,-2679.0,-2133.0,3117.0,-1782.0,-5962.0,1994-06-30,28.5,-4343.0,1624.0,1.521013795316009,4371.5,-0.006562284135390283
8943.0,-5962.0,-6713.0,-5847.0,-2679.0,4741.0,3117.0,-1782.0,1994-09-30,3754.75,-5300.25,4202.0,1.8863109048723898,9055.0,-0.7084099806612896
7600.0,-1782.0,-5962.0,-6713.0,-5847.0,8943.0,4741.0,3117.0,1994-12-31,6100.25,-5076.0,-1343.0,0.8498266800849826,11176.25,-1.2017828999211977
1442.0,3117.0,-1782.0,-5962.0,-6713.0,7600.0,8943.0,4741.0,1995-03-31,5681.5,-2835.0,-6158.0,0.18973684210526315,8516.5,-2.004056437389771
-982.0,4741.0,3117.0,-1782.0,-5962.0,1442.0,7600.0,8943.0,1995-06-30,4250.75,28.5,-2424.0,-0.680998613037448,4222.25,149.14912280701753
-4387.0,8943.0,4741.0,3117.0,-1782.0,-982.0,1442.0,7600.0,1995-09-30,918.25,3754.75,-3405.0,4.467413441955194,-2836.5,0.2445568946001731
-4434.0,7600.0,8943.0,4741.0,3117.0,-4387.0,-982.0,1442.0,1995-12-31,-2090.25,6100.25,-47.0,1.0107134716206976,-8190.5,-0.34264989139789354
-837.0,1442.0,7600.0,8943.0,4741.0,-4434.0,-4387.0,-982.0,1996-03-31,-2660.0,5681.5,3597.0,0.18876860622462788,-8341.5,-0.468186218428232
17.0,-982.0,1442.0,7600.0,8943.0,-837.0,-4434.0,-4387.0,1996-06-30,-2410.25,4250.75,854.0,-0.02031063321385902,-6661.0,-0.5670175851320355
676.0,-4387.0,-982.0,1442.0,7600.0,17.0,-837.0,-4434.0,1996-09-30,-1144.5,918.25,659.0,39.76470588235294,-2062.75,-1.2463925946093113
3451.0,-4434.0,-4387.0,-982.0,1442.0,676.0,17.0,-837.0,1996-12-31,826.75,-2090.25,2775.0,5.105029585798817,2917.0,-0.39552685085516087
-6067.0,-837.0,-4434.0,-4387.0,-982.0,3451.0,676.0,17.0,1997-03-31,-480.75,-2660.0,-9518.0,-1.75804114749348,2179.25,0.1807330827067669
-6872.0,17.0,-837.0,-4434.0,-4387.0,-6067.0,3451.0,676.0,1997-06-30,-2203.0,-2410.25,-805.0,1.1326850173067413,207.25,0.9140130691836946
-7316.0,676.0,17.0,-837.0,-4434.0,-6872.0,-6067.0,3451.0,1997-09-30,-4201.0,-1144.5,-444.0,1.0646100116414436,-3056.5,3.670598514635212
-7373.0,3451.0,676.0,17.0,-837.0,-7316.0,-6872.0,-6067.0,1997-12-31,-6907.0,826.75,-57.0,1.0077911427009294,-7733.75,-8.354399758088903
-1381.0,-6067.0,3451.0,676.0,17.0,-7373.0,-7316.0,-6872.0,1998-03-31,-5735.5,-480.75,5992.0,0.1873050318730503,-5254.75,11.930317212688507
