0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_year_1,past_year_2,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
0.0,1.0,0.6630434782608695,0.0,0.0,0.0,0.0,1.0,1991-12-31,0.25,0.4157608695652174,0.0,,-0.1657608695652174,0.6013071895424836
0.0,1.0,1.0,0.6630434782608695,0.0,0.0,0.0,0.0,1992-03-31,0.0,0.6657608695652174,0.0,,-0.6657608695652174,0.0
0.0,0.0,1.0,1.0,0.6630434782608695,0.0,0.0,0.0,1992-06-30,0.0,0.6657608695652174,0.0,,-0.6657608695652174,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1992-09-30,0.0,0.5,0.0,,-0.5,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1992-12-31,0.0,0.25,0.0,,-0.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001-03-31,0.0,0.0,0.0,,0.0,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001-06-30,0.25,0.0,1.0,,0.25,
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2001-09-30,0.5,0.0,0.0,1.0,0.5,
0.6630434782608695,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2001-12-31,0.6657608695652174,0.0,-0.3369565217391305,0.6630434782608695,0.6657608695652174,
0.0,0.0,0.0,0.0,0.0,0.6630434782608695,1.0,1.0,2002-03-31,0.6657608695652174,0.0,-0.6630434782608695,0.0,0.6657608695652174,
0.0,1.0,0.0,0.0,0.0,0.0,0.6630434782608695,1.0,2002-06-30,0.4157608695652174,0.25,0.0,,0.1657608695652174,1.6630434782608696
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6630434782608695,2002-09-30,0.16576086956521738,0.5,0.0,,-0.3342391304347826,0.33152173913043476
0.0,0.6630434782608695,1.0,1.0,0.0,0.0,0.0,0.0,2002-12-31,0.0,0.6657608695652174,0.0,,-0.6657608695652174,0.0
0.0,0.0,0.6630434782608695,1.0,1.0,0.0,0.0,0.0,2003-03-31,0.0,0.6657608695652174,0.0,,-0.6657608695652174,0.0
0.0,0.0,0.0,0.6630434782608695,1.0,0.0,0.0,0.0,2003-06-30,0.0,0.4157608695652174,0.0,,-0.4157608695652174,0.0
0.0,0.0,0.0,0.0,0.6630434782608695,0.0,0.0,0.0,2003-09-30,0.0,0.16576086956521738,0.0,,-0.16576086956521738,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-03-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-06-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-09-30,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004-12-31,0.0,0.0,0.0,,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-03-31,0.0,0.0,0.0,,0.0,
