Date,Value
1964-01-31,14296.0
1964-02-29,14339.0
1964-03-31,14448.0
1964-04-30,14513.0
1964-05-31,14615.0
1964-06-30,14809.0
1964-07-31,14750.0
1964-08-31,14945.0
1964-09-30,15118.0
1964-10-31,15160.0
1964-11-30,15281.0
1964-12-31,15637.0
1965-01-31,14899.0
1965-02-28,14909.0
1965-03-31,15010.0
1965-04-30,15244.0
1965-05-31,15321.0
1965-06-30,15543.0
1965-07-31,15542.0
1965-08-31,15746.0
1965-09-30,15939.0
1965-10-31,16093.0
1965-11-30,16229.0
1965-12-31,16623.0
1966-01-31,15915.0
1966-02-28,15973.0
1966-03-31,16137.0
1966-04-30,16369.0
1966-05-31,16511.0
1966-06-30,16796.0
1966-07-31,16710.0
1966-08-31,16952.0
1966-09-30,17122.0
1966-10-31,17277.0
1966-11-30,17426.0
1966-12-31,17791.0
1967-01-31,17056.0
1967-02-28,17021.0
1967-03-31,17143.0
1967-04-30,17203.0
1967-05-31,17309.0
1967-06-30,17510.0
1967-07-31,17439.0
1967-08-31,17629.0
1967-09-30,17825.0
1967-10-31,17937.0
1967-11-30,18141.0
1967-12-31,18503.0
1968-01-31,17684.0
1968-02-29,17725.0
1968-03-31,17852.0
1968-04-30,18064.0
1968-05-31,18152.0
1968-06-30,18440.0
1968-07-31,18357.0
1968-08-31,18604.0
1968-09-30,18764.0
1968-10-31,18950.0
1968-11-30,19166.0
1968-12-31,19495.0
1969-01-31,18769.0
1969-02-28,18804.0
1969-03-31,18961.0
1969-04-30,19169.0
1969-05-31,19336.0
1969-06-30,19582.0
1969-07-31,19503.0
1969-08-31,19689.0
1969-09-30,19792.0
1969-10-31,19958.0
1969-11-30,20057.0
1969-12-31,20365.0
1970-01-31,19594.0
1970-02-28,19586.0
1970-03-31,19709.0
1970-04-30,19768.0
1970-05-31,19793.0
1970-06-30,19902.0
1970-07-31,19742.0
1970-08-31,19818.0
1970-09-30,19958.0
1970-10-31,19962.0
1970-11-30,20047.0
1970-12-31,20346.0
1971-01-31,19592.0
1971-02-28,19525.0
1971-03-31,19641.0
1971-04-30,19792.0
1971-05-31,19961.0
1971-06-30,20139.0
1971-07-31,19926.0
1971-08-31,20086.0
1971-09-30,20285.0
1971-10-31,20372.0
1971-11-30,20548.0
1971-12-31,20865.0
1972-01-31,20182.0
1972-02-29,20173.0
1972-03-31,20346.0
1972-04-30,20535.0
1972-05-31,20676.0
1972-06-30,20949.0
1972-07-31,20717.0
1972-08-31,20969.0
1972-09-30,21136.0
1972-10-31,21357.0
1972-11-30,21637.0
1972-12-31,21957.0
1973-01-31,21272.0
1973-02-28,21338.0
1973-03-31,21485.0
1973-04-30,21754.0
1973-05-31,21935.0
1973-06-30,22170.0
1973-07-31,21928.0
1973-08-31,22224.0
1973-09-30,22480.0
1973-10-31,22733.0
1973-11-30,22961.0
1973-12-31,23228.0
1974-01-31,22485.0
1974-02-28,22445.0
1974-03-31,22598.0
1974-04-30,22810.0
1974-05-31,23039.0
1974-06-30,23213.0
1974-07-31,23043.0
1974-08-31,23188.0
1974-09-30,23385.0
1974-10-31,23481.0
1974-11-30,23445.0
1974-12-31,23396.0
1975-01-31,22469.0
1975-02-28,22296.0
1975-03-31,22321.0
1975-04-30,22452.0
1975-05-31,22661.0
1975-06-30,22849.0
1975-07-31,22775.0
1975-08-31,23053.0
1975-09-30,23299.0
1975-10-31,23474.0
1975-11-30,23619.0
1975-12-31,23912.0
1976-01-31,23342.0
1976-02-29,23395.0
1976-03-31,23600.0
1976-04-30,23914.0
1976-05-31,24108.0
1976-06-30,24328.0
1976-07-31,24225.0
1976-08-31,24437.0
1976-09-30,24651.0
1976-10-31,24691.0
1976-11-30,24868.0
1976-12-31,25132.0
1977-01-31,24536.0
1977-02-28,24584.0
1977-03-31,24857.0
1977-04-30,25123.0
1977-05-31,25395.0
1977-06-30,25699.0
1977-07-31,25576.0
1977-08-31,25823.0
1977-09-30,26165.0
1977-10-31,26303.0
1977-11-30,26560.0
1977-12-31,26887.0
1978-01-31,26268.0
1978-02-28,26288.0
1978-03-31,26593.0
1978-04-30,26938.0
1978-05-31,27217.0
1978-06-30,27543.0
1978-07-31,27414.0
1978-08-31,27714.0
1978-09-30,27971.0
1978-10-31,28151.0
1978-11-30,28466.0
1978-12-31,28786.0
1979-01-31,28139.0
1979-02-28,28125.0
1979-03-31,28397.0
1979-04-30,28613.0
1979-05-31,28845.0
1979-06-30,29126.0
1979-07-31,28914.0
1979-08-31,29126.0
1979-09-30,29350.0
1979-10-31,29531.0
1979-11-30,29733.0
1979-12-31,29974.0
1980-01-31,29323.0
1980-02-29,29356.0
1980-03-31,29511.0
1980-04-30,29594.0
