Date,Value
1985-01-01,47.0
1985-04-01,67.0
1985-07-01,62.0
1985-10-01,54.0
1986-01-01,49.0
1986-04-01,71.0
1986-07-01,54.0
1986-10-01,49.0
1987-01-01,39.0
1987-04-01,44.0
1987-07-01,48.0
1987-10-01,34.0
1988-01-01,27.0
1988-04-01,39.0
1988-07-01,38.0
1988-10-01,36.0
1989-01-01,29.0
1989-04-01,34.0
1989-07-01,33.0
1989-10-01,27.0
1990-01-01,30.0
1990-04-01,26.0
1990-07-01,29.0
1990-10-01,17.0
1991-01-01,10.0
1991-04-01,17.0
1991-07-01,16.0
1991-10-01,14.0
1992-01-01,11.0
1992-04-01,11.0
1992-07-01,13.0
1992-10-01,9.0
1993-01-01,8.0
1993-04-01,11.0
1993-07-01,13.0
1993-10-01,9.0
1994-01-01,11.0
1994-04-01,14.0
1994-07-01,21.0
1994-10-01,19.0
1995-01-01,16.0
1995-04-01,21.0
1995-07-01,22.0
1995-10-01,17.0
1996-01-01,22.0
1996-04-01,26.0
1996-07-01,23.0
1996-10-01,20.0
1997-01-01,17.0
1997-04-01,24.0
1997-07-01,20.0
1997-10-01,25.0
1998-01-01,18.0
1998-04-01,26.0
1998-07-01,26.0
1998-10-01,22.0
1999-01-01,19.0
1999-04-01,19.0
1999-07-01,25.0
1999-10-01,21.0
2000-01-01,18.0
2000-04-01,26.0
2000-07-01,25.0
2000-10-01,18.0
2001-01-01,19.0
2001-04-01,26.0
2001-07-01,26.0
2001-10-01,18.0
2002-01-01,17.0
2002-04-01,20.0
2002-07-01,17.0
2002-10-01,25.0
2003-01-01,21.0
2003-04-01,22.0
2003-07-01,22.0
2003-10-01,20.0
2004-01-01,20.0
2004-04-01,20.0
2004-07-01,24.0
2004-10-01,19.0
2005-01-01,22.0
2005-04-01,21.0
2005-07-01,23.0
2005-10-01,17.0
2006-01-01,22.0
2006-04-01,23.0
2006-07-01,22.0
2006-10-01,22.0
2007-01-01,19.0
2007-04-01,18.0
2007-07-01,20.0
2007-10-01,21.0
2008-01-01,19.0
2008-04-01,20.0
2008-07-01,13.0
2008-10-01,12.0
2009-01-01,9.0
2009-04-01,8.0
2009-07-01,4.0
2009-10-01,3.0
2010-01-01,5.0
2010-04-01,4.0
2010-07-01,12.0
2010-10-01,6.0
2011-01-01,5.0
2011-04-01,12.0
2011-07-01,16.0
2011-10-01,13.0
2012-01-01,11.0
2012-04-01,17.0
2012-07-01,19.0
2012-10-01,15.0
2013-01-01,19.0
2013-04-01,19.0
2013-07-01,20.0
2013-10-01,24.0
2014-01-01,17.0
2014-04-01,20.0
2014-07-01,26.0
2014-10-01,26.0
2015-01-01,20.0
2015-04-01,31.0
2015-07-01,30.0
2015-10-01,20.0
2016-01-01,21.0
2016-04-01,28.0
2016-07-01,30.0
2016-10-01,33.0
2017-01-01,23.0
2017-04-01,31.0
2017-07-01,28.0
