Date,Value
1959-01-01,75.7
1959-02-01,79.0
1959-03-01,119.0
1959-04-01,127.9
1959-05-01,120.8
1959-06-01,120.9
1959-07-01,112.3
1959-08-01,106.4
1959-09-01,102.5
1959-10-01,94.6
1959-11-01,75.8
1959-12-01,73.5
1960-01-01,62.6
1960-02-01,68.1
1960-03-01,89.0
1960-04-01,101.1
1960-05-01,103.4
1960-06-01,94.8
1960-07-01,86.3
1960-08-01,93.7
1960-09-01,84.9
1960-10-01,81.6
1960-11-01,73.9
1960-12-01,58.7
1961-01-01,59.7
1961-02-01,58.8
1961-03-01,92.7
1961-04-01,94.0
1961-05-01,105.3
1961-06-01,104.5
1961-07-01,92.8
1961-08-01,108.6
1961-09-01,90.4
1961-10-01,98.3
1961-11-01,87.4
1961-12-01,71.7
1962-01-01,73.2
1962-02-01,74.6
1962-03-01,101.4
1962-04-01,120.8
1962-05-01,117.5
1962-06-01,107.0
1962-07-01,105.8
1962-08-01,111.0
1962-09-01,95.2
1962-10-01,107.6
1962-11-01,94.5
1962-12-01,78.0
1963-01-01,84.4
1963-02-01,78.7
1963-03-01,108.8
1963-04-01,131.5
1963-05-01,138.7
1963-06-01,118.7
1963-07-01,121.9
1963-08-01,115.0
1963-09-01,114.7
1963-10-01,127.8
1963-11-01,98.6
1963-12-01,96.1
1964-01-01,86.4
1964-02-01,90.9
1964-03-01,119.2
1964-04-01,128.8
1964-05-01,122.9
1964-06-01,124.8
1964-07-01,119.5
1964-08-01,108.4
1964-09-01,107.6
1964-10-01,106.6
1964-11-01,90.6
1964-12-01,80.0
1965-01-01,74.3
1965-02-01,75.4
1965-03-01,115.7
1965-04-01,120.6
1965-05-01,115.0
1965-06-01,122.0
1965-07-01,108.6
1965-08-01,108.9
1965-09-01,104.2
1965-10-01,105.7
1965-11-01,99.3
1965-12-01,90.1
1966-01-01,76.0
1966-02-01,73.1
1966-03-01,117.8
1966-04-01,114.1
1966-05-01,107.0
1966-06-01,95.0
1966-07-01,77.4
1966-08-01,79.3
1966-09-01,65.9
1966-10-01,61.3
1966-11-01,56.1
1966-12-01,48.9
1967-01-01,58.5
1967-02-01,57.0
1967-03-01,91.4
1967-04-01,99.5
1967-05-01,111.2
1967-06-01,115.5
1967-07-01,97.1
1967-08-01,110.6
1967-09-01,103.4
1967-10-01,111.8
1967-11-01,99.8
1967-12-01,85.2
1968-01-01,74.4
1968-02-01,90.2
1968-03-01,117.5
1968-04-01,134.8
1968-05-01,132.8
1968-06-01,116.2
1968-07-01,120.1
1968-08-01,115.7
1968-09-01,118.2
1968-10-01,129.9
1968-11-01,106.1
1968-12-01,97.3
1969-01-01,94.1
1969-02-01,96.2
1969-03-01,121.7
1969-04-01,149.3
1969-05-01,128.6
1969-06-01,125.5
1969-07-01,114.0
1969-08-01,106.1
1969-09-01,106.8
1969-10-01,111.1
1969-11-01,84.4
1969-12-01,85.9
1970-01-01,67.5
1970-02-01,72.9
1970-03-01,99.5
1970-04-01,125.5
1970-05-01,122.0
1970-06-01,129.0
1970-07-01,118.3
1970-08-01,113.7
1970-09-01,121.0
1970-10-01,136.3
1970-11-01,113.1
1970-12-01,132.6
1971-01-01,98.8
1971-02-01,104.1
1971-03-01,157.6
1971-04-01,175.3
1971-05-01,180.9
1971-06-01,186.0
1971-07-01,177.6
1971-08-01,174.5
1971-09-01,168.6
1971-10-01,169.0
1971-11-01,165.1
1971-12-01,167.1
1972-01-01,137.3
1972-02-01,148.1
1972-03-01,191.1
1972-04-01,191.8
1972-05-01,206.9
1972-06-01,214.6
1972-07-01,179.6
1972-08-01,206.4
1972-09-01,190.6
1972-10-01,201.1
1972-11-01,176.8
1972-12-01,174.6
1973-01-01,152.1
1973-02-01,145.7
1973-03-01,184.4
1973-04-01,185.4
1973-05-01,191.7
1973-06-01,193.7
1973-07-01,157.3
1973-08-01,162.9
1973-09-01,125.2
1973-10-01,122.9
1973-11-01,107.2
1973-12-01,91.1
1974-01-01,87.5
1974-02-01,86.7
1974-03-01,120.1
1974-04-01,130.9
1974-05-01,116.5
1974-06-01,102.2
1974-07-01,95.5
1974-08-01,81.7
1974-09-01,66.8
1974-10-01,71.1
1974-11-01,55.1
1974-12-01,60.3
1975-01-01,43.5
1975-02-01,45.2
1975-03-01,60.5
1975-04-01,89.3
1975-05-01,91.2
1975-06-01,94.0
1975-07-01,98.7
1975-08-01,85.3
1975-09-01,90.6
1975-10-01,95.2
1975-11-01,73.2
1975-12-01,72.5
1976-01-01,67.6
1976-02-01,73.4
1976-03-01,110.6
1976-04-01,117.0
1976-05-01,112.7
1976-06-01,122.7
1976-07-01,113.7
1976-08-01,116.9
1976-09-01,125.8
1976-10-01,117.5
1976-11-01,114.0
1976-12-01,104.2
1977-01-01,80.2
1977-02-01,97.3
1977-03-01,158.2
1977-04-01,161.2
1977-05-01,162.3
1977-06-01,175.9
1977-07-01,145.7
1977-08-01,164.5
1977-09-01,144.2
1977-10-01,146.1
1977-11-01,135.9
1977-12-01,118.4
1978-01-01,97.2
1978-02-01,105.7
1978-03-01,166.5
1978-04-01,175.3
1978-05-01,177.9
1978-06-01,200.2
1978-07-01,151.9
1978-08-01,159.3
1978-09-01,152.4
1978-10-01,160.7
1978-11-01,138.0
1978-12-01,115.4
1979-01-01,88.1
1979-02-01,91.7
1979-03-01,151.3
1979-04-01,147.1
1979-05-01,164.1
1979-06-01,156.3
1979-07-01,138.9
1979-08-01,151.9
1979-09-01,140.7
1979-10-01,140.5
1979-11-01,99.6
1979-12-01,81.6
1980-01-01,76.8
1980-02-01,77.9
1980-03-01,83.2
1980-04-01,77.3
1980-05-01,79.0
1980-06-01,103.1
1980-07-01,115.5
1980-08-01,118.2
1980-09-01,144.3
1980-10-01,129.3
1980-11-01,96.8
1980-12-01,89.2
1981-01-01,72.8
1981-02-01,74.4
1981-03-01,103.3
1981-04-01,113.3
1981-05-01,102.3
1981-06-01,95.4
1981-07-01,85.9
1981-08-01,75.9
1981-09-01,82.5
1981-10-01,66.8
1981-11-01,54.9
1981-12-01,58.1
1982-01-01,47.6
1982-02-01,52.4
1982-03-01,81.0
1982-04-01,82.7
1982-05-01,82.2
1982-06-01,89.4
1982-07-01,92.2
1982-08-01,82.4
1982-09-01,101.2
1982-10-01,99.7
1982-11-01,93.2
1982-12-01,96.5
1983-01-01,83.7
1983-02-01,93.4
1983-03-01,135.5
1983-04-01,138.8
1983-05-01,150.7
1983-06-01,173.2
1983-07-01,148.6
1983-08-01,155.5
1983-09-01,149.5
1983-10-01,142.6
1983-11-01,124.7
1983-12-01,108.9
1984-01-01,114.1
1984-02-01,130.1
1984-03-01,152.3
1984-04-01,161.0
1984-05-01,169.4
1984-06-01,172.3
1984-07-01,141.5
1984-08-01,142.6
1984-09-01,131.9
1984-10-01,137.3
1984-11-01,122.9
1984-12-01,106.5
1985-01-01,106.4
1985-02-01,104.4
1985-03-01,146.0
1985-04-01,160.8
1985-05-01,168.9
1985-06-01,156.5
1985-07-01,158.4
1985-08-01,159.5
1985-09-01,168.8
1985-10-01,157.5
1985-11-01,118.6
1985-12-01,127.5
1986-01-01,118.3
1986-02-01,111.1
1986-03-01,152.8
1986-04-01,182.2
1986-05-01,170.2
1986-06-01,173.7
1986-07-01,167.1
1986-08-01,146.5
1986-09-01,153.7
1986-10-01,150.2
1986-11-01,110.3
1986-12-01,133.4
1987-01-01,101.0
1987-02-01,102.0
