0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_qtr_1,past_qtr_2,past_year_1,past_year_2,q0,q1,q2,q3,q4,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
42103.333333333336,42182.333333333336,41965.0,41736.333333333336,41174.0,41829.666666666664,41651.333333333336,41369.0,1991-12-31,42103.333333333336,41829.666666666664,41738.333333333336,41764.41666666667,42103.333333333336,41829.666666666664,41651.333333333336,41369.0,42182.333333333336,273.6666666666715,1.0065424061073083,-26.08333333333576,0.9993754651587375
41389.333333333336,41369.0,42182.333333333336,41965.0,41736.333333333336,42103.333333333336,41829.666666666664,41651.333333333336,1992-03-31,41389.333333333336,42103.333333333336,41743.41666666667,41813.16666666667,41389.333333333336,42103.333333333336,41829.666666666664,41651.333333333336,41369.0,-714.0,0.9830417227456258,-69.75,0.99833186516209
41962.666666666664,41651.333333333336,41369.0,42182.333333333336,41965.0,41389.333333333336,42103.333333333336,41829.666666666664,1992-06-30,41962.666666666664,41389.333333333336,41821.25,41791.91666666667,41962.666666666664,41389.333333333336,42103.333333333336,41829.666666666664,41651.333333333336,573.3333333333285,1.0138522002448294,29.333333333328483,1.0007018901183042
42190.0,41829.666666666664,41651.333333333336,41369.0,42182.333333333336,41962.666666666664,41389.333333333336,42103.333333333336,1992-09-30,42190.0,41962.666666666664,41911.333333333336,41758.083333333336,42190.0,41962.666666666664,41389.333333333336,42103.333333333336,41829.666666666664,227.33333333333576,1.0054175139806814,153.25,1.0036699481337945
42572.333333333336,42103.333333333336,41829.666666666664,41651.333333333336,41369.0,42190.0,41962.666666666664,41389.333333333336,1992-12-31,42572.333333333336,42190.0,42028.583333333336,41738.333333333336,42572.333333333336,42190.0,41962.666666666664,41389.333333333336,42103.333333333336,382.33333333333576,1.009062179031366,290.25,1.006954039052829
42051.666666666664,41389.333333333336,42103.333333333336,41829.666666666664,41651.333333333336,42572.333333333336,42190.0,41962.666666666664,1993-03-31,42051.666666666664,42572.333333333336,42194.166666666664,41743.41666666667,42051.666666666664,42572.333333333336,42190.0,41962.666666666664,41389.333333333336,-520.6666666666715,0.9877698348692812,450.7499999999927,1.010798109881598
42772.0,41962.666666666664,41389.333333333336,42103.333333333336,41829.666666666664,42051.666666666664,42572.333333333336,42190.0,1993-06-30,42772.0,42051.666666666664,42396.5,41821.25,42772.0,42051.666666666664,42572.333333333336,42190.0,41962.666666666664,720.3333333333358,1.0171297213744996,575.25,1.0137549690647698
43155.666666666664,42190.0,41962.666666666664,41389.333333333336,42103.333333333336,42772.0,42051.666666666664,42572.333333333336,1993-09-30,43155.666666666664,42772.0,42637.916666666664,41911.333333333336,43155.666666666664,42772.0,42051.666666666664,42572.333333333336,42190.0,383.66666666666424,1.008970042707067,726.5833333333285,1.0173362018228957
43691.333333333336,42572.333333333336,42190.0,41962.666666666664,41389.333333333336,43155.666666666664,42772.0,42051.666666666664,1993-12-31,43691.333333333336,43155.666666666664,42917.666666666664,42028.583333333336,43691.333333333336,43155.666666666664,42772.0,42051.666666666664,42572.333333333336,535.6666666666715,1.0124124294221695,889.0833333333285,1.0211542541484664
43218.666666666664,42051.666666666664,42572.333333333336,42190.0,41962.666666666664,43691.333333333336,43155.666666666664,42772.0,1994-03-31,43218.666666666664,43691.333333333336,43209.416666666664,42194.166666666664,43218.666666666664,43691.333333333336,43155.666666666664,42772.0,42051.666666666664,-472.6666666666715,0.9891816836290949,1015.25,1.02406138289258
44130.333333333336,42772.0,42051.666666666664,42572.333333333336,42190.0,43218.666666666664,43691.333333333336,43155.666666666664,1994-06-30,44130.333333333336,43218.666666666664,43549.0,42396.5,44130.333333333336,43218.666666666664,43691.333333333336,43155.666666666664,42772.0,911.6666666666715,1.021094280249275,1152.5,1.027183847723279
44631.666666666664,43155.666666666664,42772.0,42051.666666666664,42572.333333333336,44130.333333333336,43218.666666666664,43691.333333333336,1994-09-30,44631.666666666664,44130.333333333336,43918.0,42637.916666666664,44631.666666666664,44130.333333333336,43218.666666666664,43691.333333333336,43155.666666666664,501.3333333333285,1.0113602888413864,1280.0833333333358,1.0300221829162228
45256.0,43691.333333333336,43155.666666666664,42772.0,42051.666666666664,44631.666666666664,44130.333333333336,43218.666666666664,1994-12-31,45256.0,44631.666666666664,44309.166666666664,42917.666666666664,45256.0,44631.666666666664,44130.333333333336,43218.666666666664,43691.333333333336,624.3333333333358,1.0139885731356661,1391.5,1.0324225454940856
44793.0,43218.666666666664,43691.333333333336,43155.666666666664,42772.0,45256.0,44631.666666666664,44130.333333333336,1995-03-31,44793.0,45256.0,44702.75,43209.416666666664,44793.0,45256.0,44631.666666666664,44130.333333333336,43218.666666666664,-463.0,0.9897693123563727,1493.3333333333358,1.0345603678210575
45492.0,44130.333333333336,43218.666666666664,43691.333333333336,43155.666666666664,44793.0,45256.0,44631.666666666664,1995-06-30,45492.0,44793.0,45043.166666666664,43549.0,45492.0,44793.0,45256.0,44631.666666666664,44130.333333333336,699.0,1.0156051168709397,1494.1666666666642,1.034310010945525
