0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_qtr_1,past_qtr_2,past_year_1,past_year_2,q0,q1,q2,q3,q4,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
,,,,,,,,1991-12-31,,,,,,,,,,,,,
,,,,,,,,1992-03-31,,,,,,,,,,,,,
,,,,,,,,1992-06-30,,,,,,,,,,,,,
,,,,,,,,1992-09-30,,,,,,,,,,,,,
,,,,,,,,1992-12-31,,,,,,,,,,,,,
,,,,,,,,1993-03-31,,,,,,,,,,,,,
,,,,,,,,1993-06-30,,,,,,,,,,,,,
,,,,,,,,1993-09-30,,,,,,,,,,,,,
,,,,,,,,1993-12-31,,,,,,,,,,,,,
132.5,,,,,,,,1994-03-31,132.5,,132.5,,132.5,,,,,,,,
132.6,,,,,132.5,,,1994-06-30,132.6,132.5,132.55,,132.6,132.5,,,,0.09999999999999432,1.000754716981132,,
132.76666666666665,,,,,132.6,132.5,,1994-09-30,132.76666666666665,132.6,132.62222222222223,,132.76666666666665,132.6,132.5,,,0.1666666666666572,1.001256913021619,,
132.7,,,,,132.76666666666665,132.6,132.5,1994-12-31,132.7,132.76666666666665,132.64166666666665,,132.7,132.76666666666665,132.6,132.5,,-0.06666666666666288,0.9994978659302034,,
134.16666666666666,132.5,,,,132.7,132.76666666666665,132.6,1995-03-31,134.16666666666666,132.7,133.05833333333334,132.5,134.16666666666666,132.7,132.76666666666665,132.6,132.5,1.4666666666666686,1.0110524993720171,0.5583333333333371,1.0042138364779873
135.20000000000002,132.6,132.5,,,134.16666666666666,132.7,132.76666666666665,1995-06-30,135.20000000000002,134.16666666666666,133.70833333333331,132.55,135.20000000000002,134.16666666666666,132.7,132.76666666666665,132.6,1.0333333333333599,1.0077018633540376,1.158333333333303,1.0087388406890478
135.23333333333332,132.76666666666665,132.6,132.5,,135.20000000000002,134.16666666666666,132.7,1995-09-30,135.23333333333332,135.20000000000002,134.325,132.62222222222223,135.23333333333332,135.20000000000002,134.16666666666666,132.7,132.76666666666665,0.03333333333330302,1.0002465483234713,1.7027777777777544,1.0128393096514743
135.43333333333334,132.7,132.76666666666665,132.6,132.5,135.23333333333332,135.20000000000002,134.16666666666666,1995-12-31,135.43333333333334,135.23333333333332,135.00833333333333,132.64166666666665,135.43333333333334,135.23333333333332,135.20000000000002,134.16666666666666,132.7,0.20000000000001705,1.0014789253142717,2.3666666666666742,1.017842558271031
