0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_qtr_1,past_qtr_2,past_year_1,past_year_2,q0,q1,q2,q3,q4,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
71202.66666666667,62564.5,59016.9,55841.1,53186.666666666664,69048.23333333334,67385.33333333333,65183.86666666667,1991-12-31,71202.66666666667,69048.23333333334,68205.025,57652.291666666664,71202.66666666667,69048.23333333334,67385.33333333333,65183.86666666667,62564.5,2154.4333333333343,1.03120186034207,10552.73333333333,1.1830410037184125
72353.36666666667,65183.86666666667,62564.5,59016.9,55841.1,71202.66666666667,69048.23333333334,67385.33333333333,1992-03-31,72353.36666666667,71202.66666666667,69997.4,60651.59166666667,72353.36666666667,71202.66666666667,69048.23333333334,67385.33333333333,65183.86666666667,1150.699999999997,1.0161609115763455,9345.808333333327,1.154090075404726
73239.8,67385.33333333333,65183.86666666667,62564.5,59016.9,72353.36666666667,71202.66666666667,69048.23333333334,1992-06-30,73239.8,72353.36666666667,71461.01666666668,63537.65,73239.8,72353.36666666667,71202.66666666667,69048.23333333334,67385.33333333333,886.4333333333343,1.0122514455673797,7923.366666666676,1.1247034894533663
74100.59999999999,69048.23333333334,67385.33333333333,65183.86666666667,62564.5,73239.8,72353.36666666667,71202.66666666667,1992-09-30,74100.59999999999,73239.8,72724.10833333334,66045.48333333334,74100.59999999999,73239.8,72353.36666666667,71202.66666666667,69048.23333333334,860.7999999999884,1.0117531724554134,6678.625,1.1011216007958151
74867.66666666667,71202.66666666667,69048.23333333334,67385.33333333333,65183.86666666667,74100.59999999999,73239.8,72353.36666666667,1992-12-31,74867.66666666667,74100.59999999999,73640.35833333334,68205.025,74867.66666666667,74100.59999999999,73239.8,72353.36666666667,71202.66666666667,767.0666666666802,1.0103516930587157,5435.333333333343,1.0796910980288232
75538.26666666668,72353.36666666667,71202.66666666667,69048.23333333334,67385.33333333333,74867.66666666667,74100.59999999999,73239.8,1993-03-31,75538.26666666668,74867.66666666667,74436.58333333333,69997.4,75538.26666666668,74867.66666666667,74100.59999999999,73239.8,72353.36666666667,670.6000000000058,1.0089571377051956,4439.183333333334,1.0634192603344315
76344.7,73239.8,72353.36666666667,71202.66666666667,69048.23333333334,75538.26666666668,74867.66666666667,74100.59999999999,1993-06-30,76344.7,75538.26666666668,75212.80833333333,71461.01666666668,76344.7,75538.26666666668,74867.66666666667,74100.59999999999,73239.8,806.4333333333198,1.0106758252329502,3751.791666666657,1.052501235522118
75427.2,74100.59999999999,73239.8,72353.36666666667,71202.66666666667,76344.7,75538.26666666668,74867.66666666667,1993-09-30,75427.2,76344.7,75544.45833333334,72724.10833333334,75427.2,76344.7,75538.26666666668,74867.66666666667,74100.59999999999,-917.5,0.9879821389042068,2820.350000000006,1.0387814998992198
74387.5,74867.66666666667,74100.59999999999,73239.8,72353.36666666667,75427.2,76344.7,75538.26666666668,1993-12-31,74387.5,75427.2,75424.41666666667,73640.35833333334,74387.5,75427.2,76344.7,75538.26666666668,74867.66666666667,-1039.699999999997,0.9862158478639006,1784.0583333333343,1.0242266384046883
73870.86666666667,75538.26666666668,74867.66666666667,74100.59999999999,73239.8,74387.5,75427.2,76344.7,1994-03-31,73870.86666666667,74387.5,75007.56666666667,74436.58333333333,73870.86666666667,74387.5,75427.2,76344.7,75538.26666666668,-516.6333333333314,0.9930548367221196,570.9833333333372,1.0076707353798928
74144.93333333333,76344.7,75538.26666666668,74867.66666666667,74100.59999999999,73870.86666666667,74387.5,75427.2,1994-06-30,74144.93333333333,73870.86666666667,74457.625,75212.80833333333,74144.93333333333,73870.86666666667,74387.5,75427.2,76344.7,274.0666666666657,1.003710077856584,-755.1833333333343,0.9899593785943152
74838.93333333333,75427.2,76344.7,75538.26666666668,74867.66666666667,74144.93333333333,73870.86666666667,74387.5,1994-09-30,74838.93333333333,74144.93333333333,74310.55833333333,75544.45833333334,74838.93333333333,74144.93333333333,73870.86666666667,74387.5,75427.2,694.0,1.0093600461798244,-1233.9000000000087,0.9836665716159413
75711.53333333334,74387.5,75427.2,76344.7,75538.26666666668,74838.93333333333,74144.93333333333,73870.86666666667,1994-12-31,75711.53333333334,74838.93333333333,74641.56666666668,75424.41666666667,75711.53333333334,74838.93333333333,74144.93333333333,73870.86666666667,74387.5,872.6000000000058,1.0116597065342103,-782.8499999999913,0.9896207351067792
76498.96666666667,73870.86666666667,74387.5,75427.2,76344.7,75711.53333333334,74838.93333333333,74144.93333333333,1995-03-31,76498.96666666667,75711.53333333334,75298.59166666667,75007.56666666667,76498.96666666667,75711.53333333334,74838.93333333333,74144.93333333333,73870.86666666667,787.4333333333343,1.010400440972005,291.02500000000873,1.0038799418903073
77485.70000000001,74144.93333333333,73870.86666666667,74387.5,75427.2,76498.96666666667,75711.53333333334,74838.93333333333,1995-06-30,77485.70000000001,76498.96666666667,76133.78333333334,74457.625,77485.70000000001,76498.96666666667,75711.53333333334,74838.93333333333,74144.93333333333,986.7333333333372,1.0128986491756533,1676.1583333333401,1.022511573976921
78905.36666666668,74838.93333333333,74144.93333333333,73870.86666666667,74387.5,77485.70000000001,76498.96666666667,75711.53333333334,1995-09-30,78905.36666666668,77485.70000000001,77150.39166666668,74310.55833333333,78905.36666666668,77485.70000000001,76498.96666666667,75711.53333333334,74838.93333333333,1419.6666666666715,1.0183216602117122,2839.833333333343,1.0382157448016305
79539.66666666667,75711.53333333334,74838.93333333333,74144.93333333333,73870.86666666667,78905.36666666668,77485.70000000001,76498.96666666667,1995-12-31,79539.66666666667,78905.36666666668,78107.42500000002,74641.56666666668,79539.66666666667,78905.36666666668,77485.70000000001,76498.96666666667,75711.53333333334,634.2999999999884,1.0080387434568243,3465.858333333337,1.0464333546053652
80600.56666666667,76498.96666666667,75711.53333333334,74838.93333333333,74144.93333333333,79539.66666666667,78905.36666666668,77485.70000000001,1996-03-31,80600.56666666667,79539.66666666667,79132.82500000001,75298.59166666667,80600.56666666667,79539.66666666667,78905.36666666668,77485.70000000001,76498.96666666667,1060.8999999999942,1.0133379990696465,3834.233333333337,1.0509203857398395
