0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_qtr_1,past_qtr_2,past_year_1,past_year_2,q0,q1,q2,q3,q4,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
23560.0,9678.0,39076.0,62869.0,44909.0,55005.0,56750.0,56439.0,1991-12-31,23560.0,55005.0,47938.5,39133.0,23560.0,55005.0,56750.0,56439.0,9678.0,-31445.0,0.4283246977547496,8805.5,1.2250146934812052
78469.0,56439.0,9678.0,39076.0,62869.0,23560.0,55005.0,56750.0,1992-03-31,78469.0,23560.0,53446.0,42015.5,78469.0,23560.0,55005.0,56750.0,56439.0,54909.0,3.330602716468591,11430.5,1.2720543608906236
65115.0,56750.0,56439.0,9678.0,39076.0,78469.0,23560.0,55005.0,1992-06-30,65115.0,78469.0,55537.25,40485.75,65115.0,78469.0,23560.0,55005.0,56750.0,-13354.0,0.8298181447450586,15051.5,1.3717727842512488
54327.0,55005.0,56750.0,56439.0,9678.0,65115.0,78469.0,23560.0,1992-09-30,54327.0,65115.0,55367.75,44468.0,54327.0,65115.0,78469.0,23560.0,55005.0,-10788.0,0.8343238885049528,10899.75,1.245114464333903
55831.0,23560.0,55005.0,56750.0,56439.0,54327.0,65115.0,78469.0,1992-12-31,55831.0,54327.0,63435.5,47938.5,55831.0,54327.0,65115.0,78469.0,23560.0,1504.0,1.0276842085887312,15497.0,1.3232683542455437
51633.0,78469.0,23560.0,55005.0,56750.0,55831.0,54327.0,65115.0,1993-03-31,51633.0,55831.0,56726.5,53446.0,51633.0,55831.0,54327.0,65115.0,78469.0,-4198.0,0.924808797979617,3280.5,1.0613797103618605
78418.0,65115.0,78469.0,23560.0,55005.0,51633.0,55831.0,54327.0,1993-06-30,78418.0,51633.0,60052.25,55537.25,78418.0,51633.0,55831.0,54327.0,65115.0,26785.0,1.5187573838436659,4515.0,1.0812967872914125
83951.0,54327.0,65115.0,78469.0,23560.0,78418.0,51633.0,55831.0,1993-09-30,83951.0,78418.0,67458.25,55367.75,83951.0,78418.0,51633.0,55831.0,54327.0,5533.0,1.0705577801015074,12090.5,1.2183671902867643
103146.0,55831.0,54327.0,65115.0,78469.0,83951.0,78418.0,51633.0,1993-12-31,103146.0,83951.0,79287.0,63435.5,103146.0,83951.0,78418.0,51633.0,55831.0,19195.0,1.228645281175924,15851.5,1.2498837401770302
138668.0,51633.0,55831.0,54327.0,65115.0,103146.0,83951.0,78418.0,1994-03-31,138668.0,103146.0,101045.75,56726.5,138668.0,103146.0,83951.0,78418.0,51633.0,35522.0,1.3443856281387547,44319.25,1.7812794725569179
148004.0,78418.0,51633.0,55831.0,54327.0,138668.0,103146.0,83951.0,1994-06-30,148004.0,138668.0,118442.25,60052.25,148004.0,138668.0,103146.0,83951.0,78418.0,9336.0,1.0673262757088875,58390.0,1.9723199380539447
168734.0,83951.0,78418.0,51633.0,55831.0,148004.0,138668.0,103146.0,1994-09-30,168734.0,148004.0,139638.0,67458.25,168734.0,148004.0,138668.0,103146.0,83951.0,20730.0,1.1400637820599444,72179.75,2.0699914391494
175957.0,103146.0,83951.0,78418.0,51633.0,168734.0,148004.0,138668.0,1994-12-31,175957.0,168734.0,157840.75,79287.0,175957.0,168734.0,148004.0,138668.0,103146.0,7223.0,1.0428070217027985,78553.75,1.9907519517701515
141734.0,138668.0,103146.0,83951.0,78418.0,175957.0,168734.0,148004.0,1995-03-31,141734.0,175957.0,158607.25,101045.75,141734.0,175957.0,168734.0,148004.0,138668.0,-34223.0,0.8055036173610598,57561.5,1.5696578035196929
148783.0,148004.0,138668.0,103146.0,83951.0,141734.0,175957.0,168734.0,1995-06-30,148783.0,141734.0,158802.0,118442.25,148783.0,141734.0,175957.0,168734.0,148004.0,7049.0,1.0497340087770048,40359.75,1.3407546715804537
163549.0,168734.0,148004.0,138668.0,103146.0,148783.0,141734.0,175957.0,1995-09-30,163549.0,148783.0,157505.75,139638.0,163549.0,148783.0,141734.0,175957.0,168734.0,14766.0,1.0992452094661354,17867.75,1.1279576476317335
157727.0,175957.0,168734.0,148004.0,138668.0,163549.0,148783.0,141734.0,1995-12-31,157727.0,163549.0,152948.25,157840.75,157727.0,163549.0,148783.0,141734.0,175957.0,-5822.0,0.964402105790925,-4892.5,0.9690035684701194
194069.0,141734.0,175957.0,168734.0,148004.0,157727.0,163549.0,148783.0,1996-03-31,194069.0,157727.0,166032.0,158607.25,194069.0,157727.0,163549.0,148783.0,141734.0,36342.0,1.2304107730445644,7424.75,1.0468121728357311
198850.0,148783.0,141734.0,175957.0,168734.0,194069.0,157727.0,163549.0,1996-06-30,198850.0,194069.0,178548.75,158802.0,198850.0,194069.0,157727.0,163549.0,148783.0,4781.0,1.0246355677619816,19746.75,1.12434824498432
191858.0,163549.0,148783.0,141734.0,175957.0,198850.0,194069.0,157727.0,1996-09-30,191858.0,198850.0,185626.0,157505.75,191858.0,198850.0,194069.0,157727.0,163549.0,-6992.0,0.9648378174503395,28120.25,1.1785347519058829
188024.0,157727.0,163549.0,148783.0,141734.0,191858.0,198850.0,194069.0,1996-12-31,188024.0,191858.0,193200.25,152948.25,188024.0,191858.0,198850.0,194069.0,157727.0,-3834.0,0.9800164705146515,40252.0,1.263173982049484
211221.0,194069.0,157727.0,163549.0,148783.0,188024.0,191858.0,198850.0,1997-03-31,211221.0,188024.0,197488.25,166032.0,211221.0,188024.0,191858.0,198850.0,194069.0,23197.0,1.123372548185338,31456.25,1.1894589597186085
213172.0,198850.0,194069.0,157727.0,163549.0,211221.0,188024.0,191858.0,1997-06-30,213172.0,211221.0,201068.75,178548.75,213172.0,211221.0,188024.0,191858.0,198850.0,1951.0,1.0092367709650083,22520.0,1.1261280182583189
237582.0,191858.0,198850.0,194069.0,157727.0,213172.0,211221.0,188024.0,1997-09-30,237582.0,213172.0,212499.75,185626.0,237582.0,213172.0,211221.0,188024.0,191858.0,24410.0,1.1145084720319742,26873.75,1.1447736308491268
222258.0,188024.0,191858.0,198850.0,194069.0,237582.0,213172.0,211221.0,1997-12-31,222258.0,237582.0,221058.25,193200.25,222258.0,237582.0,213172.0,211221.0,188024.0,-15324.0,0.9355001641538501,27858.0,1.144192359999534
135655.0,211221.0,188024.0,191858.0,198850.0,222258.0,237582.0,213172.0,1998-03-31,135655.0,222258.0,202166.75,197488.25,135655.0,222258.0,237582.0,213172.0,211221.0,-86603.0,0.6103492337733625,4678.5,1.0236900170010115
144400.0,213172.0,211221.0,188024.0,191858.0,135655.0,222258.0,237582.0,1998-06-30,144400.0,135655.0,184973.75,201068.75,144400.0,135655.0,222258.0,237582.0,213172.0,8745.0,1.0644650031329475,-16095.0,0.9199527524789407
185716.0,237582.0,213172.0,211221.0,188024.0,144400.0,135655.0,222258.0,1998-09-30,185716.0,144400.0,172007.25,212499.75,185716.0,144400.0,135655.0,222258.0,237582.0,41316.0,1.2861218836565096,-40492.5,0.8094468346433349
162530.0,222258.0,237582.0,213172.0,211221.0,185716.0,144400.0,135655.0,1998-12-31,162530.0,185716.0,157075.25,221058.25,162530.0,185716.0,144400.0,135655.0,222258.0,-23186.0,0.8751534601219065,-63983.0,0.7105604518266113
150230.0,135655.0,222258.0,237582.0,213172.0,162530.0,185716.0,144400.0,1999-03-31,150230.0,162530.0,160719.0,202166.75,150230.0,162530.0,185716.0,144400.0,135655.0,-12300.0,0.9243216636928567,-41447.75,0.7949823598588789
149914.0,144400.0,135655.0,222258.0,237582.0,150230.0,162530.0,185716.0,1999-06-30,149914.0,150230.0,162097.5,184973.75,149914.0,150230.0,162530.0,185716.0,144400.0,-316.0,0.9978965586101312,-22876.25,0.8763270464052332
162952.0,185716.0,144400.0,135655.0,222258.0,149914.0,150230.0,162530.0,1999-09-30,162952.0,149914.0,156406.5,172007.25,162952.0,149914.0,150230.0,162530.0,185716.0,13038.0,1.0869698627212936,-15600.75,0.9093017881513715
110536.0,162530.0,185716.0,144400.0,135655.0,162952.0,149914.0,150230.0,1999-12-31,110536.0,162952.0,143408.0,157075.25,110536.0,162952.0,149914.0,150230.0,162530.0,-52416.0,0.6783347243360008,-13667.25,0.9129891564711818
39706.0,150230.0,162530.0,185716.0,144400.0,110536.0,162952.0,149914.0,2000-03-31,39706.0,110536.0,115777.0,160719.0,39706.0,110536.0,162952.0,149914.0,150230.0,-70830.0,0.3592132879785771,-44942.0,0.7203690913955413
29076.0,149914.0,150230.0,162530.0,185716.0,39706.0,110536.0,162952.0,2000-06-30,29076.0,39706.0,85567.5,162097.5,29076.0,39706.0,110536.0,162952.0,149914.0,-10630.0,0.732282274719186,-76530.0,0.5278767408504141
23669.0,162952.0,149914.0,150230.0,162530.0,29076.0,39706.0,110536.0,2000-09-30,23669.0,29076.0,50746.75,156406.5,23669.0,29076.0,39706.0,110536.0,162952.0,-5407.0,0.8140390700233869,-105659.75,0.3244542266465908
11204.0,110536.0,162952.0,149914.0,150230.0,23669.0,29076.0,39706.0,2000-12-31,11204.0,23669.0,25913.75,143408.0,11204.0,23669.0,29076.0,39706.0,110536.0,-12465.0,0.4733617812328362,-117494.25,0.1806994728327569
-83947.0,39706.0,110536.0,162952.0,149914.0,11204.0,23669.0,29076.0,2001-03-31,-83947.0,11204.0,-4999.5,115777.0,-83947.0,11204.0,23669.0,29076.0,39706.0,-95151.0,-7.4925919314530525,-120776.5,-0.04318215189545419
46548.0,29076.0,39706.0,110536.0,162952.0,-83947.0,11204.0,23669.0,2001-06-30,46548.0,-83947.0,-631.5,85567.5,46548.0,-83947.0,11204.0,23669.0,29076.0,130495.0,-0.5544927156420122,-86199.0,-0.0073801384871592605
53481.0,23669.0,29076.0,39706.0,110536.0,46548.0,-83947.0,11204.0,2001-09-30,53481.0,46548.0,6821.5,50746.75,53481.0,46548.0,-83947.0,11204.0,23669.0,6933.0,1.1489430265532354,-43925.25,0.13442240143457462
-26138.0,11204.0,23669.0,29076.0,39706.0,53481.0,46548.0,-83947.0,2001-12-31,-26138.0,53481.0,-2514.0,25913.75,-26138.0,53481.0,46548.0,-83947.0,11204.0,-79619.0,-0.48873431686019336,-28427.75,-0.09701413342337561
108285.0,-83947.0,11204.0,23669.0,29076.0,-26138.0,53481.0,46548.0,2002-03-31,108285.0,-26138.0,45544.0,-4999.5,108285.0,-26138.0,53481.0,46548.0,-83947.0,134423.0,-4.142818884382891,50543.5,-9.10971097109711
92092.0,46548.0,-83947.0,11204.0,23669.0,108285.0,-26138.0,53481.0,2002-06-30,92092.0,108285.0,56930.0,-631.5,92092.0,108285.0,-26138.0,53481.0,46548.0,-16193.0,0.8504594357482569,57561.5,-90.15043547110055
108678.0,53481.0,46548.0,-83947.0,11204.0,92092.0,108285.0,-26138.0,2002-09-30,108678.0,92092.0,70729.25,6821.5,108678.0,92092.0,108285.0,-26138.0,53481.0,16586.0,1.1801025061894628,63907.75,10.368577292384373
83041.0,-26138.0,53481.0,46548.0,-83947.0,108678.0,92092.0,108285.0,2002-12-31,83041.0,108678.0,98024.0,-2514.0,83041.0,108678.0,92092.0,108285.0,-26138.0,-25637.0,0.764101290049504,100538.0,-38.99124900556882
198096.0,108285.0,-26138.0,53481.0,46548.0,83041.0,108678.0,92092.0,2003-03-31,198096.0,83041.0,120476.75,45544.0,198096.0,83041.0,108678.0,92092.0,108285.0,115055.0,2.3855204055827843,74932.75,2.645282583874934
