0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_qtr_1,past_qtr_2,past_year_1,past_year_2,q0,q1,q2,q3,q4,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
,,,,,,,,1991-12-31,,,,,,,,,,,,,
,,,,,,,,1992-03-31,,,,,,,,,,,,,
,,,,,,,,1992-06-30,,,,,,,,,,,,,
,,,,,,,,1992-09-30,,,,,,,,,,,,,
,,,,,,,,1992-12-31,,,,,,,,,,,,,
,,,,,,,,1993-03-31,,,,,,,,,,,,,
,,,,,,,,1993-06-30,,,,,,,,,,,,,
,,,,,,,,1993-09-30,,,,,,,,,,,,,
,,,,,,,,1993-12-31,,,,,,,,,,,,,
,,,,,,,,1994-03-31,,,,,,,,,,,,,
,,,,,,,,1994-06-30,,,,,,,,,,,,,
,,,,,,,,1994-09-30,,,,,,,,,,,,,
1.1634,,,,,,,,1994-12-31,1.1634,,1.1634,,1.1634,,,,,,,,
1.1555384615384616,,,,,1.1634,,,1995-03-31,1.1555384615384616,1.1634,1.159469230769231,,1.1555384615384616,1.1634,,,,-0.007861538461538364,0.9932426177913544,,
1.203230769230769,,,,,1.1555384615384616,1.1634,,1995-06-30,1.203230769230769,1.1555384615384616,1.1740564102564104,,1.203230769230769,1.1555384615384616,1.1634,,,0.04769230769230748,1.0412727998934894,,
1.1745384615384618,,,,,1.203230769230769,1.1555384615384616,1.1634,1995-09-30,1.1745384615384618,1.203230769230769,1.1741769230769232,,1.1745384615384618,1.203230769230769,1.1555384615384616,1.1634,,-0.02869230769230735,0.9761539445083751,,
1.1166923076923074,1.1634,,,,1.1745384615384618,1.203230769230769,1.1555384615384616,1995-12-31,1.1166923076923074,1.1745384615384618,1.1625,1.1634,1.1166923076923074,1.1745384615384618,1.203230769230769,1.1555384615384616,1.1634,-0.057846153846154325,0.9507498853886956,-0.0008999999999999009,0.9992264053635895
1.142076923076923,1.1555384615384616,1.1634,,,1.1166923076923074,1.1745384615384618,1.203230769230769,1996-03-31,1.142076923076923,1.1166923076923074,1.1591346153846154,1.159469230769231,1.142076923076923,1.1166923076923074,1.1745384615384618,1.203230769230769,1.1555384615384616,0.02538461538461556,1.0227319694151686,-0.0003346153846155442,0.9997114064127484
