0_mths_prior,12_mths_prior,15_mths_prior,18_mths_prior,21_mths_prior,3_mths_prior,6_mths_prior,9_mths_prior,Date,past_qtr_1,past_qtr_2,past_year_1,past_year_2,q0,q1,q2,q3,q4,qoq_diff,qoq_ratio,yoy_diff,yoy_ratio
4.0,8.0,7.0,6.0,5.0,4.0,4.0,3.0,1991-12-31,4.0,4.0,3.75,6.5,4.0,4.0,4.0,3.0,8.0,0.0,1.0,-2.75,0.5769230769230769
5.0,3.0,8.0,7.0,6.0,4.0,4.0,4.0,1992-03-31,5.0,4.0,4.25,6.0,5.0,4.0,4.0,4.0,3.0,1.0,1.25,-1.75,0.7083333333333334
4.0,4.0,3.0,8.0,7.0,5.0,4.0,4.0,1992-06-30,4.0,5.0,4.25,5.5,4.0,5.0,4.0,4.0,4.0,-1.0,0.8,-1.25,0.7727272727272727
3.0,4.0,4.0,3.0,8.0,4.0,5.0,4.0,1992-09-30,3.0,4.0,4.0,4.75,3.0,4.0,5.0,4.0,4.0,-1.0,0.75,-0.75,0.8421052631578947
3.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,1992-12-31,3.0,3.0,3.75,3.75,3.0,3.0,4.0,5.0,4.0,0.0,1.0,0.0,1.0
2.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,1993-03-31,2.0,3.0,3.0,4.25,2.0,3.0,3.0,4.0,5.0,-1.0,0.6666666666666666,-1.25,0.7058823529411765
2.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,1993-06-30,2.0,2.0,2.5,4.25,2.0,2.0,3.0,3.0,4.0,0.0,1.0,-1.75,0.5882352941176471
4.0,3.0,4.0,5.0,4.0,2.0,2.0,3.0,1993-09-30,4.0,2.0,2.75,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,-1.25,0.6875
3.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,1993-12-31,3.0,4.0,2.75,3.75,3.0,4.0,2.0,2.0,3.0,-1.0,0.75,-1.0,0.7333333333333333
3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,1994-03-31,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0
4.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,1994-06-30,4.0,3.0,3.5,2.5,4.0,3.0,3.0,4.0,2.0,1.0,1.3333333333333333,1.0,1.4
5.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,1994-09-30,5.0,4.0,3.75,2.75,5.0,4.0,3.0,3.0,4.0,1.0,1.25,1.0,1.3636363636363635
4.0,3.0,4.0,2.0,2.0,5.0,4.0,3.0,1994-12-31,4.0,5.0,4.0,2.75,4.0,5.0,4.0,3.0,3.0,-1.0,0.8,1.25,1.4545454545454546
3.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,1995-03-31,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,-1.0,0.75,1.0,1.3333333333333333
6.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,1995-06-30,6.0,3.0,4.5,3.5,6.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,1.2857142857142858
3.0,5.0,4.0,3.0,3.0,6.0,3.0,4.0,1995-09-30,3.0,6.0,4.0,3.75,3.0,6.0,3.0,4.0,5.0,-3.0,0.5,0.25,1.0666666666666667
4.0,4.0,5.0,4.0,3.0,3.0,6.0,3.0,1995-12-31,4.0,3.0,4.0,4.0,4.0,3.0,6.0,3.0,4.0,1.0,1.3333333333333333,0.0,1.0
3.0,3.0,4.0,5.0,4.0,4.0,3.0,6.0,1996-03-31,3.0,4.0,4.0,4.0,3.0,4.0,3.0,6.0,3.0,-1.0,0.75,0.0,1.0
6.0,6.0,3.0,4.0,5.0,3.0,4.0,3.0,1996-06-30,6.0,3.0,4.0,4.5,6.0,3.0,4.0,3.0,6.0,3.0,2.0,-0.5,0.8888888888888888
5.0,3.0,6.0,3.0,4.0,6.0,3.0,4.0,1996-09-30,5.0,6.0,4.5,4.0,5.0,6.0,3.0,4.0,3.0,-1.0,0.8333333333333334,0.5,1.125
6.0,4.0,3.0,6.0,3.0,5.0,6.0,3.0,1996-12-31,6.0,5.0,5.0,4.0,6.0,5.0,6.0,3.0,4.0,1.0,1.2,1.0,1.25
6.0,3.0,4.0,3.0,6.0,6.0,5.0,6.0,1997-03-31,6.0,6.0,5.75,4.0,6.0,6.0,5.0,6.0,3.0,0.0,1.0,1.75,1.4375
6.0,6.0,3.0,4.0,3.0,6.0,6.0,5.0,1997-06-30,6.0,6.0,5.75,4.0,6.0,6.0,6.0,5.0,6.0,0.0,1.0,1.75,1.4375
7.0,5.0,6.0,3.0,4.0,6.0,6.0,6.0,1997-09-30,7.0,6.0,6.25,4.5,7.0,6.0,6.0,6.0,5.0,1.0,1.1666666666666667,1.75,1.3888888888888888
7.0,6.0,5.0,6.0,3.0,7.0,6.0,6.0,1997-12-31,7.0,7.0,6.5,5.0,7.0,7.0,6.0,6.0,6.0,0.0,1.0,1.5,1.3
6.0,6.0,6.0,5.0,6.0,7.0,7.0,6.0,1998-03-31,6.0,7.0,6.5,5.75,6.0,7.0,7.0,6.0,6.0,-1.0,0.8571428571428571,0.75,1.1304347826086956
6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,1998-06-30,6.0,6.0,6.5,5.75,6.0,6.0,7.0,7.0,6.0,0.0,1.0,0.75,1.1304347826086956
7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,1998-09-30,7.0,6.0,6.5,6.25,7.0,6.0,6.0,7.0,7.0,1.0,1.1666666666666667,0.25,1.04
