Date,Value
1994-01-31,144.6
1994-02-28,144.8
1994-03-31,145.6
1994-04-30,145.8
1994-05-31,145.8
1994-06-30,145.8
1994-07-31,145.0
1994-08-31,145.1
1994-09-30,145.3
1994-10-31,145.5
1994-11-30,145.5
1994-12-31,145.6
1995-01-31,146.4
1995-02-28,147.7
1995-03-31,147.7
1995-04-30,147.9
1995-05-31,147.9
1995-06-30,148.0
1995-07-31,147.7
1995-08-31,147.8
1995-09-30,148.1
1995-10-31,148.2
1995-11-30,148.3
1995-12-31,148.4
1996-01-31,150.5
1996-02-29,150.7
1996-03-31,150.7
1996-04-30,153.7
1996-05-31,153.3
1996-06-30,153.5
1996-07-31,153.9
1996-08-31,155.1
1996-09-30,155.0
1996-10-31,159.5
1996-11-30,156.3
1996-12-31,156.6
1997-01-31,158.2
1997-02-28,158.2
1997-03-31,158.4
1997-04-30,160.8
1997-05-31,157.5
1997-06-30,157.5
1997-07-31,158.9
1997-08-31,160.4
1997-09-30,160.5
1997-10-31,160.5
1997-11-30,161.0
1997-12-31,161.0
1998-01-31,161.2
1998-02-28,161.4
1998-03-31,161.5
1998-04-30,161.8
1998-05-31,161.8
1998-06-30,161.8
1998-07-31,162.1
1998-08-31,162.1
1998-09-30,162.1
1998-10-31,162.1
1998-11-30,162.2
1998-12-31,162.2
1999-01-31,162.7
1999-02-28,162.7
1999-03-31,162.7
1999-04-30,162.8
1999-05-31,162.9
1999-06-30,162.9
1999-07-31,163.4
1999-08-31,163.5
1999-09-30,163.3
1999-10-31,163.5
1999-11-30,163.5
1999-12-31,163.6
2000-01-31,163.9
2000-02-29,164.0
2000-03-31,164.6
2000-04-30,164.7
2000-05-31,164.7
2000-06-30,165.1
2000-07-31,166.2
2000-08-31,166.3
2000-09-30,166.4
2000-10-31,168.1
2000-11-30,168.2
2000-12-31,168.2
2001-01-31,168.7
2001-02-28,168.8
2001-03-31,168.8
2001-04-30,168.9
2001-05-31,169.3
2001-06-30,169.2
2001-07-31,169.6
2001-08-31,169.8
2001-09-30,169.7
2001-10-31,169.8
2001-11-30,169.7
2001-12-31,171.0
2002-01-31,170.4
2002-02-28,170.4
2002-03-31,170.5
2002-04-30,170.7
2002-05-31,170.9
2002-06-30,170.9
2002-07-31,171.5
2002-08-31,172.6
2002-09-30,172.0
2002-10-31,172.4
2002-11-30,173.7
2002-12-31,173.7
2003-01-31,177.6
2003-02-28,177.8
2003-03-31,177.9
2003-04-30,177.8
2003-05-31,177.9
2003-06-30,178.0
2003-07-31,178.4
2003-08-31,178.6
2003-09-30,179.4
2003-10-31,182.1
2003-11-30,182.2
2003-12-31,181.7
2004-01-31,185.6
2004-02-29,186.4
2004-03-31,186.9
2004-04-30,188.0
2004-05-31,188.7
2004-06-30,189.3
2004-07-31,189.1
2004-08-31,189.9
2004-09-30,190.6
2004-10-31,190.7
2004-11-30,190.8
2004-12-31,191.4
2005-01-31,191.8
2005-02-28,192.1
2005-03-31,192.4
2005-04-30,193.4
2005-05-31,193.8
2005-06-30,194.0
2005-07-31,196.5
2005-08-31,196.7
2005-09-30,197.6
2005-10-31,199.2
2005-11-30,199.5
2005-12-31,199.8
2006-01-31,198.9
2006-02-28,199.5
2006-03-31,200.0
2006-04-30,200.3
2006-05-31,200.5
2006-06-30,200.7
2006-07-31,203.1
2006-08-31,203.6
2006-09-30,203.6
2006-10-31,207.2
2006-11-30,207.5
2006-12-31,207.9
2007-01-31,208.6
2007-02-28,209.0
2007-03-31,209.1
2007-04-30,209.4
2007-05-31,209.5
2007-06-30,210.2
2007-07-31,211.8
2007-08-31,212.8
2007-09-30,212.9
2007-10-31,213.9
2007-11-30,215.0
2007-12-31,215.1
2008-01-31,215.2
2008-02-29,216.2
2008-03-31,216.2
2008-04-30,216.2
2008-05-31,216.5
2008-06-30,216.9
2008-07-31,220.4
2008-08-31,220.7
2008-09-30,221.5
2008-10-31,222.6
2008-11-30,222.6
2008-12-31,225.3
2009-01-31,225.4
2009-02-28,226.1
2009-03-31,226.7
2009-04-30,227.6
2009-05-31,228.4
2009-06-30,228.3
2009-07-31,228.5
2009-08-31,229.2
2009-09-30,229.3
2009-10-31,229.1
2009-11-30,229.7
2009-12-31,230.4
2010-01-31,229.7
2010-02-28,230.1
2010-03-31,229.8
2010-04-30,232.0
2010-05-31,233.4
2010-06-30,233.8
2010-07-31,233.5
2010-08-31,234.2
2010-09-30,233.7
2010-10-31,235.3
2010-11-30,235.9
2010-12-31,236.3
2011-01-31,236.3
2011-02-28,236.2
2011-03-31,236.7
2011-04-30,236.9
2011-05-31,236.6
2011-06-30,238.1
2011-07-31,239.2
2011-08-31,239.5
2011-09-30,240.2
2011-10-31,240.5
2011-11-30,240.0
2011-12-31,240.1
2012-01-31,239.0
2012-02-29,240.1
2012-03-31,240.3
2012-04-30,240.2
2012-05-31,240.3
2012-06-30,240.2
2012-07-31,241.4
2012-08-31,243.2
2012-09-30,242.4
2012-10-31,242.5
2012-11-30,242.5
2012-12-31,242.4
2013-01-31,242.3
2013-02-28,242.7
2013-03-31,242.7
2013-04-30,242.5
2013-05-31,242.4
2013-06-30,242.3
2013-07-31,242.8
2013-08-31,243.8
2013-09-30,246.7
2013-10-31,246.7
2013-11-30,246.8
2013-12-31,247.0
2014-01-31,247.7
