Date,Value
1994-01-31,125.8
1994-02-28,125.1
1994-03-31,126.1
1994-04-30,125.7
1994-05-31,125.2
1994-06-30,124.3
1994-07-31,124.0
1994-08-31,124.6
1994-09-30,124.5
1994-10-31,123.9
1994-11-30,125.6
1994-12-31,126.7
1995-01-31,125.5
1995-02-28,125.9
1995-03-31,126.2
1995-04-30,126.0
1995-05-31,125.2
1995-06-30,124.5
1995-07-31,126.1
1995-08-31,126.4
1995-09-30,127.9
1995-10-31,127.8
1995-11-30,129.9
1995-12-31,129.7
1996-01-31,129.0
1996-02-29,129.2
1996-03-31,130.6
1996-04-30,129.9
1996-05-31,130.8
1996-06-30,133.3
1996-07-31,133.3
1996-08-31,134.5
1996-09-30,135.0
1996-10-31,136.0
1996-11-30,134.7
1996-12-31,134.0
1997-01-31,132.4
1997-02-28,132.2
1997-03-31,133.8
1997-04-30,132.5
1997-05-31,133.5
1997-06-30,131.8
1997-07-31,131.6
1997-08-31,132.6
1997-09-30,132.6
1997-10-31,133.5
1997-11-30,133.4
1997-12-31,133.0
1998-01-31,130.9
1998-02-28,131.9
1998-03-31,131.5
1998-04-30,132.0
1998-05-31,132.0
1998-06-30,131.9
1998-07-31,132.6
1998-08-31,133.3
1998-09-30,133.5
1998-10-31,133.8
1998-11-30,133.3
1998-12-31,132.5
1999-01-31,133.6
1999-02-28,131.6
1999-03-31,132.1
1999-04-30,130.3
1999-05-31,131.6
1999-06-30,132.3
1999-07-31,131.5
1999-08-31,132.8
1999-09-30,134.0
1999-10-31,133.1
1999-11-30,132.2
1999-12-31,131.8
2000-01-31,131.0
2000-02-29,131.9
2000-03-31,131.9
2000-04-30,133.4
2000-05-31,134.3
2000-06-30,133.5
2000-07-31,133.3
2000-08-31,132.8
2000-09-30,133.0
2000-10-31,133.8
2000-11-30,133.8
2000-12-31,133.7
2001-01-31,134.3
2001-02-28,135.6
2001-03-31,136.8
2001-04-30,137.7
2001-05-31,138.3
2001-06-30,138.0
2001-07-31,137.5
2001-08-31,139.0
2001-09-30,139.2
2001-10-31,138.2
2001-11-30,136.3
2001-12-31,136.0
2002-01-31,136.5
2002-02-28,137.7
2002-03-31,138.9
2002-04-30,134.2
2002-05-31,134.5
2002-06-30,135.0
2002-07-31,135.1
2002-08-31,134.8
2002-09-30,134.3
2002-10-31,135.1
2002-11-30,135.1
2002-12-31,135.7
2003-01-31,138.1
2003-02-28,138.6
2003-03-31,139.1
2003-04-30,140.3
2003-05-31,141.2
2003-06-30,142.3
2003-07-31,141.8
2003-08-31,143.8
2003-09-30,145.7
2003-10-31,149.4
2003-11-30,148.5
2003-12-31,148.7
2004-01-31,145.9
2004-02-29,146.3
2004-03-31,149.3
2004-04-30,151.3
2004-05-31,155.1
2004-06-30,153.9
2004-07-31,150.8
2004-08-31,150.3
2004-09-30,150.9
2004-10-31,153.4
2004-11-30,152.9
2004-12-31,153.1
2005-01-31,152.2
2005-02-28,153.6
2005-03-31,154.7
2005-04-30,154.5
2005-05-31,155.2
2005-06-30,153.4
2005-07-31,152.2
2005-08-31,151.6
2005-09-30,153.6
2005-10-31,154.1
2005-11-30,154.6
2005-12-31,156.0
2006-01-31,155.2
2006-02-28,151.6
2006-03-31,152.1
2006-04-30,152.8
2006-05-31,152.0
2006-06-30,154.1
2006-07-31,154.8
2006-08-31,156.7
2006-09-30,157.7
2006-10-31,156.8
2006-11-30,155.8
2006-12-31,158.1
2007-01-31,159.2
2007-02-28,162.8
2007-03-31,165.5
2007-04-30,166.7
2007-05-31,166.3
2007-06-30,166.0
2007-07-31,166.2
2007-08-31,165.9
2007-09-30,168.4
2007-10-31,169.5
2007-11-30,169.7
2007-12-31,173.1
2008-01-31,175.7
2008-02-29,175.2
2008-03-31,178.1
2008-04-30,177.3
2008-05-31,179.2
2008-06-30,182.0
2008-07-31,182.6
2008-08-31,182.9
2008-09-30,183.7
2008-10-31,180.9
2008-11-30,179.3
2008-12-31,176.4
2009-01-31,174.9
2009-02-28,171.9
2009-03-31,170.9
2009-04-30,172.8
2009-05-31,171.6
2009-06-30,173.0
2009-07-31,170.6
2009-08-31,170.8
2009-09-30,171.0
2009-10-31,172.6
2009-11-30,174.0
2009-12-31,177.4
2010-01-31,177.6
2010-02-28,178.6
2010-03-31,183.2
2010-04-30,182.4
2010-05-31,182.7
2010-06-30,177.9
2010-07-31,178.9
2010-08-31,179.2
2010-09-30,181.4
2010-10-31,181.5
2010-11-30,183.5
2010-12-31,185.6
2011-01-31,186.9
2011-02-28,194.0
2011-03-31,193.8
2011-04-30,194.7
2011-05-31,192.4
2011-06-30,194.4
2011-07-31,196.0
2011-08-31,198.5
2011-09-30,199.8
2011-10-31,197.9
2011-11-30,199.8
2011-12-31,198.7
2012-01-31,198.0
2012-02-29,197.3
2012-03-31,198.2
2012-04-30,198.1
2012-05-31,197.6
2012-06-30,198.8
2012-07-31,198.7
2012-08-31,201.1
2012-09-30,202.3
2012-10-31,202.1
2012-11-30,204.5
2012-12-31,203.2
2013-01-31,203.5
2013-02-28,201.8
2013-03-31,203.6
2013-04-30,201.8
2013-05-31,204.2
2013-06-30,204.5
2013-07-31,204.6
2013-08-31,206.2
2013-09-30,205.4
2013-10-31,205.9
2013-11-30,206.0
2013-12-31,205.4
2014-01-31,206.4
2014-02-28,207.3
2014-03-31,210.5
2014-04-30,216.6
2014-05-31,215.7
2014-06-30,217.1
2014-07-31,218.9
2014-08-31,218.7
2014-09-30,218.7
2014-10-31,220.4
2014-11-30,218.9
2014-12-31,217.7
2015-01-31,214.1
2015-02-28,210.5
2015-03-31,209.2
2015-04-30,208.3
2015-05-31,212.4
2015-06-30,215.6
2015-07-31,213.2
2015-08-31,214.8
2015-09-30,212.4
2015-10-31,209.7
2015-11-30,209.3
2015-12-31,205.2
2016-01-31,205.3
2016-02-29,205.8
2016-03-31,203.0
2016-04-30,202.6
2016-05-31,203.5
2016-06-30,204.0
2016-07-31,203.6
2016-08-31,201.5
2016-09-30,203.0
2016-10-31,200.6
2016-11-30,199.3
2016-12-31,200.5
2017-01-31,200.7
2017-02-28,201.9
2017-03-31,204.2
2017-04-30,208.1
2017-05-31,207.1
2017-06-30,209.4
2017-07-31,207.8
2017-08-31,207.3
2017-09-30,206.1
2017-10-31,207.2
2017-11-30,208.1
2017-12-31,206.2
