Date,Value
2001-01-02,1472.0
2001-01-03,2836.0
2001-01-04,1142.0
2001-01-05,729.0
2001-01-08,403.0
2001-01-09,1130.0
2001-01-10,652.0
2001-01-11,768.0
2001-01-12,395.0
2001-01-16,341.0
2001-01-17,896.0
2001-01-18,718.0
2001-01-19,508.0
2001-01-22,1263.0
2001-01-23,1189.0
2001-01-24,662.0
2001-01-25,403.0
2001-01-26,1183.0
2001-01-29,931.0
2001-01-30,767.0
2001-01-31,1617.0
2001-02-01,1535.0
2001-02-02,856.0
2001-02-05,1009.0
2001-02-06,1112.0
2001-02-07,708.0
2001-02-08,1235.0
2001-02-09,421.0
2001-02-12,699.0
2001-02-13,135.0
2001-02-14,714.0
2001-02-15,723.0
2001-02-16,1196.0
2001-02-20,729.0
2001-02-21,727.0
2001-02-22,1096.0
2001-02-23,1229.0
2001-02-26,775.0
2001-02-27,259.0
2001-02-28,866.0
2001-03-01,382.0
2001-03-02,1029.0
2001-03-05,1165.0
2001-03-06,744.0
2001-03-07,742.0
2001-03-08,1091.0
2001-03-09,518.0
2001-03-12,733.0
2001-03-13,722.0
2001-03-14,523.0
2001-03-15,858.0
2001-03-16,1309.0
2001-03-19,579.0
2001-03-20,1060.0
2001-03-21,821.0
2001-03-22,1565.0
2001-03-23,690.0
2001-03-26,148.0
2001-03-27,367.0
2001-03-28,587.0
2001-03-29,904.0
2001-03-30,50.0
2001-04-02,220.0
2001-04-03,705.0
2001-04-04,380.0
2001-04-05,101.0
2001-04-06,669.0
2001-04-09,936.0
2001-04-10,1290.0
2001-04-11,1467.0
2001-04-12,2857.0
2001-04-16,492.0
2001-04-17,1448.0
2001-04-18,1062.0
2001-04-19,1521.0
2001-04-20,1598.0
2001-04-23,855.0
2001-04-24,891.0
2001-04-25,1134.0
2001-04-26,143.0
2001-04-27,530.0
2001-04-30,422.0
2001-05-01,692.0
2001-05-02,1065.0
2001-05-03,1153.0
2001-05-04,1283.0
2001-05-07,1263.0
2001-05-08,1939.0
2001-05-09,1168.0
2001-05-10,1945.0
2001-05-11,1744.0
2001-05-14,1276.0
2001-05-15,1704.0
2001-05-16,871.0
2001-05-17,861.0
2001-05-18,541.0
2001-05-21,242.0
2001-05-22,402.0
2001-05-23,159.0
2001-05-24,250.0
2001-05-25,196.0
2001-05-29,99.0
2001-05-30,194.0
2001-05-31,369.0
2001-06-01,433.0
2001-06-04,196.0
2001-06-05,1722.0
2001-06-06,877.0
2001-06-07,1045.0
2001-06-08,369.0
2001-06-11,345.0
2001-06-12,1063.0
2001-06-13,341.0
2001-06-14,608.0
2001-06-15,1040.0
2001-06-18,327.0
2001-06-19,564.0
2001-06-20,1669.0
2001-06-21,1177.0
2001-06-22,333.0
2001-06-25,987.0
2001-06-26,995.0
2001-06-27,1172.0
2001-06-28,957.0
2001-06-29,1537.0
2001-07-02,453.0
2001-07-03,748.0
2001-07-05,797.0
2001-07-06,1245.0
2001-07-09,1465.0
2001-07-10,1303.0
2001-07-11,1467.0
2001-07-12,589.0
2001-07-13,227.0
2001-07-16,795.0
2001-07-17,2316.0
2001-07-18,535.0
2001-07-19,572.0
2001-07-20,707.0
2001-07-23,837.0
2001-07-24,532.0
2001-07-25,1333.0
2001-07-26,573.0
2001-07-27,1101.0
2001-07-30,425.0
2001-07-31,746.0
2001-08-01,371.0
2001-08-02,856.0
2001-08-03,238.0
2001-08-06,199.0
2001-08-07,575.0
2001-08-08,312.0
2001-08-09,301.0
2001-08-10,482.0
2001-08-13,439.0
2001-08-14,527.0
2001-08-15,1832.0
2001-08-16,931.0
2001-08-17,395.0
2001-08-20,419.0
2001-08-21,545.0
2001-08-22,405.0
2001-08-23,225.0
2001-08-24,628.0
2001-08-27,602.0
2001-08-28,510.0
2001-08-29,81.0
2001-08-30,475.0
2001-08-31,221.0
2001-09-04,145.0
2001-09-05,342.0
2001-09-06,929.0
2001-09-07,294.0
2001-09-10,414.0
2001-09-11,652.0
2001-09-12,0.0
2001-09-13,90.0
2001-09-14,405.0
2001-09-17,398.0
2001-09-18,1297.0
2001-09-19,616.0
2001-09-20,962.0
2001-09-21,690.0
2001-09-24,329.0
2001-09-25,240.0
2001-09-26,109.0
2001-09-27,188.0
2001-09-28,241.0
2001-10-01,356.0
2001-10-02,552.0
2001-10-03,1501.0
2001-10-04,1206.0
2001-10-05,920.0
2001-10-09,774.0
2001-10-10,1077.0
2001-10-11,376.0
2001-10-12,393.0
2001-10-15,779.0
2001-10-16,291.0
2001-10-17,490.0
2001-10-18,622.0
2001-10-19,484.0
2001-10-22,632.0
2001-10-23,1042.0
2001-10-24,119.0
2001-10-25,223.0
2001-10-26,641.0
2001-10-29,641.0
2001-10-30,905.0
2001-10-31,388.0
2001-11-01,531.0
2001-11-02,1473.0
2001-11-05,704.0
2001-11-06,412.0
2001-11-07,1037.0
2001-11-08,1543.0
2001-11-09,252.0
2001-11-13,666.0
2001-11-14,627.0
2001-11-15,1090.0
2001-11-16,901.0
2001-11-19,705.0
2001-11-20,977.0
2001-11-21,132.0
2001-11-23,55.0
2001-11-26,1000.0
2001-11-27,453.0
2001-11-28,1078.0
2001-11-29,1655.0
2001-11-30,827.0
2001-12-03,775.0
2001-12-04,625.0
2001-12-05,428.0
2001-12-06,1550.0
2001-12-07,341.0
2001-12-10,925.0
2001-12-11,1265.0
2001-12-12,427.0
2001-12-13,635.0
2001-12-14,372.0
2001-12-17,842.0
2001-12-18,613.0
2001-12-19,579.0
2001-12-20,659.0
2001-12-21,544.0
2001-12-24,139.0
2001-12-26,216.0
2001-12-27,687.0
2001-12-28,519.0
2001-12-31,140.0
2002-01-02,265.0
2002-01-03,787.0
2002-01-04,278.0
2002-01-07,772.0
2002-01-08,561.0
2002-01-09,359.0
2002-01-10,461.0
2002-01-11,398.0
2002-01-14,488.0
2002-01-15,359.0
2002-01-16,513.0
2002-01-17,247.0
2002-01-18,250.0
2002-01-22,427.0
2002-01-23,510.0
2002-01-24,305.0
2002-01-25,760.0
2002-01-28,625.0
2002-01-29,278.0
2002-01-30,475.0
2002-01-31,157.0
2002-02-01,85.0
2002-02-04,452.0
2002-02-05,556.0
2002-02-06,313.0
2002-02-07,537.0
2002-02-08,597.0
2002-02-11,290.0
2002-02-12,1154.0
2002-02-13,949.0
2002-02-14,373.0
2002-02-15,194.0
2002-02-19,302.0
2002-02-20,559.0
2002-02-21,546.0
2002-02-22,239.0
2002-02-25,1010.0
2002-02-26,328.0
2002-02-27,853.0
2002-02-28,748.0
2002-03-01,382.0
2002-03-04,815.0
