Month,1-19,20-49,1-49,50-499,500+,500-999,1000+
2005-01-31,27441.186287968,17539.2338469,44980.4201348,39296.884555,26885.8771174,8443.63842092,18442.2386965
2005-02-28,27513.877390758,17564.9067095,45078.7841002,39312.1575479,26909.1434382,8453.21023672,18455.9332015
2005-03-31,27578.975684783,17573.1971993,45152.1728841,39333.7264253,26943.4006906,8467.56117633,18475.8395143
2005-04-30,27679.182062103,17626.6104579,45305.79252,39443.2640933,26972.2519414,8480.92894053,18491.3230009
2005-05-31,27742.523727007,17658.796662,45401.320389,39504.2218507,26978.0104169,8475.35347455,18502.6569423
2005-06-30,27821.877401428,17704.7567492,45526.6341506,39615.7760132,26998.7830951,8483.42525886,18515.3578362
2005-07-31,27881.657919896,17734.9582059,45616.6161258,39695.6162441,27030.3721982,8492.50122942,18537.8709688
2005-08-31,27935.515513415,17746.1953848,45681.7108982,39759.9650384,27049.3049954,8490.31837808,18558.9866173
2005-09-30,27930.220161398,17728.2089189,45658.4290803,39768.7271919,27056.3030226,8483.18164454,18573.1213781
2005-10-31,27992.20542153,17749.0878983,45741.2933198,39826.1046448,27072.8678317,8482.01439258,18590.8534392
2005-11-30,28082.473763503,17807.1893782,45889.6631417,39960.6033013,27134.8850072,8496.05219825,18638.832809
2005-12-31,28189.998334782,17857.9704193,46047.9687541,40081.7741815,27128.6628772,8473.58122496,18655.0816523
2006-01-31,28288.706262116,17912.6385583,46201.3448204,40194.0072021,27208.4301415,8514.67576552,18693.754376
2006-02-28,28409.998278993,17984.8667966,46394.8650756,40338.6436799,27254.2510276,8534.76713471,18719.4838929
2006-03-31,28465.497859381,18004.8594975,46470.3573569,40415.208289,27260.6343541,8541.60091362,18719.0334405
2006-04-30,28517.438843197,18035.3921198,46552.830963,40536.5490685,27203.1787654,8544.26348701,18658.9152784
2006-05-31,28580.80505471,18074.2700674,46655.0751221,40712.0349007,27157.1121162,8552.95449832,18604.1576179
2006-06-30,28605.192979152,18093.4156589,46698.608638,40811.3305561,27098.6461169,8534.78881761,18563.8572993
2006-07-31,28604.155681226,18100.5803768,46704.736058,40951.2467232,27078.2468277,8536.12332516,18542.1235025
2006-08-31,28646.203228145,18141.0475672,46787.2507954,41076.8043173,27090.7052238,8527.4212762,18563.2839476
2006-09-30,28647.615756781,18144.1191727,46791.7349295,41149.9313183,27042.8407841,8512.05283439,18530.7879497
2006-10-31,28671.673783988,18148.6813404,46820.3551244,41234.5715229,27025.5728045,8501.35260626,18524.2201982
2006-11-30,28657.843166135,18125.6926529,46783.5358191,41326.7562187,27032.3829554,8497.724484,18534.6584714
2006-12-31,28767.941869414,18190.9882947,46958.9301641,41461.972123,26830.8206027,8487.94596354,18342.8746391
2007-01-31,28811.664696269,18209.191504,47020.8562003,41569.461465,26894.6200929,8485.38821169,18409.2318813
2007-02-28,28832.229456296,18225.320905,47057.5503613,41667.6310451,26845.9292085,8460.09647098,18385.8327375
2007-03-31,28832.649278941,18238.7378538,47071.3871328,41752.3719338,26811.9409334,8457.82033876,18354.1205947
2007-04-30,28878.126305633,18262.8281691,47140.9544747,41824.8551313,26810.4858736,8457.99625892,18352.4896147
2007-05-31,28886.10581879,18259.8069376,47145.9127564,41845.0482951,26825.124072,8450.96787116,18374.1562008
2007-06-30,28886.758018373,18265.3850943,47152.1431127,41867.3681884,26819.9031404,8437.16532994,18382.7378104
2007-07-31,28927.765063533,18266.9160495,47194.6811131,41903.7652013,26817.5447189,8430.79708117,18386.7476378
2007-08-31,28964.793945003,18268.1449457,47232.9388907,41917.4677603,26773.3910742,8420.88335439,18352.5077198
2007-09-30,28966.763511143,18272.4963534,47239.2598646,41922.1673192,26734.1234024,8415.79848334,18318.3249191
2007-10-31,28981.530665005,18264.5679352,47246.0986002,41935.8655737,26693.0179317,8398.51359731,18294.5043344
2007-11-30,28986.507579629,18269.8914683,47256.3990479,42002.6378274,26677.8528828,8397.78620946,18280.0666733
2007-12-31,29046.821785068,18287.6196438,47334.4414289,41984.7814286,26595.936367,8358.46527361,18237.4710934
2008-01-31,29071.408240433,18307.7288862,47379.1371266,42041.3565496,26594.1941917,8340.17412762,18254.020064
