Date,Value
1987-07-31,25224.2
1987-08-31,26427.5
1987-09-30,27729.2
1987-10-31,28558.5
1987-11-30,29439.3
1987-12-31,30408.4
1988-01-31,31641.2
1988-02-29,32374.2
1988-03-31,32828.1
1988-04-30,33673.8
1988-05-31,34537.0
1988-06-30,35391.6
1988-07-31,36226.8
1988-08-31,37307.8
1988-09-30,38594.2
1988-10-31,39551.0
1988-11-30,40458.8
1988-12-31,41159.3
1989-01-31,42098.3
1989-02-28,43124.9
1989-03-31,43819.6
1989-04-30,44553.8
1989-05-31,45543.1
1989-06-30,46510.0
1989-07-31,47493.5
1989-08-31,48571.5
1989-09-30,49520.6
1989-10-31,50012.3
1989-11-30,50788.4
1989-12-31,51555.0
1990-01-31,52493.0
1990-02-28,53061.3
1990-03-31,53595.4
1990-04-30,54455.6
1990-05-31,55533.8
1990-06-30,56589.6
1990-07-31,57846.3
1990-08-31,59261.3
1990-09-30,60344.1
1990-10-31,62206.7
1990-11-30,63061.6
1990-12-31,63602.5
1991-01-31,64125.8
1991-02-28,65059.0
1991-03-31,65724.8
1991-04-30,66365.6
1991-05-31,66995.7
1991-06-30,67822.1
1991-07-31,68333.5
1991-08-31,69077.6
1991-09-30,70084.3
1991-10-31,71170.0
1991-11-30,71670.1
1991-12-31,72150.7
1992-01-31,72243.3
1992-02-29,72067.7
1992-03-31,71852.3
1992-04-30,72500.4
1992-05-31,73064.9
1992-06-30,73338.6
1992-07-31,73874.3
1992-08-31,74224.5
1992-09-30,74537.0
1992-10-31,75465.2
1992-11-30,75328.5
1992-12-31,75238.9
1993-01-31,75132.8
1993-02-28,75070.3
1993-03-31,75356.0
1993-04-30,75869.8
1993-05-31,76230.6
1993-06-30,76229.7
1993-07-31,75383.5
1993-08-31,74835.7
1993-09-30,76432.3
1993-10-31,75493.6
1993-11-30,74824.9
1993-12-31,74194.5
1994-01-31,73807.2
1994-02-28,73587.2
1994-03-31,73223.6
1994-04-30,73431.5
1994-05-31,73937.8
1994-06-30,74314.4
1994-07-31,74547.9
1994-08-31,74901.3
1994-09-30,75479.2
1994-10-31,75979.6
1994-11-30,76248.4
1994-12-31,76285.4
1995-01-31,76487.0
1995-02-28,76307.5
1995-03-31,75748.2
1995-04-30,76357.9
1995-05-31,77318.9
1995-06-30,77825.5
1995-07-31,78459.2
1995-08-31,78971.6
1995-09-30,79820.0
1995-10-31,79854.0
1995-11-30,80091.7
1995-12-31,80141.2
1996-01-31,80454.5
1996-02-29,80329.3
1996-03-31,80042.3
1996-04-30,80376.0
1996-05-31,80536.6
1996-06-30,80655.4
1996-07-31,80802.5
1996-08-31,81840.1
1996-09-30,82950.9
1996-10-31,84052.0
1996-11-30,85016.1
1996-12-31,86182.1
1997-01-31,86590.2
1997-02-28,86920.8
1997-03-31,87694.0
1997-04-30,89511.7
1997-05-31,91157.1
1997-06-30,93013.7
1997-07-31,94353.3
1997-08-31,95769.9
1997-09-30,97578.4
1997-10-31,97955.5
1997-11-30,98688.8
1997-12-31,99189.2
1998-01-31,99282.6
1998-02-28,98997.8
1998-03-31,98114.9
1998-04-30,98542.7
1998-05-31,98357.1
1998-06-30,98564.8
1998-07-31,98711.8
1998-08-31,99043.7
1998-09-30,99121.5
1998-10-31,98594.6
1998-11-30,98124.5
1998-12-31,97550.5
1999-01-31,97031.1
1999-02-28,96212.9
1999-03-31,95916.5
1999-04-30,97142.2
1999-05-31,98321.3
1999-06-30,97538.1
1999-07-31,95408.0
1999-08-31,98781.0
1999-09-30,99273.8
1999-10-31,99662.1
1999-11-30,100299.8
1999-12-31,101675.5
2000-01-31,104695.6
2000-02-29,105820.7
2000-03-31,107584.2
2000-04-30,111169.9
2000-05-31,113364.2
2000-06-30,114397.2
2000-07-31,118506.1
2000-08-31,120681.2
2000-09-30,122639.3
2000-10-31,124275.7
2000-11-30,126616.0
2000-12-31,128595.6
2001-01-31,128067.5
2001-02-28,129573.3
2001-03-31,130998.3
2001-04-30,132796.1
2001-05-31,135049.1
2001-06-30,135932.1
2001-07-31,138003.2
2001-08-31,140904.1
2001-09-30,144680.5
2001-10-31,148343.0
2001-11-30,151342.1
2001-12-31,154528.6
2002-01-31,156680.4
2002-02-28,160371.9
2002-03-31,164581.8
2002-04-30,171342.5
2002-05-31,177480.8
2002-06-30,183569.5
2002-07-31,190207.6
2002-08-31,195157.4
2002-09-30,199696.0
2002-10-31,205400.9
2002-11-30,208773.0
2002-12-31,213188.9
2003-01-31,216924.2
2003-02-28,222249.2
2003-03-31,227011.1
2003-04-30,232578.1
2003-05-31,237194.2
2003-06-30,243255.6
2003-07-31,248110.2
2003-08-31,253113.1
2003-09-30,259216.5
2003-10-31,265663.6
2003-11-30,272571.8
2003-12-31,279372.3
2004-01-31,288776.8
2004-02-29,296672.6
2004-03-31,304693.6
2004-04-30,315649.2
2004-05-31,326873.1
2004-06-30,336404.1
2004-07-31,345791.7
2004-08-31,357499.6
2004-09-30,369650.1
2004-10-31,382569.3
2004-11-30,391337.4
2004-12-31,396182.1
2005-01-31,402715.0
2005-02-28,407621.9
2005-03-31,413095.0
2005-04-30,419115.0
2005-05-31,426240.0
2005-06-30,431556.2
2005-07-31,437518.2
2005-08-31,441472.0
2005-09-30,443531.6
2005-10-31,443429.9
2005-11-30,443992.1
2005-12-31,444539.8
2006-01-31,444294.9
2006-02-28,446092.1
2006-03-31,445742.7
2006-04-30,445565.9
2006-05-31,447653.0
2006-06-30,450065.8
2006-07-31,451828.2
2006-08-31,448762.4
2006-09-30,451354.0
2006-10-31,466899.9
2006-11-30,467284.8
2006-12-31,469721.0
2007-01-31,471497.0
2007-02-28,470988.0
2007-03-31,458984.8
2007-04-30,456770.9
2007-05-31,459908.3
2007-06-30,461660.2
2007-07-31,463999.6
2007-08-31,468063.5
2007-09-30,472406.3
2007-10-31,477838.6
2007-11-30,482287.4
2007-12-31,486193.1
2008-01-31,489589.4
2008-02-29,492911.0
2008-03-31,495234.3
2008-04-30,500842.0
2008-05-31,507278.1
2008-06-30,513421.8
2008-07-31,520648.5
2008-08-31,525434.0
2008-09-30,539481.3
2008-10-31,579132.8
2008-11-30,583698.7
2008-12-31,589604.9
2009-01-31,594378.3
2009-02-28,596129.8
2009-03-31,597551.4
2009-04-30,601939.9
2009-05-31,610642.6
2009-06-30,608837.8
2009-07-31,607181.4
2009-08-31,605277.5
2009-09-30,603945.3
2009-10-31,603239.6
2009-11-30,606176.4
2009-12-31,604160.4
2010-01-31,601358.1
2010-02-28,599265.4
2010-03-31,598068.0
2010-04-30,600954.5
2010-05-31,598898.6
2010-06-30,596665.9
2010-07-31,595984.8
2010-08-31,594363.9
2010-09-30,592328.3
2010-10-31,589639.4
2010-11-30,586192.0
2010-12-31,582784.6
2011-01-31,578719.4
2011-02-28,574736.0
2011-03-31,570767.9
2011-04-30,568060.8
2011-05-31,565796.0
2011-06-30,563149.1
2011-07-31,559917.0
2011-08-31,557896.4
2011-09-30,556985.8
2011-10-31,553891.2
2011-11-30,551783.9
2011-12-31,550201.2
2012-01-31,550830.5
2012-02-29,551115.9
2012-03-31,546060.2
2012-04-30,544278.0
2012-05-31,541680.1
2012-06-30,538770.4
2012-07-31,534087.5
2012-08-31,531219.5
2012-09-30,527839.4
2012-10-31,522892.6
2012-11-30,519454.9
2012-12-31,515912.2
2013-01-31,511811.0
2013-02-28,508865.5
2013-03-31,503931.6
2013-04-30,498525.4
2013-05-31,493576.5
2013-06-30,490506.6
2013-07-31,486623.6
2013-08-31,485444.5
2013-09-30,483344.5
2013-10-31,480341.0
2013-11-30,475847.7
2013-12-31,473212.3
2014-01-31,470452.5
2014-02-28,468459.1
2014-03-31,467299.2
2014-04-30,466610.0
2014-05-31,465365.8
2014-06-30,464627.3
2014-07-31,462416.2
2014-08-31,461147.5
2014-09-30,460391.1
2014-10-31,460059.5
2014-11-30,458568.6
2014-12-31,457360.5
2015-01-31,455237.4
2015-02-28,453890.3
2015-03-31,451638.5
2015-04-30,450012.5
2015-05-31,448157.4
2015-06-30,445560.3
2015-07-31,442833.1
2015-08-31,440681.8
2015-09-30,439293.8
2015-10-31,437656.8
2015-11-30,436803.1
2015-12-31,435851.0
2016-01-31,433138.1
2016-02-29,431390.8
2016-03-31,428401.6
2016-04-30,426133.9
2016-05-31,424397.4
2016-06-30,422558.2
2016-07-31,420101.2
2016-08-31,417859.2
2016-09-30,415510.4
2016-10-31,412837.4
2016-11-30,409897.3
2016-12-31,406334.0
2017-01-31,403472.3
2017-02-28,400299.1
2017-03-31,397006.6
2017-04-30,395304.6
2017-05-31,393310.0
2017-06-30,390984.1
2017-07-31,389078.1
2017-08-31,386469.7
2017-09-30,384798.0
2017-10-31,382745.8
