Date,Value
1987-07-31,25172.2
1987-08-31,26248.3
1987-09-30,27338.5
1987-10-31,28124.7
1987-11-30,28940.3
1987-12-31,29834.6
1988-01-31,31000.1
1988-02-29,31729.9
1988-03-31,32397.6
1988-04-30,33294.8
1988-05-31,34195.5
1988-06-30,35041.2
1988-07-31,35932.5
1988-08-31,36673.4
1988-09-30,37500.6
1988-10-31,38249.9
1988-11-30,39093.1
1988-12-31,39798.0
1989-01-31,40450.5
1989-02-28,41323.9
1989-03-31,42263.8
1989-04-30,43170.9
1989-05-31,44131.3
1989-06-30,45103.6
1989-07-31,45994.5
1989-08-31,46819.8
1989-09-30,47578.6
1989-10-31,48274.3
1989-11-30,49085.8
1989-12-31,49949.1
1990-01-31,50855.9
1990-02-28,51622.7
1990-03-31,52442.8
1990-04-30,53225.8
1990-05-31,54170.2
1990-06-30,55142.0
1990-07-31,56247.9
1990-08-31,57333.1
1990-09-30,58117.1
1990-10-31,59625.2
1990-11-30,60643.5
1990-12-31,61357.2
1991-01-31,61866.0
1991-02-28,63018.2
1991-03-31,63893.5
1991-04-30,64556.6
1991-05-31,65221.5
1991-06-30,65955.5
1991-07-31,66303.8
1991-08-31,66801.0
1991-09-30,67551.8
1991-10-31,68137.3
1991-11-30,68869.1
1991-12-31,69566.2
1992-01-31,69898.1
1992-02-29,70013.7
1992-03-31,70150.6
1992-04-30,70555.3
1992-05-31,70864.9
1992-06-30,71182.8
1992-07-31,71617.5
1992-08-31,71850.6
1992-09-30,72000.2
1992-10-31,72491.2
1992-11-30,72710.7
1992-12-31,72852.3
1993-01-31,72904.7
1993-02-28,73136.6
1993-03-31,73941.6
1993-04-30,74250.1
1993-05-31,74319.2
1993-06-30,74364.2
1993-07-31,73547.2
1993-08-31,72931.1
1993-09-30,74182.8
1993-10-31,72907.1
1993-11-30,72493.1
1993-12-31,72232.8
1994-01-31,72027.9
1994-02-28,72089.7
1994-03-31,72174.5
1994-04-30,72165.7
1994-05-31,72354.6
1994-06-30,72706.2
1994-07-31,72938.4
1994-08-31,73169.2
1994-09-30,73427.1
1994-10-31,73723.4
1994-11-30,74094.2
1994-12-31,74426.6
1995-01-31,74743.2
1995-02-28,74935.4
1995-03-31,74887.2
1995-04-30,75322.6
1995-05-31,75949.8
1995-06-30,76449.6
1995-07-31,77011.5
1995-08-31,77348.2
1995-09-30,77765.2
1995-10-31,77742.1
1995-11-30,78061.0
1995-12-31,78362.8
1996-01-31,78784.9
1996-02-29,79145.7
1996-03-31,79477.4
1996-04-30,79584.8
1996-05-31,79485.3
1996-06-30,79474.4
1996-07-31,79509.1
1996-08-31,80209.9
1996-09-30,80875.5
1996-10-31,81989.9
1996-11-30,82959.6
1996-12-31,84401.0
1997-01-31,84925.1
1997-02-28,85812.2
1997-03-31,87213.4
1997-04-30,88726.8
1997-05-31,90237.4
1997-06-30,91960.4
1997-07-31,93220.7
1997-08-31,94158.5
1997-09-30,95507.8
1997-10-31,96110.6
1997-11-30,96926.0
1997-12-31,97662.9
1998-01-31,98076.0
1998-02-28,98461.9
1998-03-31,98135.6
1998-04-30,97931.0
1998-05-31,97477.8
1998-06-30,97416.0
1998-07-31,97294.7
1998-08-31,97087.7
1998-09-30,96963.3
1998-10-31,96618.0
1998-11-30,96546.5
1998-12-31,96300.9
1999-01-31,96224.9
1999-02-28,96016.6
1999-03-31,96005.9
1999-04-30,96655.3
1999-05-31,97734.7
1999-06-30,97007.9
1999-07-31,94698.1
1999-08-31,97591.7
1999-09-30,97883.5
1999-10-31,98377.9
1999-11-30,98997.0
1999-12-31,100466.8
2000-01-31,104244.3
2000-02-29,105841.5
2000-03-31,107661.9
2000-04-30,110738.6
2000-05-31,112695.0
2000-06-30,113976.8
2000-07-31,117763.3
2000-08-31,119430.2
2000-09-30,121263.9
2000-10-31,123002.2
2000-11-30,125136.6
2000-12-31,127292.9
2001-01-31,127946.6
2001-02-28,129671.9
2001-03-31,131027.3
2001-04-30,132573.4
2001-05-31,134433.2
2001-06-30,135668.6
2001-07-31,137349.1
2001-08-31,139854.3
2001-09-30,143340.5
2001-10-31,147069.9
2001-11-30,149762.8
2001-12-31,153133.5
2002-01-31,156670.1
2002-02-28,160406.6
2002-03-31,164548.1
2002-04-30,171252.7
2002-05-31,176920.7
2002-06-30,183230.3
