Date,Value
2009-07-31,231.4
2009-08-31,202.0
2009-09-30,175.3
2009-10-31,169.8
2009-11-30,200.0
2009-12-31,235.4
2010-01-31,306.0
2010-02-28,249.5
2010-03-31,239.2
2010-04-30,247.9
2010-05-31,240.7
2010-06-30,233.1
2010-07-31,275.1
2010-08-31,260.5
2010-09-30,234.5
2010-10-31,250.7
2010-11-30,243.9
2010-12-31,235.1
2011-01-31,286.5
2011-02-28,234.5
2011-03-31,253.8
2011-04-30,214.7
2011-05-31,249.5
2011-06-30,229.8
2011-07-31,252.6
2011-08-31,244.6
2011-09-30,209.2
2011-10-31,211.5
2011-11-30,228.0
2011-12-31,223.1
2012-01-31,241.7
2012-02-29,215.9
2012-03-31,248.3
2012-04-30,223.7
2012-05-31,274.1
2012-06-30,237.4
2012-07-31,228.1
2012-08-31,217.0
2012-09-30,201.1
2012-10-31,156.4
2012-11-30,192.9
2012-12-31,196.6
2013-01-31,224.1
2013-02-28,195.9
2013-03-31,235.5
2013-04-30,224.9
2013-05-31,284.7
2013-06-30,224.5
2013-07-31,230.4
2013-08-31,253.2
2013-09-30,278.7
2013-10-31,239.6
2013-11-30,304.4
2013-12-31,327.4
2014-01-31,315.2
2014-02-28,297.2
2014-03-31,322.3
2014-04-30,309.4
2014-05-31,349.0
2014-06-30,286.2
2014-07-31,292.1
2014-08-31,275.7
2014-09-30,261.3
2014-10-31,280.5
2014-11-30,350.7
2014-12-31,406.9
2015-01-31,399.4
2015-02-28,391.9
2015-03-31,399.3
2015-04-30,396.8
2015-05-31,417.1
2015-06-30,350.6
2015-07-31,339.4
2015-08-31,306.9
2015-09-30,305.7
2015-10-31,299.1
2015-11-30,364.9
2015-12-31,450.4
2016-01-31,392.2
2016-02-29,335.0
2016-03-31,358.3
2016-04-30,364.3
2016-05-31,385.7
2016-06-30,405.8
2016-07-31,434.0
2016-08-31,478.4
2016-09-30,437.2
2016-10-31,440.5
2016-11-30,379.8
2016-12-31,330.2
2017-01-31,337.2
2017-02-28,321.6
2017-03-31,343.1
2017-04-30,384.1
2017-05-31,421.0
2017-06-30,448.8
2017-07-31,486.9
2017-08-31,385.2
2017-09-30,374.7
2017-10-31,363.5
