Date,Value
2009-07-01,200.0
2009-07-08,198.0
2009-07-15,196.0
2009-07-22,218.0
2009-07-29,227.0
2009-08-05,205.0
2009-08-12,203.0
2009-08-19,203.0
2009-08-26,203.0
2009-09-02,192.0
2009-09-09,192.0
2009-09-16,192.0
2009-09-23,190.0
2009-09-30,193.0
2009-10-07,187.0
2009-10-14,183.0
2009-10-21,184.0
2009-10-28,184.0
2009-11-04,186.0
2009-11-11,191.0
2009-11-18,192.0
2009-11-25,260.0
2009-12-02,261.0
2009-12-09,257.0
2009-12-16,251.0
2009-12-23,251.0
2009-12-30,253.0
2010-01-06,257.0
2010-01-13,259.0
2010-01-20,257.0
2010-01-27,254.0
2010-02-03,247.0
2010-02-10,252.0
2010-02-17,254.0
2010-02-24,250.0
2010-03-03,249.0
2010-03-10,206.0
2010-03-17,208.0
2010-03-24,205.0
2010-03-31,252.0
2010-04-07,263.0
2010-04-14,265.0
2010-04-21,264.0
2010-04-28,264.0
2010-05-05,263.0
2010-05-12,263.0
2010-05-19,250.0
2010-05-26,252.0
2010-06-02,253.0
2010-06-09,250.0
2010-06-16,252.0
2010-06-23,250.0
2010-06-30,241.0
2010-07-07,239.0
2010-07-14,239.0
2010-07-21,244.0
2010-07-28,243.0
2010-08-04,248.0
2010-08-11,247.0
2010-08-18,244.0
2010-08-25,246.0
2010-09-01,253.0
2010-09-08,252.0
2010-09-15,251.0
2010-09-22,251.0
2010-09-29,252.0
2010-10-06,252.0
2010-10-13,252.0
2010-10-20,252.0
2010-10-27,251.0
2010-11-03,251.0
2010-11-10,254.0
2010-11-17,253.0
2010-11-24,251.0
2010-12-01,245.0
2010-12-08,245.0
2010-12-15,245.0
2010-12-22,245.0
2010-12-29,245.0
2011-01-05,253.0
2011-01-12,252.0
2011-01-19,254.0
2011-01-26,254.0
2011-02-02,250.0
2011-02-09,252.0
2011-02-16,251.0
2011-02-23,251.0
2011-03-02,252.0
2011-03-09,250.0
2011-03-16,248.0
2011-03-23,252.0
2011-03-30,248.0
2011-04-06,241.0
2011-04-13,241.0
2011-04-20,242.0
2011-04-27,242.0
2011-05-04,243.0
2011-05-11,243.0
2011-05-18,243.0
2011-05-25,244.0
2011-06-01,244.0
2011-06-08,238.0
2011-06-15,241.0
2011-06-22,234.0
2011-06-29,234.0
2011-07-06,224.0
2011-07-13,226.0
2011-07-20,223.0
2011-07-27,224.0
2011-08-03,224.0
2011-08-10,225.0
2011-08-17,226.0
2011-08-24,229.0
2011-08-31,229.0
2011-09-07,223.0
2011-09-14,223.0
2011-09-21,224.0
2011-09-28,224.0
2011-10-05,222.0
2011-10-12,223.0
2011-10-19,218.0
2011-10-26,226.0
2011-11-02,224.0
2011-11-09,225.0
2011-11-16,232.0
2011-11-23,232.0
2011-11-30,230.0
2011-12-07,231.0
2011-12-14,230.0
2011-12-21,231.0
2011-12-28,231.0
2012-01-04,230.0
2012-01-11,226.0
2012-01-18,225.0
2012-01-25,225.0
2012-02-01,225.0
2012-02-08,222.0
2012-02-15,243.0
2012-02-22,243.0
2012-02-29,243.0
2012-03-07,242.0
2012-03-14,242.0
2012-03-21,241.0
2012-03-28,238.0
2012-04-04,237.0
2012-04-11,237.0
2012-04-18,249.0
2012-04-25,249.0
2012-05-02,250.0
2012-05-09,252.0
2012-05-16,237.0
2012-05-23,237.0
2012-05-30,239.0
2012-06-06,238.0
2012-06-13,238.0
2012-06-20,238.0
2012-06-27,238.0
2012-07-04,216.0
2012-07-11,215.0
2012-07-18,212.0
2012-07-25,212.0
2012-08-01,210.0
2012-08-08,204.0
2012-08-15,211.0
2012-08-22,211.0
2012-08-29,207.0
2012-09-05,213.0
2012-09-12,213.0
2012-09-19,214.0
2012-09-26,220.0
2012-10-03,189.0
2012-10-10,188.0
2012-10-17,191.0
2012-10-24,190.0
2012-10-31,191.0
