Date,Value
1945-12-31,0.0
1946-12-31,0.0
1947-12-31,0.0
1948-12-31,0.0
1949-12-31,0.0
1950-12-31,0.0
1951-12-31,0.0
1952-03-31,0.0
1952-06-30,0.0
1952-09-30,0.0
1952-12-31,0.0
1953-03-31,0.0
1953-06-30,0.0
1953-09-30,0.0
1953-12-31,0.0
1954-03-31,0.0
1954-06-30,0.0
1954-09-30,0.0
1954-12-31,0.0
1955-03-31,0.0
1955-06-30,0.0
1955-09-30,0.0
1955-12-31,0.0
1956-03-31,0.0
1956-06-30,0.0
1956-09-30,0.0
1956-12-31,0.0
1957-03-31,0.0
1957-06-30,0.0
1957-09-30,0.0
1957-12-31,0.0
1958-03-31,0.0
1958-06-30,0.0
1958-09-30,0.0
1958-12-31,0.0
1959-03-31,0.0
1959-06-30,0.0
1959-09-30,0.0
1959-12-31,0.0
1960-03-31,0.0
1960-06-30,0.0
1960-09-30,0.0
1960-12-31,0.0
1961-03-31,0.0
1961-06-30,0.0
1961-09-30,0.0
1961-12-31,0.0
1962-03-31,0.0
1962-06-30,0.0
1962-09-30,0.0
1962-12-31,0.0
1963-03-31,0.0
1963-06-30,0.0
1963-09-30,0.0
1963-12-31,0.0
1964-03-31,0.0
1964-06-30,0.0
1964-09-30,0.0
1964-12-31,0.0
1965-03-31,0.0
1965-06-30,0.0
1965-09-30,0.0
1965-12-31,0.0
1966-03-31,0.0
1966-06-30,0.0
1966-09-30,0.0
1966-12-31,0.0
1967-03-31,0.0
1967-06-30,0.0
1967-09-30,0.0
1967-12-31,0.0
1968-03-31,0.0
1968-06-30,10.0
1968-09-30,26.0
1968-12-31,35.0
1969-03-31,50.0
1969-06-30,84.0
1969-09-30,129.0
1969-12-31,213.0
1970-03-31,365.0
1970-06-30,426.0
1970-09-30,489.0
1970-12-31,605.0
1971-03-31,669.0
1971-06-30,772.0
1971-09-30,743.0
1971-12-31,785.0
1972-03-31,886.0
1972-06-30,1114.0
1972-09-30,1082.0
1972-12-31,1210.0
1973-03-31,1306.0
1973-06-30,1312.0
1973-09-30,1659.0
1973-12-31,1880.0
1974-03-31,2022.0
1974-06-30,2013.0
1974-09-30,1757.0
1974-12-31,1708.0
1975-03-31,1462.0
1975-06-30,1219.0
1975-09-30,938.0
1975-12-31,740.0
1976-03-31,701.0
1976-06-30,656.0
1976-09-30,607.0
1976-12-31,553.0
1977-03-31,524.0
1977-06-30,494.0
1977-09-30,463.0
1977-12-31,431.0
1978-03-31,418.0
1978-06-30,406.0
1978-09-30,389.0
1978-12-31,381.0
1979-03-31,363.0
1979-06-30,345.0
1979-09-30,328.0
1979-12-31,310.0
1980-03-31,306.0
1980-06-30,301.0
1980-09-30,296.0
