Date,Consumption of fixed capital,Private,:Domestic business,::Corporate business,:::Financial,:::Nonfinancial,::Noncorporate business,:::Sole proprietorships and partnerships,::::Farm,::::Nonfarm,:::Other private business,::::Rental income of persons,:::::Nonfarm tenant-occupied housing,:::::Farm tenant-occupied housing,:::::Farms owned by nonoperator landlords,:::::Nonfarm nonresidential properties,::::Proprietors' income,:Households and institutions,::Owner-occupied housing,::Nonprofit institutions serving households,Government,:General government,::Federal,::State and local,:Government enterprises,::Federal,::State and local,:Nonfarm business
1947-03-31,27748.0,16291.0,13578.0,9036.0,293.0,8743.0,4543.0,3597.0,1086.0,2511.0,946.0,848.0,,,,,98.0,2713.0,2128.0,585.0,11457.0,11066.0,9648.0,1418.0,391.0,20.0,371.0,12860.0
1947-06-30,28756.0,17304.0,14400.0,9560.0,313.0,9247.0,4840.0,3842.0,1154.0,2688.0,998.0,892.0,,,,,106.0,2904.0,2280.0,624.0,11452.0,11075.0,9600.0,1475.0,377.0,20.0,357.0,13598.0
1947-09-30,29802.0,18242.0,15175.0,10058.0,330.0,9728.0,5117.0,4077.0,1228.0,2849.0,1040.0,927.0,,,,,113.0,3067.0,2410.0,657.0,11560.0,11152.0,9624.0,1528.0,408.0,32.0,376.0,14328.0
1947-12-31,30497.0,19104.0,15902.0,10529.0,344.0,10185.0,5374.0,4301.0,1308.0,2992.0,1073.0,953.0,,,,,120.0,3200.0,2518.0,682.0,11393.0,10972.0,9392.0,1580.0,421.0,28.0,393.0,14986.0
1948-03-31,30786.0,19887.0,16582.0,10973.0,354.0,10619.0,5610.0,4514.0,1394.0,3120.0,1096.0,970.0,,,,,126.0,3304.0,2604.0,700.0,10899.0,10466.0,8824.0,1642.0,433.0,28.0,405.0,15591.0
1948-06-30,31159.0,20574.0,17180.0,11355.0,363.0,10992.0,5824.0,4709.0,1475.0,3233.0,1115.0,983.0,,,,,132.0,3394.0,2680.0,714.0,10585.0,10134.0,8448.0,1686.0,451.0,28.0,423.0,16125.0
1948-09-30,31672.0,21165.0,17696.0,11680.0,373.0,11307.0,6016.0,4885.0,1552.0,3334.0,1131.0,993.0,,,,,138.0,3470.0,2745.0,725.0,10507.0,10027.0,8292.0,1735.0,480.0,32.0,448.0,16592.0
1948-12-31,31953.0,21661.0,18130.0,11944.0,382.0,11562.0,6186.0,5044.0,1623.0,3421.0,1142.0,998.0,,,,,144.0,3531.0,2799.0,732.0,10292.0,9805.0,8048.0,1757.0,487.0,32.0,455.0,16960.0
1949-03-31,32289.0,22060.0,18483.0,12150.0,392.0,11758.0,6334.0,5185.0,1690.0,3495.0,1149.0,1000.0,,,,,149.0,3578.0,2842.0,736.0,10229.0,9743.0,7988.0,1755.0,486.0,32.0,454.0,17243.0
1949-06-30,32304.0,22432.0,18804.0,12336.0,400.0,11936.0,6468.0,5312.0,1751.0,3561.0,1156.0,1002.0,,,,,154.0,3629.0,2888.0,741.0,9872.0,9386.0,7664.0,1722.0,486.0,32.0,454.0,17502.0
1949-09-30,32320.0,22777.0,19094.0,12505.0,408.0,12097.0,6588.0,5426.0,1805.0,3620.0,1162.0,1005.0,,,,,157.0,3683.0,2937.0,746.0,9543.0,9057.0,7348.0,1709.0,486.0,32.0,454.0,17736.0
1949-12-31,32432.0,23093.0,19352.0,12657.0,416.0,12241.0,6695.0,5526.0,1854.0,3672.0,1169.0,1009.0,,,,,160.0,3742.0,2989.0,753.0,9339.0,8854.0,7152.0,1702.0,485.0,32.0,453.0,17943.0
1950-03-31,32464.0,23384.0,19580.0,12790.0,422.0,12368.0,6789.0,5613.0,1897.0,3716.0,1176.0,1014.0,,,,,162.0,3805.0,3045.0,760.0,9080.0,8595.0,6960.0,1635.0,485.0,32.0,453.0,18127.0
1950-06-30,32798.0,23880.0,19982.0,13042.0,432.0,12610.0,6939.0,5748.0,1951.0,3797.0,1191.0,1026.0,,,,,166.0,3898.0,3121.0,777.0,8918.0,8425.0,6784.0,1641.0,493.0,36.0,457.0,18482.0
1950-09-30,33594.0,24579.0,20559.0,13414.0,445.0,12969.0,7145.0,5930.0,2017.0,3913.0,1215.0,1044.0,,,,,171.0,4020.0,3217.0,803.0,9015.0,8491.0,6776.0,1715.0,524.0,44.0,480.0,19023.0
1950-12-31,34867.0,25484.0,21311.0,13905.0,461.0,13444.0,7406.0,6160.0,2094.0,4066.0,1246.0,1068.0,,,,,178.0,4174.0,3334.0,840.0,9383.0,8839.0,7004.0,1835.0,544.0,44.0,500.0,19717.0
1951-03-31,36277.0,26594.0,22239.0,14515.0,479.0,14036.0,7724.0,6438.0,2183.0,4255.0,1286.0,1100.0,,,,,186.0,4356.0,3471.0,885.0,9683.0,9117.0,7140.0,1977.0,566.0,44.0,522.0,20577.0
1951-06-30,37362.0,27500.0,22985.0,15007.0,495.0,14512.0,7978.0,6660.0,2258.0,4402.0,1318.0,1125.0,,,,,193.0,4515.0,3593.0,922.0,9862.0,9280.0,7220.0,2060.0,582.0,44.0,538.0,21262.0
1951-09-30,38308.0,28198.0,23551.0,15382.0,508.0,14874.0,8169.0,6827.0,2321.0,4506.0,1342.0,1144.0,,,,,198.0,4647.0,3698.0,949.0,10110.0,9511.0,7392.0,2119.0,599.0,48.0,551.0,21780.0
1951-12-31,39081.0,28689.0,23937.0,15640.0,518.0,15122.0,8297.0,6939.0,2371.0,4568.0,1358.0,1156.0,,,,,202.0,4753.0,3786.0,967.0,10392.0,9786.0,7628.0,2158.0,606.0,48.0,558.0,22122.0
1952-03-31,39554.0,28977.0,24142.0,15780.0,525.0,15255.0,8362.0,6996.0,2408.0,4588.0,1366.0,1163.0,,,,,204.0,4835.0,3859.0,976.0,10577.0,9962.0,7824.0,2138.0,615.0,52.0,563.0,22297.0
1952-06-30,40210.0,29318.0,24401.0,15970.0,532.0,15438.0,8431.0,7056.0,2441.0,4616.0,1375.0,1169.0,,,,,206.0,4916.0,3929.0,987.0,10892.0,10262.0,8060.0,2202.0,630.0,60.0,570.0,22537.0
1952-09-30,41002.0,29712.0,24715.0,16212.0,540.0,15672.0,8503.0,7120.0,2469.0,4651.0,1383.0,1175.0,,,,,208.0,4997.0,3998.0,999.0,11290.0,10636.0,8356.0,2280.0,654.0,64.0,590.0,22845.0
