Date,Index Value,Standard Error
1989-10-31,80.58,3.36
1990-04-30,60.61,4.25
1990-10-31,59.4,4.26
1991-04-30,64.57,4.24
1991-10-31,51.61,4.01
1992-04-30,51.46,3.82
1992-10-31,55.08,4.58
1993-04-30,57.14,4.41
1993-10-31,55.0,4.54
1994-04-30,57.98,4.52
1994-10-31,65.52,5.1
1995-04-30,64.71,5.18
1995-10-31,70.65,4.75
1996-04-30,60.49,5.43
1996-10-31,58.62,5.28
1997-04-30,49.55,4.75
1997-10-31,35.62,5.6
1998-04-30,45.97,4.48
1998-10-31,50.96,4.9
1999-04-30,33.04,4.39
1999-10-31,28.79,5.57
2000-04-30,31.03,6.07
2000-10-31,53.57,9.42
2001-04-30,58.93,6.57
2001-07-31,58.62,5.28
2001-08-31,58.89,5.19
2001-09-30,58.51,5.08
2001-10-31,60.0,5.16
2001-11-30,54.72,4.83
2001-12-31,50.82,4.53
2002-01-31,46.43,4.71
2002-02-28,48.41,4.45
2002-03-31,50.37,4.3
2002-04-30,44.7,4.33
2002-05-31,49.21,4.45
2002-06-30,55.86,4.71
2002-07-31,57.73,5.02
2002-08-31,57.58,4.97
2002-09-30,57.41,4.76
2002-10-31,60.75,4.72
2002-11-30,65.05,4.7
2002-12-31,63.64,4.59
2003-01-31,66.09,4.41
2003-02-28,69.09,4.41
2003-03-31,71.74,3.83
2003-04-30,72.93,3.85
2003-05-31,75.94,3.71
2003-06-30,74.6,3.88
2003-07-31,76.64,3.61
2003-08-31,76.0,3.49
2003-09-30,76.8,3.78
2003-10-31,79.85,3.47
2003-11-30,78.99,3.73
2003-12-31,78.69,3.71
2004-01-31,76.03,3.88
2004-02-29,74.77,4.2
2004-03-31,74.11,4.14
2004-04-30,70.8,4.28
2004-05-31,67.19,4.15
2004-06-30,70.23,4.0
2004-07-31,68.18,4.05
2004-08-31,66.67,4.2
2004-09-30,66.35,4.63
2004-10-31,66.0,4.74
2004-11-30,69.09,4.41
2004-12-31,70.69,4.23
2005-01-31,74.26,4.35
2005-02-28,75.45,4.1
2005-03-31,74.8,3.85
2005-04-30,75.54,3.65
2005-05-31,75.81,3.85
