Date,Value
1992-01-01,3316.0
1992-02-01,3394.0
1992-03-01,3304.0
1992-04-01,3326.0
1992-05-01,3564.0
1992-06-01,3580.0
1992-07-01,3553.0
1992-08-01,3495.0
1992-09-01,3520.0
1992-10-01,3364.0
1992-11-01,3365.0
1992-12-01,3340.0
1993-01-01,3583.0
1993-02-01,3647.0
1993-03-01,3494.0
1993-04-01,3509.0
1993-05-01,3539.0
1993-06-01,3535.0
1993-07-01,3553.0
1993-08-01,3562.0
1993-09-01,3515.0
1993-10-01,3533.0
1993-11-01,3475.0
1993-12-01,3462.0
1994-01-01,3654.0
1994-02-01,3766.0
1994-03-01,3786.0
1994-04-01,3855.0
1994-05-01,3891.0
1994-06-01,3836.0
1994-07-01,3875.0
1994-08-01,3888.0
1994-09-01,3840.0
1994-10-01,3894.0
1994-11-01,3870.0
1994-12-01,3740.0
1995-01-01,3970.0
1995-02-01,4022.0
1995-03-01,4056.0
1995-04-01,4128.0
1995-05-01,4159.0
1995-06-01,4096.0
1995-07-01,4115.0
1995-08-01,4093.0
1995-09-01,4034.0
1995-10-01,4038.0
1995-11-01,4031.0
1995-12-01,3914.0
1996-01-01,4109.0
1996-02-01,4144.0
1996-03-01,4090.0
1996-04-01,4116.0
1996-05-01,4120.0
1996-06-01,4049.0
1996-07-01,4064.0
1996-08-01,4074.0
1996-09-01,4005.0
1996-10-01,4008.0
1996-11-01,3970.0
1996-12-01,3898.0
1997-01-01,4079.0
1997-02-01,4182.0
1997-03-01,4224.0
1997-04-01,4339.0
1997-05-01,4421.0
1997-06-01,4427.0
1997-07-01,4447.0
1997-08-01,4467.0
1997-09-01,4454.0
1997-10-01,4428.0
1997-11-01,4412.0
1997-12-01,4331.0
1998-01-01,4517.0
1998-02-01,4582.0
1998-03-01,4548.0
1998-04-01,4595.0
1998-05-01,4605.0
1998-06-01,4494.0
1998-07-01,4433.0
1998-08-01,4412.0
1998-09-01,4327.0
1998-10-01,4228.0
1998-11-01,4136.0
1998-12-01,4024.0
1999-01-01,4090.0
1999-02-01,4163.0
1999-03-01,4254.0
1999-04-01,4364.0
1999-05-01,4416.0
1999-06-01,4427.0
1999-07-01,4390.0
1999-08-01,4380.0
1999-09-01,4346.0
1999-10-01,4370.0
1999-11-01,4295.0
